"label","reference","synonyms","id","uuid:ID","instanceType","name"
"Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","e3bb12da-b07d-45f1-bc22-64016bb1d8b7","BiomedicalConcept","Informed Consent Obtained"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_21","996a6f02-7ff6-4fc7-b341-4040fc5212c8","BiomedicalConcept","Sex"
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_22","0a7ca856-feb7-43e2-8d8a-0e8cb80abe7f","BiomedicalConcept","Race"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_23","0863c557-939c-4cf3-9736-142edb8269df","BiomedicalConcept","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_24","5e163b11-814d-4bc2-a46a-88563273ed12","BiomedicalConcept","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_25","8dc3c0be-82a0-4484-a1d8-572d3b88e3f7","BiomedicalConcept","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","101329f7-d3ce-4cad-8356-c934e16544cf","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","88759d6d-3db4-4305-a71f-a01b9b5cd66a","BiomedicalConcept","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","ad2a3ece-46ec-4b4f-8784-cbbea8aee59a","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","b437478c-9b5d-4c65-ad4d-6af4d3b13503","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma"
