"label","id","description","uuid:ID","instanceType","name"
"Screening 1","Encounter_1","Screening encounter","3c2aa0fa-7f87-48ed-bb25-cf0d887cb4e7","Encounter","E1"
"Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","e063f09b-a03f-4a58-8a59-62785ee6a786","Encounter","E2"
"Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","9a9afa46-8624-4df0-a3a8-21857e4d989a","Encounter","E3"
"Week 2","Encounter_4","Day 14","ca424214-7af7-4a18-8b2e-b49d7023f0e0","Encounter","E4"
"Week 4","Encounter_5","Day 28","56381a7f-ea01-43ee-8fcc-f81ae0d60759","Encounter","E5"
"Week 6","Encounter_6","Day 42","85a7f3aa-a3ce-4f3f-8ab5-ce41cb707177","Encounter","E7"
"Week 8","Encounter_7","Day 56","19e93b7d-4ab3-4a0f-85f3-8db7f1b4173b","Encounter","E8"
"Week 12","Encounter_8","Day 84","daca15a3-dbfa-4f6b-a3ff-c24d816f2e6a","Encounter","E9"
"Week 16","Encounter_9","Day 112","4777f528-3233-42b9-a097-114955fefc8b","Encounter","E10"
"Week 20","Encounter_10","Day 140","46ebcca4-97f2-406c-bff8-375392ee60e7","Encounter","E11"
"Week 24","Encounter_11","Day 168","0b467b9e-e0b3-4caf-bf47-8185f839a1f0","Encounter","E12"
"Week 26","Encounter_12","Day 182","69b92f8b-efd6-46d8-b868-8f31d8586eb6","Encounter","E13"
