"label","id","description","uuid:ID","instanceType","name"
"Informed consent","Activity_1","","6634861b-040a-46e6-be33-6414da26efc4","Activity","Informed consent"
"Inclusion and exclusion criteria","Activity_2","","92e5de29-22c2-4972-aeaa-c8a3d0eded5a","Activity","Inclusion/exclusion criteria"
"Patient number assigned","Activity_3","","13430a83-47f8-4b76-85f1-1d227029737e","Activity","Patient number assigned"
"Demographics","Activity_4","","04ebfbbd-d972-46d6-9bdd-680efb0e3ef9","Activity","Demographics"
"Hachinski Ischemic Scale","Activity_5","","b05b4418-dfff-4a46-9d32-78c99e45c2e7","Activity","Hachinski"
"MMSE","Activity_6","","e628bbf5-e5e8-4a77-b56a-6b58e1341f67","Activity","MMSE"
"Physical examination","Activity_7","","0b8fa5b3-dd40-4e6f-900f-f2aa3aeded84","Activity","Physical examination"
"Medical history","Activity_8","","3b98b3a3-de90-4867-aca8-36c50b48620d","Activity","Medical history"
"Habits","Activity_9","","c0df490b-1378-4b07-a25c-0714512cecd7","Activity","Habits"
"Chest X-ray","Activity_10","","166428f1-f42e-43bd-bdef-7415ec75253c","Activity","Chest X-ray"
"Apo E genotyping","Activity_11","","8556512d-b61d-439c-98e3-bd00938e0c0e","Activity","Apo E genotyping"
"Patient randomised","Activity_12","","0b25a35f-9147-4104-8446-9edb8ae38694","Activity","Patient randomised"
"Vital Signs and Temperature","Activity_13","","f0dc00ea-ead1-4a29-b924-7c713b7d17dd","Activity","Vital signs / Temperature"
"Ambulatory ECG placed","Activity_14","","56637801-703b-4c8f-83c4-426727f29576","Activity","Ambulatory ECG placed"
"Ambulatory ECG removed","Activity_15","","cfe4c549-e1c4-475f-a491-b2a57c3f89b8","Activity","Ambulatory ECG removed"
"ECG","Activity_16","","dc6107fe-4a63-42f9-95dc-f56c0a1eb649","Activity","ECG"
"Placebo TTS test","Activity_17","","e62665c6-aefc-4792-ac6e-ab3cdf67f176","Activity","Placebo TTS test"
"CT scan","Activity_18","","34a3c552-9238-48d7-9679-898804214734","Activity","CT scan"
"Concomitant medications","Activity_19","","314be607-5419-4540-be95-38ca2d05ab5a","Activity","Concomitant medications"
"Hematology","Activity_20","","b4edebc0-7931-4822-8706-498c878e1a16","Activity","Hematology"
"Chemistry","Activity_21","","522ddc5c-d83a-4497-a730-a23ce470cadf","Activity","Chemistry"
"Uninalysis","Activity_22","","cba40c02-3c06-4a3d-8fd0-8904a75198bd","Activity","Uninalysis"
"Plasma Specimen (Xanomeline)","Activity_23","","6ac19459-9dcd-49ac-8b9e-c9f9eb689ce2","Activity","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","Activity_24","","ce5dd317-0e09-4aea-a59e-ad1d6df32ec4","Activity","Hemoglobin A1C"
"Study drug record , Medications dispensed, Medications returned","Activity_25","","02b4cf13-7508-4d39-9d1f-ba57b05bcf40","Activity","Study drug"
"TTS Acceptability Survey","Activity_26","","c46c4d25-ab2b-477b-a67f-6a055242d158","Activity","TTS Acceptability Survey"
"ADAS-Cog","Activity_27","","99b90ff0-4907-4a26-ae90-c45bef66b328","Activity","ADAS-Cog"
"CIBIC+","Activity_28","","26d50604-7b3b-4aa8-8244-c6b3fdf905af","Activity","CIBIC+"
"DAD","Activity_29","","d88ef050-cdb5-47c0-b43c-ca6fcce481e5","Activity","DAD"
"NPI-X","Activity_30","","d7d290f6-cdc5-457b-9966-55277d4e7b1c","Activity","NPI-X"
"Adverse events","Activity_31","","70c8eaa2-3156-4100-93ec-12f84ad2fd7f","Activity","Adverse events"
"Check adverse events","Activity_32","","0be03319-aad8-469f-a133-7e1cd07932af","Activity","Check adverse events"
"Subject supine","Activity_33","","bcf49288-dc82-4e55-abb0-da8a25358ea5","Activity","Supine"
"Vital signs while supine","Activity_34","","19389c89-355c-4bdf-bb99-e8e26d266c36","Activity","Vital Signs Supine"
"Subject Standing","Activity_35","","e600c02d-7178-4920-b807-d2c1cb3a3679","Activity","Stand"
"Vital signs while standing","Activity_36","","c22811c0-5b46-4c1e-8575-c3f887784a6a","Activity","Vital Signs Standing"
