"codeSystemVersion","instanceType","decode","id","codeSystem","uuid:ID","code"
"2023-12-15","Code","Interventional Study","Code_1","http://www.cdisc.org","4c1c2cf4-f488-45b5-9934-c6d8b3beb99c","C98388"
"2023-12-15","Code","Phase II Trial","Code_2","http://www.cdisc.org","23f5c473-4e10-40d2-a27d-78104f134115","C15601"
"2023-12-15","Code","Sponsor Approval Date","Code_9","http://www.cdisc.org","f728fb5e-ce33-4150-985d-5adba21228da","C132352"
"2023-12-15","Code","Global","Code_10","http://www.cdisc.org","05f05808-3550-4e45-8b74-829cdb7620f1","C68846"
"2023-12-15","Code","IRB/IEC Feedback","Code_72","http://www.cdisc.org","030b1fa8-63db-4996-93e4-8ae8092f16a2","C99904x3"
"2023-12-15","Code","Other","Code_73","http://www.cdisc.org","0d39cb46-1f43-4521-a7ab-d6a6e9ae5068","C17649"
"2023-12-15","Code","Region","Code_75","http://www.cdisc.org","b8f25249-a385-4fdd-bfad-f340dcd10ed7","C41129"
"2020-08","Code","Europe","Code_74","ISO 3166 1 alpha3","4afb4be2-16ce-4486-a174-89bf499bd091","150"
"12","Code","Eli Lilly","Code_4","SPONSOR","d9edf2dc-1bad-4646-aa71-506c6b79be4c","PHARMA"
"2023-12-15","Code","Clinical Study Sponsor","Code_76","http://www.cdisc.org","681b8c69-20e5-4c5f-a206-bad4ff7df9b8","C70793"
"2020-08","Code","United States of America","Code_77","ISO 3166 1 alpha3","381d6345-1d71-482d-8868-623c9f4bf40c","USA"
"2023-12-15","Code","Study Registry","Code_78","http://www.cdisc.org","8657dfae-7c19-45f2-8868-f09c71bb6bba","C93453"
"2020-08","Code","United States of America","Code_79","ISO 3166 1 alpha3","4a052c83-8be3-40ea-9a78-fbaa63a1e8b0","USA"
"2023-12-15","Code","Treatment Study","Code_137","http://www.cdisc.org","63f34457-edd1-447f-b269-5e14098a7e5e","C49656"
"2023-12-15","Code","Efficacy Study","Code_138","http://www.cdisc.org","66139a6d-5a45-41c7-8cf6-c33aedb85343","C49666"
"2023-12-15","Code","Safety Study","Code_139","http://www.cdisc.org","49c34eab-2845-4822-b58c-dc74e5b9cf7d","C49667"
"2023-12-15","Code","Pharmacokinetic Study","Code_140","http://www.cdisc.org","0d000eb2-f9f8-4377-bf40-c416739ba5f1","C49663"
"12","Code","Mild to Moderate Alzheimer's Disease","Code_134","SPONSOR","f40c599a-d46a-4093-9fc8-4b35ec6853d0","MILD_MOD_ALZ"
"January 31, 2018","Code","Alzheimer's disease","Code_135","SNOMED","74fba32c-31b5-449c-b7ea-04c2c1eae98a","26929004"
"2023-12-15","Code","EXTENSION","Code_143","http://www.cdisc.org","b8e2a7fa-e814-47fc-96a7-e685a7916367","C99907x1"
"2023-12-15","Code","ADAPTIVE","Code_144","http://www.cdisc.org","2ca5114f-e945-470d-a31c-279e21927b6c","C98704"
"2023-12-15","Code","Parallel Study","Code_141","http://www.cdisc.org","cc96d212-01d7-4f68-bd87-161ffa19704e","C82639"
"2023-12-15","Code","Visit","Code_83","http://www.cdisc.org","f6ffd65b-7c3b-4d2a-875c-3138bd479f79","C25716"
"2023-12-15","Code","Clinic","Code_84","http://www.cdisc.org","37a1272a-e967-4868-a897-45e5893428bc","C51282"
"2023-12-15","Code","In Person","Code_85","http://www.cdisc.org","71cb9b7d-268a-4264-8a8b-b4e504735078","C175574"
"2023-12-15","Code","Visit","Code_86","http://www.cdisc.org","7dda3012-a59a-4ca6-bebb-eb9821f7a5b9","C25716"
"2023-12-15","Code","Clinic","Code_87","http://www.cdisc.org","c9118480-b57c-423f-b9e9-c7337cc71fc9","C51282"
"2023-12-15","Code","In Person","Code_88","http://www.cdisc.org","40eaee80-e6e6-4168-ad76-f1a8489ae347","C175574"
"2023-12-15","Code","Visit","Code_89","http://www.cdisc.org","b89c02c7-1e00-4563-9d51-4ae931db7ba4","C25716"
"2023-12-15","Code","Clinic","Code_90","http://www.cdisc.org","369959a8-b316-4c60-b818-1f7bce367aa7","C51282"
"2023-12-15","Code","In Person","Code_91","http://www.cdisc.org","d1ef3287-f892-41a0-90af-cb059dae4374","C175574"
"2023-12-15","Code","Visit","Code_92","http://www.cdisc.org","c5669f82-98ae-45fb-bf15-fb4013192f65","C25716"
"2023-12-15","Code","Clinic","Code_93","http://www.cdisc.org","04754c08-6a6b-4445-a95b-6609ad8448c2","C51282"
"2023-12-15","Code","In Person","Code_94","http://www.cdisc.org","89d07526-815a-4eb0-a7c2-59d3b19ec143","C175574"
"2023-12-15","Code","Visit","Code_95","http://www.cdisc.org","be3956cf-86da-451f-88f7-d1855737909d","C25716"
"2023-12-15","Code","Clinic","Code_96","http://www.cdisc.org","7e296a9a-c192-4e67-b69f-1df12820292e","C51282"
"2023-12-15","Code","In Person","Code_97","http://www.cdisc.org","9de4866e-0a89-46cd-af2a-89401d37f186","C175574"
"2023-12-15","Code","Visit","Code_98","http://www.cdisc.org","705b0be6-d0d2-4a7f-bff9-c36d26839587","C25716"
"2023-12-15","Code","Clinic","Code_99","http://www.cdisc.org","c42a794e-3fc2-4a32-a263-b1aa8af732f5","C51282"
