"text","label","id","description","uuid:ID","purpose","instanceType","name"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1","","fc3e8e20-9967-4ae3-88c1-02f57d6d547e","","Endpoint","END1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2","","6b97dc50-7f6c-4ba6-a8e9-1b5f9ffc0a03","","Endpoint","END2"
"Adverse events","","Endpoint_3","","2088fa59-62c2-4b60-ae20-d4bdf2c3375a","","Endpoint","END3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4","","61274fa4-5c19-432f-9fe2-ddc7623570dd","","Endpoint","END4"
"Laboratory evaluations (Change from Baseline)","","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","2ea532bc-4a9b-42a7-b4f5-6ee49be9433f","","Endpoint","END5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6","","8d7a08e2-1ba4-42ca-a7d0-c8f71aefaaa5","","Endpoint","END6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7","","905faa63-f71d-4d3a-ba30-9890bae75392","","Endpoint","END7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8","","801dc0f7-e894-4b97-8c94-f705ca0d267e","","Endpoint","END8"
"*** To be determined from protocol ***","","Endpoint_9","","7587307d-320e-4c37-b739-4514190d1dd9","","Endpoint","END9"
"*** To be determined from protocol ***","","Endpoint_10","","1d8152b9-ab10-41c3-b926-6fac3e5059c0","","Endpoint","END10"
"*** To be determined from protocol ***","","Endpoint_11","","fb9371bd-b2fb-4826-b1f4-216ef89de7d7","","Endpoint","END11"
