"name","instanceType","uuid:ID","id","description","text","label","purpose"
"END1","Endpoint","5ae459ac-875d-4b7d-b48c-b8dd300744ca","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","",""
"END2","Endpoint","fefbbb8e-7805-456c-a8d4-f6e6515b560e","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","",""
"END3","Endpoint","d5428303-9a2d-4c9f-87a6-0039773114e8","Endpoint_3","","Adverse events","",""
"END4","Endpoint","b324c34a-0887-44e2-bcd8-1fc4b0ee0bb3","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)","",""
"END5","Endpoint","87b2ec19-2ede-4e52-9d54-4982a9a4712f","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","",""
"END6","Endpoint","4a8110ef-14b6-4082-94b5-8b54f13fec54","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","",""
"END7","Endpoint","3569a1ae-dc71-47b1-b2b7-e3ec798712b6","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","",""
"END8","Endpoint","6079a14c-2716-47b6-96dd-b9b00ee93432","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","",""
"END9","Endpoint","9a33a630-845f-49a3-9807-505987db5aaa","Endpoint_9","","*** To be determined from protocol ***","",""
"END10","Endpoint","bd7d2b7f-f239-441c-8f03-7d7eeae0f235","Endpoint_10","","*** To be determined from protocol ***","",""
"END11","Endpoint","b88ae0ff-3ecf-4a4c-bdda-6799ca45e8ed","Endpoint_11","","*** To be determined from protocol ***","",""
