"code","codeSystemVersion","instanceType","uuid:ID","id","decode","codeSystem"
"C98388","2023-12-15","Code","203cba5c-22cb-456f-987c-e662d0abe00d","Code_1","Interventional Study","http://www.cdisc.org"
"C15601","2023-12-15","Code","3d642873-a2ad-467d-a3b1-f0a82642d511","Code_2","Phase II Trial","http://www.cdisc.org"
"C132352","2023-12-15","Code","3efb7c37-5eb4-487d-bdae-b36328964fa3","Code_9","Sponsor Approval Date","http://www.cdisc.org"
"C68846","2023-12-15","Code","e9e04f49-c207-4150-9dc2-9a4e179176ae","Code_10","Global","http://www.cdisc.org"
"C99904x3","2023-12-15","Code","531185ac-22af-4674-a257-944b988095a5","Code_72","IRB/IEC Feedback","http://www.cdisc.org"
"C17649","2023-12-15","Code","1f11680c-84f9-4321-aec0-4ab22d0ba381","Code_73","Other","http://www.cdisc.org"
"C41129","2023-12-15","Code","737dcb5b-35e3-44d8-b0ee-0410339ce0d5","Code_75","Region","http://www.cdisc.org"
"150","2020-08","Code","40ab36a2-c1d4-4a10-bf0d-712ab582d930","Code_74","Europe","ISO 3166 1 alpha3"
"PHARMA","12","Code","c751c418-99bd-4864-814e-35d53e2b67c7","Code_4","Eli Lilly","SPONSOR"
"C70793","2023-12-15","Code","b82fbb55-d0ff-465a-a3fe-db8e05dd8f26","Code_76","Clinical Study Sponsor","http://www.cdisc.org"
"USA","2020-08","Code","a6c296be-5838-4b5a-ab89-26a2acd1cdbc","Code_77","United States of America","ISO 3166 1 alpha3"
"C93453","2023-12-15","Code","7712f726-cb4e-4200-b5e1-c294ac79ed04","Code_78","Study Registry","http://www.cdisc.org"
"USA","2020-08","Code","82471169-2a77-4962-9738-e6b2bfd635e3","Code_79","United States of America","ISO 3166 1 alpha3"
"C49656","2023-12-15","Code","8f2f3877-800a-4031-82a5-1cdfc4456d92","Code_137","Treatment Study","http://www.cdisc.org"
"C49666","2023-12-15","Code","6159578f-b1be-4985-abff-3db99fdfa3f7","Code_138","Efficacy Study","http://www.cdisc.org"
"C49667","2023-12-15","Code","8f41e56d-ee8e-41b9-9a58-0c1e770ecb4c","Code_139","Safety Study","http://www.cdisc.org"
"C49663","2023-12-15","Code","f0fbafcc-90bd-4afd-95df-770cb41dd67e","Code_140","Pharmacokinetic Study","http://www.cdisc.org"
"MILD_MOD_ALZ","12","Code","ba40ced6-4af8-45b4-a1ff-b80e890da2bb","Code_134","Mild to Moderate Alzheimer's Disease","SPONSOR"
"26929004","January 31, 2018","Code","29c470cf-d52e-4728-b20f-1d04ef8585b5","Code_135","Alzheimer's disease","SNOMED"
"C99907x1","2023-12-15","Code","947f4df7-01f2-42ea-8158-2ff2b1859bed","Code_143","EXTENSION","http://www.cdisc.org"
