"instanceType","name","uuid:ID","id","reference","label","synonyms"
"BiomedicalConcept","Sex","4226541b-67b5-4fba-b6ec-1a15cf7c4619","BiomedicalConcept_20","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex",""
"BiomedicalConcept","Race","7755f1c8-6bbc-4437-95cb-6d42be46a801","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","['Racial Group']"
"BiomedicalConcept","Temperature","37b0da12-329d-440e-8a98-ce4726f077b4","BiomedicalConcept_22","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept","Weight","1245cb17-e36f-4b91-91ad-689cf9c894ce","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept","Height","83d7b719-2c6b-4326-9688-fdfd662bc358","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","1b78f8c0-e557-4a04-897b-84223eab04db","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","Albumin Presence in Urine","4fbcb29e-a36f-46e2-a31b-076a90ed6918","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","12f4b347-dc46-40fe-8d77-e38d91caca57","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","448ef6cf-f1bc-4926-abcd-418c70a005f7","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept","Creatinine Concentration in Urine","20a408e5-a18c-4627-801c-d2ab16e86a2e","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
