"instanceType","name","uuid:ID","id","description","label"
"Encounter","E1","0f2abc0c-9553-4398-8144-f10b17e32714","Encounter_1","Screening encounter","Screening 1"
"Encounter","E2","53709880-ba55-4b82-be51-d262c0683957","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"Encounter","E3","00266539-cbd8-40b1-9b95-0ba614966a01","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"Encounter","E4","f880ca7b-3047-4836-87c3-243ce830da74","Encounter_4","Day 14","Week 2"
"Encounter","E5","68956ab6-fbeb-4991-944e-363d808cd770","Encounter_5","Day 28","Week 4"
"Encounter","E7","6b278db5-461f-42be-b4c2-2c442f1c70a4","Encounter_6","Day 42","Week 6"
"Encounter","E8","ab2da532-20bc-4438-84fa-f684ce62acd7","Encounter_7","Day 56","Week 8"
"Encounter","E9","bae8877d-83ed-4747-bd73-58530e720b26","Encounter_8","Day 84","Week 12"
"Encounter","E10","e3097506-73b0-41a9-96a3-7f64934fa65b","Encounter_9","Day 112","Week 16"
"Encounter","E11","9c17b0a6-0a0b-4628-9772-41ee6dcd8b9a","Encounter_10","Day 140","Week 20"
"Encounter","E12","3903d3d3-e7c9-4487-8a9a-1f6b74334247","Encounter_11","Day 168","Week 24"
"Encounter","E13","af82c59e-7beb-4e5f-a0cb-d3e9b3120182","Encounter_12","Day 182","Week 26"
