"name","value","instanceType","uuid:ID","id","description","valueLabel","label","windowLabel","windowUpper","windowLower"
"TIM1","P2W","Timing","6f748bc9-0934-49a5-98dd-302088811e38","Timing_1","Screening timing","2 weeks","Screening","","",""
"TIM2","P2D","Timing","3a52fac1-381e-4301-a2eb-9e5e6d93f42c","Timing_2","Pre dose timing","2 days","Pre dose","-4..0 hours","PT0H","PT4H"
"TIM3","P1D","Timing","7f74f70b-a314-4af4-bf3b-f8ed55ba495c","Timing_3","Dosing anchor","1 Day","Dosing","","",""
"TIM4","P2W","Timing","1b077fa0-21e6-477c-905c-e9dea0a8e4fa","Timing_4","Week 2 timing","2 Weeks","Week 2","-3..3 days","P3D","P3D"
"TIM5","P4W","Timing","e47a65fb-529c-4c59-b068-5142cc6f6ecd","Timing_5","Week 4 timing","4 Weeks","Week 4","-3..3 days","P3D","P3D"
"TIM6","P6W","Timing","f731558c-fa9d-4bbd-ac5d-4c04a0912132","Timing_6","Week 6 timing","6 Weeks","Week 6","-3..3 days","P3D","P3D"
"TIM7","P8W","Timing","208a82d6-6ccd-4475-9af5-413bd24e052a","Timing_7","Week 8 timing","8 Weeks","Week 8","-3..3 days","P3D","P3D"
"TIM9","P12W","Timing","18b9442e-d59f-484c-adec-489236a4d101","Timing_9","Week 12 timing","12 Weeks","Week 12","-4..4 days","P4D","P4D"
"TIM11","P16W","Timing","eb547320-ec2a-4e12-a572-21f939fdc0c8","Timing_11","Week 16 timing","16 Weeks","Week 16","-4..4 days","P4D","P4D"
"TIM13","P20W","Timing","7d65d421-549f-4f4c-81b7-e30e67a3bf17","Timing_13","Week 20 timing","20 Weeks","Week 20","-4..4 days","P4D","P4D"
"TIM15","P24W","Timing","ff0e0f3b-81ae-4956-b15c-9c3e067bf0ce","Timing_15","Week 24 timing","24 Weeks","Week 24","-4..4 days","P4D","P4D"
"TIM16","P26W","Timing","59c2a780-15d5-4683-a4d9-ec980671fc82","Timing_16","Week 26 timing","26 Weeks","Week 26","-3..3 days","P3D","P3D"
"TIM8","P2W","Timing","2a615ad6-e6bd-47e9-910e-474a30a3d019","Timing_8","Week 8 at home timing","2 Weeks","Week 8 Home","","",""
"TIM10","P2W","Timing","42a7f7f4-cc2d-4dc4-88bf-cc58396de871","Timing_10","Week 12 at home timing","2 Weeks","Week 12 Home","","",""
"TIM12","P2W","Timing","856f0da9-3c8b-4f50-aa49-d3f9fbb5cf20","Timing_12","Week 16 at home timing","2 Weeks","Week 16 Home","","",""
"TIM14","P2W","Timing","87cbf742-2772-416f-9cab-8dc8bf92fecb","Timing_14","Week 20 at home timing","2 Weeks","Week 20 Home","","",""
"TIM17","P1D","Timing","faae1563-6d24-4a1d-a690-0af845aa072d","Timing_17","Adverse Event","1 Day","Adverse Event","","",""
"TIM18","P1D","Timing","ea94d1b3-0239-4162-9bed-84f989b516fa","Timing_18","Early Termination","1 Day","Early Termination","","",""
"TIM19","PT0M","Timing","034f5862-fdc0-4776-9b48-8195791967f3","Timing_19","Supine","0 mins","Supine","","",""
"TIM20","PT5M","Timing","12ee1951-78bb-40c3-84fb-c737d680edc3","Timing_20","VS while supine","5 mins","VS while supine","","",""
"TIM21","PT0M","Timing","90cf04d1-3266-439d-a849-026c587611e6","Timing_21","Standing","0 min","Standing","","",""
"TIM22","PT1M","Timing","dd0c58ab-1a63-4c0a-b2e0-ec9823520593","Timing_22","VS while standing","1 min","VS while standing","","",""
"TIM23","PT0M","Timing","24c80c07-f235-4d0d-9a62-04479d5fb7f2","Timing_23","Standing","0 min","Standing","","",""
"TIM24","PT2M","Timing","7fb4ae41-f36c-4dbc-9180-2bbd1a13e331","Timing_24","VS while standing","2 min","VS while standing","","",""
