"description","label","id","instanceType","purpose","uuid:ID","name","text"
"","","Endpoint_1","Endpoint","","530906d0-3ac8-453e-90a7-1415fa825fce","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","","Endpoint_2","Endpoint","","a074f48f-50f0-4faa-a4e4-29e13e62f8b8","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","","Endpoint_3","Endpoint","","b21880c5-5a6e-41b1-a33a-529da81bcd09","END3","Adverse events"
"","","Endpoint_4","Endpoint","","5d628f7b-a410-4cea-aee0-4b49849aadc5","END4","Vital signs (weight, standing and supine blood pressure, heart rate)"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5","Endpoint","","59e94c1d-a3ba-41ad-9b4d-340002089a18","END5","Laboratory evaluations (Change from Baseline)"
"","","Endpoint_6","Endpoint","","a0f6f029-261f-4037-87b4-7041ab985a6c","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","","Endpoint_7","Endpoint","","0d23124d-b825-4126-89a4-5d5063c0a167","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","","Endpoint_8","Endpoint","","c95b38d5-1fe4-45ae-ae09-9e5b80c163a9","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","","Endpoint_9","Endpoint","","7f136a6c-e062-4065-8139-252848d2b9a5","END9","*** To be determined from protocol ***"
"","","Endpoint_10","Endpoint","","cba424a1-89c1-4aca-87a2-ec6c3bd66299","END10","*** To be determined from protocol ***"
"","","Endpoint_11","Endpoint","","7378ebb5-a766-4e04-8917-cbbf09e5aa83","END11","*** To be determined from protocol ***"
