"description","label","id","instanceType","uuid:ID","name"
"","Informed consent","Activity_1","Activity","ab774a46-2a89-4e8d-9bca-60e8cbc0c7ad","Informed consent"
"","Inclusion and exclusion criteria","Activity_2","Activity","a2d11281-bab9-4c97-a081-e07f83c93c35","Inclusion/exclusion criteria"
"","Patient number assigned","Activity_3","Activity","f7e24b2a-a1a6-4cee-8bd9-47c103ec9e94","Patient number assigned"
"","Demographics","Activity_4","Activity","dbb3a02e-6992-47a6-9d7c-eca9d2e8be93","Demographics"
"","Hachinski Ischemic Scale","Activity_5","Activity","1243b2dc-3fd6-4dfb-aa0a-1481c266cf06","Hachinski"
"","MMSE","Activity_6","Activity","49835cc1-aa62-4101-bbee-7318b658fe9f","MMSE"
"","Physical examination","Activity_7","Activity","ca836a48-b815-45bd-bc73-b20ec3909ab8","Physical examination"
"","Medical history","Activity_8","Activity","47ee9341-646f-45cb-8707-e83aa31cf4f6","Medical history"
"","Habits","Activity_9","Activity","cb7a5ebc-4014-4c3f-8733-c0d676b32831","Habits"
"","Chest X-ray","Activity_10","Activity","46032827-2982-4e9a-9992-027071702f6e","Chest X-ray"
"","Apo E genotyping","Activity_11","Activity","c2a60b39-3f3e-484f-9fb8-1cfe0d9e170a","Apo E genotyping"
"","Patient randomised","Activity_12","Activity","b225d7e4-d1e1-4442-863f-1824d11e1d76","Patient randomised"
"","Vital Signs and Temperature","Activity_13","Activity","3e3318e2-338e-475d-b14e-3a0818fb7d60","Vital signs / Temperature"
"","Ambulatory ECG placed","Activity_14","Activity","e180bc9f-1251-45e8-a569-1295a08766d8","Ambulatory ECG placed"
"","Ambulatory ECG removed","Activity_15","Activity","d772582a-c033-478d-ab4f-197f19ae6e32","Ambulatory ECG removed"
"","ECG","Activity_16","Activity","ebf6ca7c-81c0-444f-b749-457dfe6bbfb3","ECG"
"","Placebo TTS test","Activity_17","Activity","042e60c8-2db8-4882-b943-04a7dcfe0871","Placebo TTS test"
"","CT scan","Activity_18","Activity","75f237c9-bfbd-4b22-987b-7ba4c786f5b9","CT scan"
"","Concomitant medications","Activity_19","Activity","9dd68486-686b-4e83-8f7a-0715f5f51a38","Concomitant medications"
"","Hematology","Activity_20","Activity","2bbe9748-9aa9-4fc5-bb96-5bab11bb55a9","Hematology"
"","Chemistry","Activity_21","Activity","6b09ae21-ac2a-466d-96a2-3c638cabe38e","Chemistry"
"","Uninalysis","Activity_22","Activity","205e659a-ff68-4581-b8e6-e7abc3df67f9","Uninalysis"
"","Plasma Specimen (Xanomeline)","Activity_23","Activity","441c24fd-b8d1-471d-99ac-0d0f5dcbd385","Plasma Specimen (Xanomeline)"
"","Hemoglobin A1C","Activity_24","Activity","e506efb2-4a13-4981-9554-36cb83652e56","Hemoglobin A1C"
"","Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","30c1c9db-eb8b-4002-a57e-f4ad599b1209","Study drug"
"","TTS Acceptability Survey","Activity_26","Activity","66119f1c-0eb9-4fc6-9a14-3e8e3e52babe","TTS Acceptability Survey"
"","ADAS-Cog","Activity_27","Activity","598d140e-4c64-4f58-8fa7-9a132399bea8","ADAS-Cog"
"","CIBIC+","Activity_28","Activity","c6d01a9b-1561-4e4d-84fd-efb1b6c99549","CIBIC+"
"","DAD","Activity_29","Activity","6fafffc1-4b76-41af-90fc-bf87ec6fdb57","DAD"
"","NPI-X","Activity_30","Activity","50360c2b-13d1-4635-ba42-fe91a79c96ce","NPI-X"
"","Adverse events","Activity_31","Activity","102c20e5-d76c-45ad-a3c4-934e0d95bf9b","Adverse events"
"","Check adverse events","Activity_32","Activity","13dedd56-baa2-458c-a5bf-1b1cacf602a4","Check adverse events"
"","Subject supine","Activity_33","Activity","2761fadb-7c70-4012-ae3e-0b261987de46","Supine"
"","Vital signs while supine","Activity_34","Activity","4597e344-fa35-4857-a941-b768d6fb9c54","Vital Signs Supine"
"","Subject Standing","Activity_35","Activity","a60ff774-1fae-46cc-a640-1800a13dc2e0","Stand"
"","Vital signs while standing","Activity_36","Activity","54c2636a-f4ef-44af-bd01-27e57d95a8ed","Vital Signs Standing"
