"description","label","id","instanceType","valueLabel","windowUpper","value","uuid:ID","name","windowLabel","windowLower"
"Screening timing","Screening","Timing_1","Timing","2 weeks","","P2W","a1cd4d31-de79-4551-b270-55bc448130bf","TIM1","",""
"Pre dose timing","Pre dose","Timing_2","Timing","2 days","PT0H","P2D","a76dbb18-23b8-4d98-a4d2-2452c6ce2b95","TIM2","-4..0 hours","PT4H"
"Dosing anchor","Dosing","Timing_3","Timing","1 Day","","P1D","0ec92d86-ff73-4a81-a0e6-1d6fb7a78492","TIM3","",""
"Week 2 timing","Week 2","Timing_4","Timing","2 Weeks","P3D","P2W","796c26fc-0aa4-460e-8fd3-226f48835665","TIM4","-3..3 days","P3D"
"Week 4 timing","Week 4","Timing_5","Timing","4 Weeks","P3D","P4W","bbcebdc1-b3fc-4194-bc11-82b97648c27e","TIM5","-3..3 days","P3D"
"Week 6 timing","Week 6","Timing_6","Timing","6 Weeks","P3D","P6W","33ffd649-f723-4bc8-8647-86ae80d7aebb","TIM6","-3..3 days","P3D"
"Week 8 timing","Week 8","Timing_7","Timing","8 Weeks","P3D","P8W","22c43d86-85e5-4275-98fa-6302c8f42800","TIM7","-3..3 days","P3D"
"Week 12 timing","Week 12","Timing_9","Timing","12 Weeks","P4D","P12W","f6c28f17-60a1-40b6-a083-5ab583a041c0","TIM9","-4..4 days","P4D"
"Week 16 timing","Week 16","Timing_11","Timing","16 Weeks","P4D","P16W","60176a04-2ea1-4ba5-8590-b255cedb8be3","TIM11","-4..4 days","P4D"
"Week 20 timing","Week 20","Timing_13","Timing","20 Weeks","P4D","P20W","e7e00054-3a0e-40c0-80d2-dda27afa1b8a","TIM13","-4..4 days","P4D"
"Week 24 timing","Week 24","Timing_15","Timing","24 Weeks","P4D","P24W","6c5e80e8-29fc-4274-bfed-bf6852eecc23","TIM15","-4..4 days","P4D"
"Week 26 timing","Week 26","Timing_16","Timing","26 Weeks","P3D","P26W","ae48056f-1345-457b-aecc-49e41afb0e92","TIM16","-3..3 days","P3D"
"Week 8 at home timing","Week 8 Home","Timing_8","Timing","2 Weeks","","P2W","9a6379d3-40df-4b61-924e-a842a4af1c4b","TIM8","",""
"Week 12 at home timing","Week 12 Home","Timing_10","Timing","2 Weeks","","P2W","b111069a-315b-4b75-88ce-62cb8be3d2d0","TIM10","",""
"Week 16 at home timing","Week 16 Home","Timing_12","Timing","2 Weeks","","P2W","3a28ca3a-3e6e-4d00-89e6-409da34d3d8c","TIM12","",""
"Week 20 at home timing","Week 20 Home","Timing_14","Timing","2 Weeks","","P2W","bc148c08-b313-4490-8414-f0d5ea307969","TIM14","",""
"Adverse Event","Adverse Event","Timing_17","Timing","1 Day","","P1D","967b5664-c3b0-4e7a-83b2-8cacc4b599b8","TIM17","",""
"Early Termination","Early Termination","Timing_18","Timing","1 Day","","P1D","f846ce13-ef5a-4c48-b1e5-18f0b2552c62","TIM18","",""
"Supine","Supine","Timing_19","Timing","0 mins","","PT0M","c4fabe8c-a2ad-441f-8209-1a7d73b763b6","TIM19","",""
"VS while supine","VS while supine","Timing_20","Timing","5 mins","","PT5M","4473dc77-dbae-40d0-84c7-f43c5be987fe","TIM20","",""
"Standing","Standing","Timing_21","Timing","0 min","","PT0M","4b7b0da9-59b0-45e6-9f7f-62461bac6e04","TIM21","",""
"VS while standing","VS while standing","Timing_22","Timing","1 min","","PT1M","6ebb8d06-8203-483a-acc9-2ce95c62cd3e","TIM22","",""
"Standing","Standing","Timing_23","Timing","0 min","","PT0M","88326623-fc51-40d4-9186-ecb44ff321be","TIM23","",""
"VS while standing","VS while standing","Timing_24","Timing","2 min","","PT2M","2a53b347-1847-4ee7-91f2-6edfc7d1a0e9","TIM24","",""
