"id","instanceType","uuid:ID","name","text"
"TransitionRule_1","TransitionRule","5e44b46f-2496-4013-9d21-2113e3555382","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","TransitionRule","9ef275f8-2e62-40a8-84c5-77931cd5190f","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","TransitionRule","f84f27ef-8a95-47fe-b684-88c29522ae7f","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","TransitionRule","29b1af72-ae0d-48b9-8c46-909965539ee7","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","TransitionRule","44235e72-bded-4ad1-9374-03cb8c5c18bc","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","TransitionRule","dbeafacc-638d-416f-88ef-0899cf70e29f","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","TransitionRule","092f92a2-14df-46a6-9ccc-29e7f917da99","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","TransitionRule","8a828dd4-da28-4fe6-bf19-e3a34a7d853f","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","TransitionRule","7c20c377-11d3-4b74-addd-e043db92c184","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","TransitionRule","50d43ef4-96aa-469e-a256-bb28efee4b30","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","TransitionRule","f9aa1a5e-fb27-43e7-8678-30f515b6839c","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","TransitionRule","f9815dd2-a110-4449-a9d3-4c54dc954bc7","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","TransitionRule","046b6542-a086-4198-8d3c-1062bbb5c42f","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","TransitionRule","5470620b-dffd-4bd2-b9dc-7a2610f58a0d","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","TransitionRule","58af7531-2963-4c3f-b6e3-b92e531f53bc","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
