"label","id","instanceType","synonyms","uuid:ID","name","reference"
"Informed Consent Obtained","BiomedicalConcept_20","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","15020d35-f6e6-417e-8dd1-b4484ffaa113","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","BiomedicalConcept_21","BiomedicalConcept","","6496bfef-dfec-415c-bfdd-1e5bd13dc77f","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","BiomedicalConcept_22","BiomedicalConcept","['Racial Group']","f607ff6d-d859-4add-be57-e19bb617a0c2","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","BiomedicalConcept_23","BiomedicalConcept","['Temperature', 'Body Temperature']","41bfd8fe-16e3-419e-bec4-261236449c8c","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept_24","BiomedicalConcept","['Weight', 'Body Weight']","8b38b447-089f-474a-b5a7-38a551da9cc1","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept_25","BiomedicalConcept","['Height', 'Body Height']","93aebd90-5b26-48e4-b2aa-bdd6fb292e3e","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","16e1f4e9-c8bb-497a-a29c-9498c9e83fb1","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept_27","BiomedicalConcept","['Albumin', 'Albumin Measurement']","38a83811-1b80-491b-9189-c494bc86e966","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","e588d6a8-a062-428e-9105-01df1047d8c1","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","91c39812-62a4-4cf4-a96b-c781a088fc86","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept_30","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","3434feef-1f8d-4477-99b3-916d37d41b89","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept_31","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","6d4b8246-6ab2-45fa-aeef-4939fffa9ca6","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept_32","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","4fb44c4d-2dc2-497e-afa9-f372ecd0d518","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","9cdfd27c-c14a-43a7-9032-0b1b3f5ae5dd","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","BiomedicalConcept_1","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","f27598b9-e7d6-4338-86db-988f8a89085a","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
