"description","label","id","instanceType","uuid:ID","name"
"Screening encounter","Screening 1","Encounter_1","Encounter","8b05d450-5c9a-430c-987b-4d1c8e9e86b5","E1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","Encounter","2a11b83f-fcf0-441c-86e6-8796a95401b6","E2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","Encounter","db0fb1cc-ccb0-450b-964a-0f8293534d44","E3"
"Day 14","Week 2","Encounter_4","Encounter","3ec1370e-52dc-4566-ad4e-354c12b906f6","E4"
"Day 28","Week 4","Encounter_5","Encounter","042805fa-1fc8-4c6b-8889-fb08cecbc646","E5"
"Day 42","Week 6","Encounter_6","Encounter","4eb75fe5-b3cc-4c31-aeae-2f4671a9b898","E7"
"Day 56","Week 8","Encounter_7","Encounter","0f84dcfc-2621-4021-9ec7-c1b3635d6a37","E8"
"Day 84","Week 12","Encounter_8","Encounter","ee2018f5-08eb-440c-b296-2a9057e1ad77","E9"
"Day 112","Week 16","Encounter_9","Encounter","610b9567-3d0a-4aaa-b32f-da9232a5d00e","E10"
"Day 140","Week 20","Encounter_10","Encounter","96a591e7-2bc5-4477-8223-3caaa4d9e9c7","E11"
"Day 168","Week 24","Encounter_11","Encounter","b4ec3de6-ea13-48c4-a071-8ba72214cbb1","E12"
"Day 182","Week 26","Encounter_12","Encounter","733190d7-bc54-4ae4-9fd0-0418064f3ac7","E13"
