"description","label","id","instanceType","uuid:ID","name"
"-","Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","88467bc1-1747-4bf4-b5ff-d02c463ab4da","SCREEN1"
"-","Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","fec52744-b2c8-4da9-ac1c-45067686dc56","SCREEN2"
"-","Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","ecaa0669-3717-46b8-8a3a-4972092c0b6a","DOSE"
"-","Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","c8d1ec96-5787-4f1a-91ae-b8649b31c036","WK2"
"-","Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","d92bdee2-1d22-4d2a-884f-6b05d709074b","WK4"
"-","Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","462bc64e-e179-4b6c-8748-2823c92821f3","WK6"
"-","Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","6f95bb26-0884-4ba7-aec1-c7e8d315311f","WK8"
"-","Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","df21d40b-3eb2-4669-9776-6b773b74e08a","WK8N"
"-","Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","a764acc7-0c76-4612-9d00-bbd823b95b8f","WK12"
"-","Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","389a3f59-cee0-45ba-b3a1-376d8744d8d2","WK12N"
"-","Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","0aa171ad-6b48-4df2-9ef1-8a4f582f8849","WK16"
"-","Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","8fe8168f-aea1-4e51-b1ae-28a6e60365d9","WK16N"
"-","Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","5aa8669c-be18-4b6f-842e-45e4ca38c1dc","WK20"
"-","Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","8fe022f9-048d-456c-8089-ba31d40c78e9","WK20N"
"-","Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","c163068c-edf9-4b79-8146-fc8fd2ab6514","WK24"
"-","Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","ca60c3b9-6dd2-432c-80b3-1228a5d316a0","WK26"
"-","Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","6e359f71-1dca-49a4-a2b5-6a3c7a5eb1e2","AE"
"-","Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","12f8d6f1-bbe2-4932-b52c-3a378cb806fa","ET"
"","5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","48df37d9-7b75-4b37-8e30-93a8f9c1c3f0","VS_5MIN"
"","Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","e1975991-8dce-4db7-adbe-7674929eeabf","VS_SUPINE"
"","1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","c11c7fd0-cb62-4e91-ba92-8b43648f863f","VS_1MIN"
"","Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","49001b0b-c177-4336-90f7-6be6e0c8b6ba","VS_STAND1"
"","2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","8b37a436-2b35-459d-b213-0d587a3e532c","VS_2MIN"
"","Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","f8c54ce5-3174-4495-88fc-625de6129109","VS_STAND3"
