"label","instanceType","uuid:ID","name","id","description","text","purpose"
"","Endpoint","2bd97c14-847f-4de3-b120-cf4639a782de","END1","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"","Endpoint","99e44914-addf-41d0-a44a-11d2f575d8fe","END2","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"","Endpoint","5aa8ea50-1ae3-4aa5-8e77-abca1896827b","END3","Endpoint_3","","Adverse events",""
"","Endpoint","60eff2e1-7214-4d8f-806f-a75f951baae3","END4","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"","Endpoint","af56ee9b-f240-45e9-9134-fe2e96dfbb39","END5","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)",""
"","Endpoint","ce865419-e316-486c-84ec-8cdc90b81a82","END6","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"","Endpoint","1030185c-2fca-406a-ad23-6eb7192fe603","END7","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"","Endpoint","164ef5de-50b1-4747-a4c7-ab9ca254ff6d","END8","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"","Endpoint","60c36dca-1e88-4117-a5d0-8b0fc7986d26","END9","Endpoint_9","","*** To be determined from protocol ***",""
"","Endpoint","4eacd952-d135-42d0-aa98-248203b3b146","END10","Endpoint_10","","*** To be determined from protocol ***",""
"","Endpoint","15aa5b9a-f577-402c-9656-6ea1b583fdb9","END11","Endpoint_11","","*** To be determined from protocol ***",""
