"instanceType","uuid:ID","name","id","text"
"TransitionRule","95ed97fb-7897-4e5f-a47d-15803f2f8a68","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier"
"TransitionRule","8de4cd69-e43f-4de3-b856-1e2b4d1df190","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities"
"TransitionRule","251f6259-0f16-4c02-af00-4e202b94ac34","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule","d6a0a2e1-f8b9-483b-bd70-2691af93a99a","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"TransitionRule","bfe59783-fde7-4f91-acb6-4acba659aec6","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized"
"TransitionRule","59a73d51-0207-4293-b1c0-c1d047687fea","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment"
"TransitionRule","50ea756e-9b0c-4e1c-a1fd-413b41472103","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent"
"TransitionRule","5ec6c05b-513d-4b4a-b99e-5c5387183be5","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule","64bcd09f-9c36-4b20-8be6-80f9cc067661","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose"
"TransitionRule","7e349e80-c975-415d-8249-4ebe334ead60","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"TransitionRule","cdf117e4-0d63-4276-9072-b3c7f93ad6c2","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule","5c440945-daad-4207-9ffb-db82c38b3b9a","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose"
"TransitionRule","f8311102-94a4-498a-b164-6cc4f5a53ddf","ELEMENT_START_RULE_4","TransitionRule_11","Randomized"
"TransitionRule","efd001ce-aab4-4ef1-bcd0-0380507ca058","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule","71567040-91d5-4685-8809-3095d494401d","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
