"label","instanceType","uuid:ID","name","id","description"
"Screen One","ScheduledActivityInstance","b940b4c8-974c-49d6-9cc5-360b806eee19","SCREEN1","ScheduledActivityInstance_9","-"
"Screen Two","ScheduledActivityInstance","b39cc9da-e5e1-46b0-820d-3f5da94f70bc","SCREEN2","ScheduledActivityInstance_10","-"
"Dose","ScheduledActivityInstance","a4e6b033-0056-4610-bef3-211a4f1faed0","DOSE","ScheduledActivityInstance_11","-"
"Week 2","ScheduledActivityInstance","4f290dfe-a98b-4014-91b4-d0e0520609c1","WK2","ScheduledActivityInstance_12","-"
"Week 4","ScheduledActivityInstance","93184ebb-5a51-4244-bbb1-3e2fbc25d90e","WK4","ScheduledActivityInstance_13","-"
"Week 6","ScheduledActivityInstance","a036bbf2-d682-45e3-ae3a-c70fab9e1550","WK6","ScheduledActivityInstance_14","-"
"Week 8","ScheduledActivityInstance","536f3c50-ae5e-4c4c-ace6-f1fabd8eb64b","WK8","ScheduledActivityInstance_15","-"
"Week NPI","ScheduledActivityInstance","c734ec0f-abfb-4874-8048-86e31581e7f3","WK8N","ScheduledActivityInstance_16","-"
"Week 12","ScheduledActivityInstance","82d2ad91-1f2c-4772-955a-fd9536aa9d36","WK12","ScheduledActivityInstance_17","-"
"Week 12 NPI","ScheduledActivityInstance","6b2dafbf-bd72-4dda-b4c2-8ef7bdbce8cd","WK12N","ScheduledActivityInstance_18","-"
"Week 16","ScheduledActivityInstance","6af4db2d-1077-4917-8978-89aa504c63e0","WK16","ScheduledActivityInstance_19","-"
"Week 16 NPI","ScheduledActivityInstance","6ebe7cda-dc5d-44ef-803f-ecb5765dcd20","WK16N","ScheduledActivityInstance_20","-"
"Week 20","ScheduledActivityInstance","95291db4-ac10-4a36-9a28-d4b6a5cc6152","WK20","ScheduledActivityInstance_21","-"
"Week 20 NPI","ScheduledActivityInstance","7104a1f6-0491-46d8-b290-7b29b782cdd8","WK20N","ScheduledActivityInstance_22","-"
"Week 24","ScheduledActivityInstance","e7800275-1d6e-4264-a9b7-dfb7dcdbd870","WK24","ScheduledActivityInstance_23","-"
"Week 26","ScheduledActivityInstance","ca81f076-f082-411b-ba94-78cdbf2ef3ab","WK26","ScheduledActivityInstance_24","-"
"Adevers Event","ScheduledActivityInstance","1eb2c455-2c55-44bd-b8a9-23e6a85e5e87","AE","ScheduledActivityInstance_1","-"
"Early Termination","ScheduledActivityInstance","1155cb6d-8940-4c3f-9117-5b42fb8b7ea3","ET","ScheduledActivityInstance_2","-"
"5 minute supine","ScheduledActivityInstance","6bf21082-870b-413b-b1a7-d1c3dbe43c14","VS_5MIN","ScheduledActivityInstance_3",""
"Vital signs supine","ScheduledActivityInstance","9813e9dd-c452-4b5d-b111-64ae86f31295","VS_SUPINE","ScheduledActivityInstance_4",""
"1 minute standing","ScheduledActivityInstance","f7efe5c3-9399-4d36-b4c5-b574d07f5975","VS_1MIN","ScheduledActivityInstance_5",""
"Vital signs after 1 min standing","ScheduledActivityInstance","b09b3cf2-f247-484d-8f22-8c24e863d990","VS_STAND1","ScheduledActivityInstance_6",""
"2 minute standing","ScheduledActivityInstance","32d054da-a086-4d77-b0b5-76d1ea3d455d","VS_2MIN","ScheduledActivityInstance_7",""
"Vital signs after 3 min standing","ScheduledActivityInstance","774dbcab-19ed-457f-abd0-505077b2ba6c","VS_STAND3","ScheduledActivityInstance_8",""
