"instanceType","label","synonyms","reference","uuid:ID","name","id"
"BiomedicalConcept","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","b0e25ef6-131d-48e4-a3b3-56986f627b55","Sex","BiomedicalConcept_20"
"BiomedicalConcept","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","291f8864-9984-4fc9-a2cd-d77c1fc55024","Race","BiomedicalConcept_21"
"BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","ca7d4b04-c8b5-4098-8764-98f9a80d4dfa","Temperature","BiomedicalConcept_22"
"BiomedicalConcept","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","9eb6dae3-8380-4ab2-8372-4b2561968cf4","Weight","BiomedicalConcept_23"
"BiomedicalConcept","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","59d860f8-ae45-4222-8e40-7979131d165b","Height","BiomedicalConcept_24"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","f352bba1-bc89-4395-99fc-8d248fa7deac","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25"
"BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","adcd679b-766c-4ccc-b05a-9c0585d21a46","Albumin Presence in Urine","BiomedicalConcept_26"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","b27e92ae-d179-4a89-a768-42fc9170aff9","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","95fbb62b-206c-4e65-a903-da8cd4723545","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28"
"BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","d5bc0f5b-f679-4203-873b-6169074d06e3","Creatinine Concentration in Urine","BiomedicalConcept_29"
"BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","5b47e745-e63e-4d18-b68d-05bd1614e225","Potassium Concentration in Urine","BiomedicalConcept_30"
"BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","c0df6551-4ce6-44ee-824c-0dd774be604d","Sodium Concentration in Urine","BiomedicalConcept_31"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","edc0f6af-7136-4b5b-acb1-245f1d52d8ee","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32"
"BiomedicalConcept","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","4bf4396b-a377-41f4-b09b-a12e00b0763a","Adverse Event Prespecified","BiomedicalConcept_1"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","dabf0bbd-e0c8-4df0-80e7-6016f51fd1f7","Systolic Blood Pressure","BiomedicalConcept_2"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","bac942d8-f65c-42d5-8ffe-d0f4a2b57c79","Diastolic Blood Pressure","BiomedicalConcept_3"
"BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","c11a5bc5-ddd2-4490-be7f-9559b7936929","Temperature","BiomedicalConcept_4"
