"label","instanceType","uuid:ID","name","id","description"
"Screening 1","Encounter","96be092c-e2da-40a9-870a-ec4c1a529bd7","E1","Encounter_1","Screening encounter"
"Screening 2","Encounter","41525496-8041-4b1f-b5d7-d357ffcf6951","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement"
"Baseline","Encounter","19703852-fe76-4c1a-966f-a84bf9a48ec6","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal"
"Week 2","Encounter","213ad750-dcf1-4647-a02c-0e330a454f1e","E4","Encounter_4","Day 14"
"Week 4","Encounter","e24bde2b-ab3e-41dd-a9b2-68c07ad51e6a","E5","Encounter_5","Day 28"
"Week 6","Encounter","ec7b1288-3cf9-4bea-9098-a268a5856ed8","E7","Encounter_6","Day 42"
"Week 8","Encounter","ad348956-8673-42a0-89dd-08f8126f5bb3","E8","Encounter_7","Day 56"
"Week 12","Encounter","6eef95c0-7ad5-40c5-bd9b-203e7dcad1ff","E9","Encounter_8","Day 84"
"Week 16","Encounter","67306307-9987-4514-aa8d-35b56752d243","E10","Encounter_9","Day 112"
"Week 20","Encounter","89e367c8-b270-4e76-b89c-d856f20d8edd","E11","Encounter_10","Day 140"
"Week 24","Encounter","3774e2f8-56e5-4095-9a16-69eb011bf890","E12","Encounter_11","Day 168"
"Week 26","Encounter","0f6a92f2-41d8-4862-a9a6-fa8114020ae4","E13","Encounter_12","Day 182"
