"instanceType","codeSystem","uuid:ID","id","decode","codeSystemVersion","code"
"Code","http://www.cdisc.org","847861e0-4082-435f-8ab8-2570b71c272d","Code_1","Interventional Study","2023-12-15","C98388"
"Code","http://www.cdisc.org","5a9f36b7-463a-4116-994c-234917621ec9","Code_2","Phase II Trial","2023-12-15","C15601"
"Code","http://www.cdisc.org","0f95fd9b-cbaf-4c30-a63b-608884de3075","Code_9","Sponsor Approval Date","2023-12-15","C132352"
"Code","http://www.cdisc.org","77dbc7e1-73ee-407e-9e9e-97cd5c45690c","Code_10","Global","2023-12-15","C68846"
"Code","http://www.cdisc.org","c360933c-10b2-44e7-aba9-c96274c00766","Code_72","IRB/IEC Feedback","2023-12-15","C99904x3"
"Code","http://www.cdisc.org","5fee9f8e-75c0-445a-bb19-f3f04f14e77b","Code_73","Other","2023-12-15","C17649"
"Code","http://www.cdisc.org","cf359f3b-ddfb-441b-a79e-a0e92ad3aab1","Code_75","Region","2023-12-15","C41129"
"Code","ISO 3166 1 alpha3","d49b0511-06b8-4859-ab60-5db839aac24c","Code_74","Europe","2020-08","150"
"Code","SPONSOR","68c7584f-6938-441c-b9e3-073d51903ef4","Code_4","Eli Lilly","12","PHARMA"
"Code","http://www.cdisc.org","bda7f7f8-53f3-4f0e-954a-188c2d6a0c35","Code_76","Clinical Study Sponsor","2023-12-15","C70793"
"Code","ISO 3166 1 alpha3","66f747d4-f947-403f-8939-8b17d8e9c258","Code_77","United States of America","2020-08","USA"
"Code","http://www.cdisc.org","1be32f63-431c-403f-94d1-2a72a6718604","Code_78","Study Registry","2023-12-15","C93453"
"Code","ISO 3166 1 alpha3","58fc9cf0-db57-4590-8e79-f53110058782","Code_79","United States of America","2020-08","USA"
"Code","http://www.cdisc.org","6c46f7da-7d2e-4e37-8c7a-7d5278e3b325","Code_137","Treatment Study","2023-12-15","C49656"
"Code","http://www.cdisc.org","23f6099c-5f04-4447-b4b9-ce8efe87781d","Code_138","Efficacy Study","2023-12-15","C49666"
