"label","instanceType","windowUpper","value","windowLower","windowLabel","uuid:ID","name","id","description","valueLabel"
"Screening","Timing","","P2W","","","40a481ec-7b80-43b7-8432-32236e1fce99","TIM1","Timing_1","Screening timing","2 weeks"
"Pre dose","Timing","PT0H","P2D","PT4H","-4..0 hours","3c84a231-0a08-4ced-bb20-c497cf13eb33","TIM2","Timing_2","Pre dose timing","2 days"
"Dosing","Timing","","P1D","","","c41ea565-6cfa-4d77-8fba-6705cfd42989","TIM3","Timing_3","Dosing anchor","1 Day"
"Week 2","Timing","P3D","P2W","P3D","-3..3 days","d76d8f7f-ba77-4ee5-9a3e-264111875728","TIM4","Timing_4","Week 2 timing","2 Weeks"
"Week 4","Timing","P3D","P4W","P3D","-3..3 days","b3f4cf23-889b-4bf5-bca7-fa01880ba304","TIM5","Timing_5","Week 4 timing","4 Weeks"
"Week 6","Timing","P3D","P6W","P3D","-3..3 days","71fb59a7-fdf9-48a0-9674-f115e29d4cfd","TIM6","Timing_6","Week 6 timing","6 Weeks"
"Week 8","Timing","P3D","P8W","P3D","-3..3 days","9b64ff04-f9e4-4b65-ba1f-a4dff14e044f","TIM7","Timing_7","Week 8 timing","8 Weeks"
"Week 12","Timing","P4D","P12W","P4D","-4..4 days","c56603e8-e910-4809-b401-536075231b92","TIM9","Timing_9","Week 12 timing","12 Weeks"
"Week 16","Timing","P4D","P16W","P4D","-4..4 days","ea57eb2a-2835-457d-90bd-69167e32659a","TIM11","Timing_11","Week 16 timing","16 Weeks"
"Week 20","Timing","P4D","P20W","P4D","-4..4 days","8681824a-be3a-48ba-bb45-b5239eaffdf4","TIM13","Timing_13","Week 20 timing","20 Weeks"
"Week 24","Timing","P4D","P24W","P4D","-4..4 days","aa11bf29-df4e-4500-90c0-fa24463e35e2","TIM15","Timing_15","Week 24 timing","24 Weeks"
"Week 26","Timing","P3D","P26W","P3D","-3..3 days","2bb4aa6d-e14e-4b7a-9234-da3f630a953d","TIM16","Timing_16","Week 26 timing","26 Weeks"
"Week 8 Home","Timing","","P2W","","","07d4fdb9-33d0-48a5-b8fe-e79f15dbbe7c","TIM8","Timing_8","Week 8 at home timing","2 Weeks"
"Week 12 Home","Timing","","P2W","","","8bda2f42-946a-428f-91d0-09c23b673893","TIM10","Timing_10","Week 12 at home timing","2 Weeks"
"Week 16 Home","Timing","","P2W","","","3b0c2697-6afb-44fe-8fb3-4a188fbc704b","TIM12","Timing_12","Week 16 at home timing","2 Weeks"
"Week 20 Home","Timing","","P2W","","","3da4ebdb-0a1a-4a36-8cca-7bf311ad7572","TIM14","Timing_14","Week 20 at home timing","2 Weeks"
"Adverse Event","Timing","","P1D","","","5fc62c05-2e9e-4911-a8ba-38f137a8f36f","TIM17","Timing_17","Adverse Event","1 Day"
"Early Termination","Timing","","P1D","","","9e604302-622a-4fea-95e3-6232a498d048","TIM18","Timing_18","Early Termination","1 Day"
"Supine","Timing","","PT0M","","","3c00b78e-b2df-40d7-b90e-8cc16c20c1b7","TIM19","Timing_19","Supine","0 mins"
"VS while supine","Timing","","PT5M","","","aa447f1e-11a4-4a5e-a86d-e4d022f0fb69","TIM20","Timing_20","VS while supine","5 mins"
"Standing","Timing","","PT0M","","","ecb50db8-54ff-4c8e-9947-975c0df16c77","TIM21","Timing_21","Standing","0 min"
"VS while standing","Timing","","PT1M","","","52ceb797-ce7d-4ac1-bbb3-c68c2f630049","TIM22","Timing_22","VS while standing","1 min"
"Standing","Timing","","PT0M","","","a13716ee-f20a-4fdd-a9ea-fa89e3254166","TIM23","Timing_23","Standing","0 min"
"VS while standing","Timing","","PT2M","","","ef1dab4c-08ae-430d-8ca4-b8f7f3da59ac","TIM24","Timing_24","VS while standing","2 min"
