"description","label","instanceType","name","uuid:ID","id"
"-","Screen One","ScheduledActivityInstance","SCREEN1","f02a251f-574a-4519-a17a-13a088ce417c","ScheduledActivityInstance_9"
"-","Screen Two","ScheduledActivityInstance","SCREEN2","c4ee8ad0-6f25-4c82-93b7-5d02fba68ae2","ScheduledActivityInstance_10"
"-","Dose","ScheduledActivityInstance","DOSE","d13a5c26-b8f1-4cae-85d8-da91cc93b71a","ScheduledActivityInstance_11"
"-","Week 2","ScheduledActivityInstance","WK2","87673023-32c2-4393-9351-be1cb04933f3","ScheduledActivityInstance_12"
"-","Week 4","ScheduledActivityInstance","WK4","9fcde1c2-24dd-42e8-94e0-d520f7811e06","ScheduledActivityInstance_13"
"-","Week 6","ScheduledActivityInstance","WK6","fece0dee-46a3-4ff8-a99f-dfb76f33ec56","ScheduledActivityInstance_14"
"-","Week 8","ScheduledActivityInstance","WK8","50972863-7d09-49b5-ae78-4b7024aa81bb","ScheduledActivityInstance_15"
"-","Week NPI","ScheduledActivityInstance","WK8N","de9e43f5-d713-41dc-8889-c216a6f608b1","ScheduledActivityInstance_16"
"-","Week 12","ScheduledActivityInstance","WK12","a998a000-58c1-42d3-93b9-dbb1ac9bafaa","ScheduledActivityInstance_17"
"-","Week 12 NPI","ScheduledActivityInstance","WK12N","feb328a7-964f-45f2-b645-4e3266a1c300","ScheduledActivityInstance_18"
"-","Week 16","ScheduledActivityInstance","WK16","dc9e40f2-ab17-450c-876c-56d6ccad1701","ScheduledActivityInstance_19"
"-","Week 16 NPI","ScheduledActivityInstance","WK16N","f527df51-f0ee-4b9d-8f32-0ea2bf08a552","ScheduledActivityInstance_20"
"-","Week 20","ScheduledActivityInstance","WK20","1f0793d3-cf4c-485e-a010-a798f5532cd4","ScheduledActivityInstance_21"
"-","Week 20 NPI","ScheduledActivityInstance","WK20N","a64656be-69a4-41d7-a227-735762bab027","ScheduledActivityInstance_22"
"-","Week 24","ScheduledActivityInstance","WK24","ec7c8f9a-4df2-4419-96ed-79bb7a91d8e9","ScheduledActivityInstance_23"
"-","Week 26","ScheduledActivityInstance","WK26","6a7b13a4-d97e-45c4-9171-9926ef21b93d","ScheduledActivityInstance_24"
"-","Adevers Event","ScheduledActivityInstance","AE","9636bcd2-f29d-4b9e-9731-109f03cd2637","ScheduledActivityInstance_1"
"-","Early Termination","ScheduledActivityInstance","ET","bc27ca54-1e88-4700-bd1e-6e96a6d25b41","ScheduledActivityInstance_2"
"","5 minute supine","ScheduledActivityInstance","VS_5MIN","66584fa7-fa6c-46c7-8ff5-93b55a7d012c","ScheduledActivityInstance_3"
"","Vital signs supine","ScheduledActivityInstance","VS_SUPINE","f48d5e94-48b8-4197-a851-c4fd4816358e","ScheduledActivityInstance_4"
"","1 minute standing","ScheduledActivityInstance","VS_1MIN","62990db3-afeb-4455-865a-71f6c871f557","ScheduledActivityInstance_5"
"","Vital signs after 1 min standing","ScheduledActivityInstance","VS_STAND1","c2a33bfe-df79-492f-bf7c-5ca5309bff69","ScheduledActivityInstance_6"
"","2 minute standing","ScheduledActivityInstance","VS_2MIN","1289f199-e49a-4ec2-86e3-71e4f8540af7","ScheduledActivityInstance_7"
"","Vital signs after 3 min standing","ScheduledActivityInstance","VS_STAND3","83c8b1a7-3e24-41c3-8334-eaf1ff9e28cc","ScheduledActivityInstance_8"
