"instanceType","name","uuid:ID","id","text"
"TransitionRule","ENCOUNTER_START_RULE_1","04ecd803-7e05-4006-9604-366583c8da38","TransitionRule_1","Subject identifier"
"TransitionRule","ENCOUNTER_START_RULE_1","fb40ffc3-5797-49f3-978a-d7a9bfbf0300","TransitionRule_2","completion of screening activities"
"TransitionRule","ENCOUNTER_START_RULE_2","06e14144-1a0d-4b08-ab3f-949ae2726051","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule","ENCOUNTER_START_RULE_3","b53ea919-0520-42cc-b33c-e60ab8a93f7c","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"TransitionRule","ENCOUNTER_START_RULE_3","734263d6-dece-43cf-ad1c-ac0c61b6be43","TransitionRule_5","Radomized"
"TransitionRule","ENCOUNTER_START_RULE_12","020adf6e-e3e4-4035-a435-44aee87856e9","TransitionRule_6","End of treatment"
"TransitionRule","ELEMENT_START_RULE_1","3cc3eb5c-aad4-4a5e-8206-e085fa467762","TransitionRule_7","Informed consent"
"TransitionRule","ELEMENT_END_RULE_1","ab4bdf44-972f-459a-9649-c732c19a1d96","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule","ELEMENT_START_RULE_2","5a33db20-adae-498a-b06e-11a2bca7a5c0","TransitionRule_9","Administration of first dose"
"TransitionRule","ELEMENT_START_RULE_7","e09bc034-7f37-40ca-b2aa-dbeef38e539a","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"TransitionRule","ELEMENT_END_RULE_7","9964a473-3bbc-407f-8c8f-b2177a89af76","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule","ELEMENT_START_RULE_3","390e755f-8cf3-4aff-8e4e-7b7206a61089","TransitionRule_10","Administration of first dose"
"TransitionRule","ELEMENT_START_RULE_4","a8919800-2b2e-422b-81d5-4918f4ee8a9a","TransitionRule_11","Randomized"
"TransitionRule","ELEMENT_START_RULE_5","595cd98c-ba5e-47b7-950b-0ee7e944523e","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule","ELEMENT_START_RULE_6","9252ccc6-5bc4-4aab-aef7-90c7e7926219","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
