"description","label","instanceType","name","uuid:ID","id"
"Screening encounter","Screening 1","Encounter","E1","65553d78-5d46-4031-b799-35fbb94509e1","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","E2","a418cfc5-a42c-4e08-bc0d-cc7f2d01bb95","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","E3","2006fc38-55dc-4539-ab40-b955a468ba41","Encounter_3"
"Day 14","Week 2","Encounter","E4","65933358-5994-4f87-a1ab-d4bcf31b158a","Encounter_4"
"Day 28","Week 4","Encounter","E5","4f5dc606-23a9-4e5d-9ad4-06bc8eb69163","Encounter_5"
"Day 42","Week 6","Encounter","E7","1404a31c-4b9b-4a83-8bad-3ddc7cdc596f","Encounter_6"
"Day 56","Week 8","Encounter","E8","e77046a8-36dc-4ce1-a2bd-ef508866b777","Encounter_7"
"Day 84","Week 12","Encounter","E9","05104c02-f773-450a-9184-275b31810a06","Encounter_8"
"Day 112","Week 16","Encounter","E10","31069c5f-4ba4-4b63-9317-694433fa38aa","Encounter_9"
"Day 140","Week 20","Encounter","E11","91173d1d-dd11-410a-9e96-781f2ec2a17e","Encounter_10"
"Day 168","Week 24","Encounter","E12","e2c78864-a858-4489-a625-4d565d9b03ed","Encounter_11"
"Day 182","Week 26","Encounter","E13","29d6d1cc-02d3-4e3d-806f-42107525406b","Encounter_12"
