"codeSystem","codeSystemVersion","decode","instanceType","uuid:ID","id","code"
"http://www.cdisc.org","2023-12-15","Interventional Study","Code","71167b92-70ed-4de1-aa6d-8bd1312c9210","Code_1","C98388"
"http://www.cdisc.org","2023-12-15","Phase II Trial","Code","1cecaf37-126e-4ad3-9890-9e3fd2ee6008","Code_2","C15601"
"http://www.cdisc.org","2023-12-15","Sponsor Approval Date","Code","653cf098-0eeb-464f-a759-e8303c286a9b","Code_9","C132352"
"http://www.cdisc.org","2023-12-15","Global","Code","9998e644-d36c-4255-807e-c113717e378a","Code_10","C68846"
"http://www.cdisc.org","2023-12-15","IRB/IEC Feedback","Code","c4e16810-1167-4270-ac19-67a157c31d11","Code_72","C99904x3"
"http://www.cdisc.org","2023-12-15","Other","Code","91a73502-cef9-45eb-b662-bb5efeef0fdf","Code_73","C17649"
"http://www.cdisc.org","2023-12-15","Region","Code","87035b40-6f20-4612-9602-63426081b19d","Code_75","C41129"
"ISO 3166 1 alpha3","2020-08","Europe","Code","3c638f28-e956-4bb4-99d0-a244a67e510d","Code_74","150"
"SPONSOR","12","Eli Lilly","Code","57e60de9-4c90-461f-aa07-81df94e99687","Code_4","PHARMA"
"http://www.cdisc.org","2023-12-15","Clinical Study Sponsor","Code","0a2c5fa0-258e-43b2-9c24-0d128f97ab9f","Code_76","C70793"
"ISO 3166 1 alpha3","2020-08","United States of America","Code","d2d313a8-a7e8-4d90-958a-ea9407676b61","Code_77","USA"
"http://www.cdisc.org","2023-12-15","Study Registry","Code","f655617d-b9e6-44e5-8194-3c75972cc8fa","Code_78","C93453"
"ISO 3166 1 alpha3","2020-08","United States of America","Code","1b945faa-4adc-4ee8-8d8a-34adf7c6d2f8","Code_79","USA"
"http://www.cdisc.org","2023-12-15","Treatment Study","Code","bb197de2-3d32-4a52-9520-bcef4906d8fd","Code_137","C49656"
"http://www.cdisc.org","2023-12-15","Efficacy Study","Code","aeb043c3-14ba-43ab-a908-3c3cfdfa8a2b","Code_138","C49666"
"http://www.cdisc.org","2023-12-15","Safety Study","Code","2f89c9b7-fec8-41a6-86a2-b20ad6044766","Code_139","C49667"
"http://www.cdisc.org","2023-12-15","Pharmacokinetic Study","Code","a4ab1ac1-ddbd-4e0a-bf33-5fdaac55a7f3","Code_140","C49663"
"SPONSOR","12","Mild to Moderate Alzheimer's Disease","Code","d3313467-fdac-4d7c-b617-598383b9a75a","Code_134","MILD_MOD_ALZ"
"SNOMED","January 31, 2018","Alzheimer's disease","Code","b331d395-4b6b-4156-b051-b110cceefd27","Code_135","26929004"
"http://www.cdisc.org","2023-12-15","EXTENSION","Code","5a1c074f-30c3-4e0a-bc72-79b44841e5a4","Code_143","C99907x1"
"http://www.cdisc.org","2023-12-15","ADAPTIVE","Code","8523bf22-1ede-44f5-a474-adceb773a002","Code_144","C98704"
"http://www.cdisc.org","2023-12-15","Parallel Study","Code","5cce1d3d-8a33-42bb-b0be-cf7bedea1bf7","Code_141","C82639"
