"description","label","instanceType","purpose","name","uuid:ID","id","text"
"","","Endpoint","","END1","16765836-cdf4-4fed-aaa5-86c84c194948","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","","Endpoint","","END2","8dcfa438-52b9-4dd8-bb78-925c9db7f501","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","","Endpoint","","END3","77d49c87-6552-4d9d-9135-4dbe29f64e0a","Endpoint_3","Adverse events"
"","","Endpoint","","END4","3522e339-5e19-4168-a98e-a0c233f4c624","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint","","END5","c3b7cb11-2f69-456f-a2f1-2f8ef7a62207","Endpoint_5","Laboratory evaluations (Change from Baseline)"
"","","Endpoint","","END6","65e26268-1729-4416-b479-0d96cbd992f5","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","","Endpoint","","END7","6ef9dd34-8fe0-47e8-8ff0-a58a8de4043c","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","","Endpoint","","END8","41e63b4c-0982-4999-be65-b908935a4a8a","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","","Endpoint","","END9","2e4603c0-c563-45ef-beda-730146033bec","Endpoint_9","*** To be determined from protocol ***"
"","","Endpoint","","END10","aa79932c-9e79-4779-8b50-df6f46bbcd6d","Endpoint_10","*** To be determined from protocol ***"
"","","Endpoint","","END11","b7cb013d-f9af-44f4-83e7-dcd7d42df2b1","Endpoint_11","*** To be determined from protocol ***"
