"windowLabel","description","windowLower","label","instanceType","valueLabel","name","uuid:ID","value","id","windowUpper"
"","Screening timing","","Screening","Timing","2 weeks","TIM1","b09a0edb-7f99-4b04-8eed-2040489d4da7","P2W","Timing_1",""
"-4..0 hours","Pre dose timing","PT4H","Pre dose","Timing","2 days","TIM2","28772d82-dd5e-45a7-a8cb-bec485c737c4","P2D","Timing_2","PT0H"
"","Dosing anchor","","Dosing","Timing","1 Day","TIM3","f383cc9f-a3f4-432f-8bfa-06786cab92b4","P1D","Timing_3",""
"-3..3 days","Week 2 timing","P3D","Week 2","Timing","2 Weeks","TIM4","f662990c-5537-4374-89ce-100b48ca6000","P2W","Timing_4","P3D"
"-3..3 days","Week 4 timing","P3D","Week 4","Timing","4 Weeks","TIM5","463dfc8f-9430-4c1c-bd6a-e1f74aaef1c7","P4W","Timing_5","P3D"
"-3..3 days","Week 6 timing","P3D","Week 6","Timing","6 Weeks","TIM6","9e776cfb-c6bb-4ec1-81d1-5476e57a0a0e","P6W","Timing_6","P3D"
"-3..3 days","Week 8 timing","P3D","Week 8","Timing","8 Weeks","TIM7","ad183440-d301-4774-bf6f-cad19f7d449c","P8W","Timing_7","P3D"
"-4..4 days","Week 12 timing","P4D","Week 12","Timing","12 Weeks","TIM9","31aef0a4-67d0-4e88-ae9a-6b14f6cf3ac6","P12W","Timing_9","P4D"
"-4..4 days","Week 16 timing","P4D","Week 16","Timing","16 Weeks","TIM11","362cfd2e-199a-4ecd-ad79-bda0ab3bd1f0","P16W","Timing_11","P4D"
"-4..4 days","Week 20 timing","P4D","Week 20","Timing","20 Weeks","TIM13","f54776a2-f802-4995-8032-613098988349","P20W","Timing_13","P4D"
"-4..4 days","Week 24 timing","P4D","Week 24","Timing","24 Weeks","TIM15","454f7f86-f95d-4e00-9ed5-31b71b5f3144","P24W","Timing_15","P4D"
"-3..3 days","Week 26 timing","P3D","Week 26","Timing","26 Weeks","TIM16","8753c052-4679-4e96-b113-6ae690711bd1","P26W","Timing_16","P3D"
"","Week 8 at home timing","","Week 8 Home","Timing","2 Weeks","TIM8","29e5f195-70d3-4fdd-a019-df7431277592","P2W","Timing_8",""
"","Week 12 at home timing","","Week 12 Home","Timing","2 Weeks","TIM10","474e5816-f30d-44d5-ad60-21d8d6d7e64e","P2W","Timing_10",""
"","Week 16 at home timing","","Week 16 Home","Timing","2 Weeks","TIM12","bec1080b-c0d4-4404-846d-b5617aee361d","P2W","Timing_12",""
"","Week 20 at home timing","","Week 20 Home","Timing","2 Weeks","TIM14","7dcb10ce-bf3f-48b6-867c-6af7a97c570f","P2W","Timing_14",""
"","Adverse Event","","Adverse Event","Timing","1 Day","TIM17","a2280cd6-7565-4a2e-8f4d-a5e79b50f427","P1D","Timing_17",""
"","Early Termination","","Early Termination","Timing","1 Day","TIM18","3f2d86ae-9797-463e-bcf8-d4d841ec5599","P1D","Timing_18",""
"","Supine","","Supine","Timing","0 mins","TIM19","3a331dd4-fd0f-4523-a095-b0d56f14ad44","PT0M","Timing_19",""
"","VS while supine","","VS while supine","Timing","5 mins","TIM20","fdd48dab-d3c0-4682-8939-6bc16e2c5993","PT5M","Timing_20",""
"","Standing","","Standing","Timing","0 min","TIM21","14c7be31-e474-40b6-8af7-0c701a42bbeb","PT0M","Timing_21",""
"","VS while standing","","VS while standing","Timing","1 min","TIM22","25cda04c-c288-435e-8fbf-0c5bb35f4af3","PT1M","Timing_22",""
"","Standing","","Standing","Timing","0 min","TIM23","7e66b2d5-d442-41c8-bb90-ed395f347091","PT0M","Timing_23",""
"","VS while standing","","VS while standing","Timing","2 min","TIM24","b2f82804-eaf9-4b84-835e-bfdaea8f0f2f","PT2M","Timing_24",""
