"name","uuid:ID","synonyms","id","label","reference","instanceType"
"Sex","df75dea3-4907-4028-9362-c34497a652c1","","BiomedicalConcept_20","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","050b6ef6-a04b-4576-9561-2d02dd2015b2","['Racial Group']","BiomedicalConcept_21","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Temperature","ec536b3e-2715-4d08-a0bb-ae7aadeda2bf","['Temperature', 'Body Temperature']","BiomedicalConcept_22","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","76e65ad7-f3d3-45ae-8707-c4e8b816ef63","['Weight', 'Body Weight']","BiomedicalConcept_23","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","19c04caf-b2be-40f0-8caf-e4394ba23f2c","['Height', 'Body Height']","BiomedicalConcept_24","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","a6587e5e-a926-4221-acf1-20e68cb67a21","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","e7c8a866-66f2-418c-8358-af91efec2788","['Albumin', 'Albumin Measurement']","BiomedicalConcept_26","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","80caf37e-5a10-49e0-8324-9e4fcb40e73c","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","08c2ea03-b4fb-4cdd-9799-5c5deec00474","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","57ed25c4-880d-4c14-b187-9a10abcc5c18","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_29","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","bfbfcb5a-273e-448c-9445-b0a7fe2971a2","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_30","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","3c030451-4427-4739-89ce-5ac1f7f95d44","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_31","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","c817da24-c305-4d95-b670-cfb350775324","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept"
"Adverse Event Prespecified","87716694-5022-48d2-a733-c0d72872e81f","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept"
"Systolic Blood Pressure","38cff27c-24cf-44c2-b14a-40dc6f208e41","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
