"name","uuid:ID","identifier","id","label","text","description","instanceType"
"IN01","ccfd553c-59f2-4d3e-81fe-d13f7809cc67","01","EligibilityCriterion_1","Age greater than 50","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>","","EligibilityCriterion"
"IN02","8e08e940-1d46-46b1-a7fd-d61d332ae074","02","EligibilityCriterion_2","Diagnosis of Alzheimer's","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>","","EligibilityCriterion"
"IN03","7ccc7e99-700e-4480-893e-b4b31a8f37e8","03","EligibilityCriterion_3","MMSE Score","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>","","EligibilityCriterion"
"IN04","edcde80d-7bcf-4d13-9cbe-c822454968a7","04","EligibilityCriterion_4","Hachinski Ischemic Score","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>","","EligibilityCriterion"
"IN05","6b29c114-a5de-4b01-ba4d-cce577ae76df","05","EligibilityCriterion_5","CNS imaging comptaible with Alzheimer's","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol style=""list-style-type: lower-alpha;"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>","","EligibilityCriterion"
"IN06","60c34509-1c84-4307-b0aa-4994e2027953","06","EligibilityCriterion_6","Informed consent criteria","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>","","EligibilityCriterion"
"IN07","878215c0-92e0-4e2c-816a-738bc392b1ee","07","EligibilityCriterion_7","Geographic proximity criteria","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>","","EligibilityCriterion"
"IN08","f9bad302-d712-4fcf-a673-8266ccc257b7","08","EligibilityCriterion_8","Reliable caregiver criteria","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>","","EligibilityCriterion"
"EX01","7743d2ba-4e08-44a5-9f3d-18473a241103","09","EligibilityCriterion_9","Previous study criteria","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>","","EligibilityCriterion"
"EX02","5b8d2351-20bc-472e-8f20-85f490637feb","10","EligibilityCriterion_10","Other Alzheimer's therapy criteria","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>","","EligibilityCriterion"
