"name","uuid:ID","id","value","windowUpper","windowLabel","label","valueLabel","description","windowLower","instanceType"
"TIM1","24cdfcc7-1a33-480e-93c9-f64f6815be61","Timing_1","P2W","","","Screening","2 weeks","Screening timing","","Timing"
"TIM2","2ffa589c-ee20-43d6-a111-e7b6ad13ecf4","Timing_2","P2D","PT0H","-4..0 hours","Pre dose","2 days","Pre dose timing","PT4H","Timing"
"TIM3","df1ffef1-b97a-421e-b0b4-3fb1cb29dd54","Timing_3","P1D","","","Dosing","1 Day","Dosing anchor","","Timing"
"TIM4","6136af4d-70f8-457e-b431-c449056f8a7b","Timing_4","P2W","P3D","-3..3 days","Week 2","2 Weeks","Week 2 timing","P3D","Timing"
"TIM5","230a2f76-8e67-4da3-a4cd-09ddcc1de839","Timing_5","P4W","P3D","-3..3 days","Week 4","4 Weeks","Week 4 timing","P3D","Timing"
"TIM6","e772f421-ca19-4dab-bd2e-a683bf358ec1","Timing_6","P6W","P3D","-3..3 days","Week 6","6 Weeks","Week 6 timing","P3D","Timing"
"TIM7","40551049-f77c-4537-9d9e-a6acaef4f242","Timing_7","P8W","P3D","-3..3 days","Week 8","8 Weeks","Week 8 timing","P3D","Timing"
"TIM9","53a6af26-58f7-45b2-934e-685314e51606","Timing_9","P12W","P4D","-4..4 days","Week 12","12 Weeks","Week 12 timing","P4D","Timing"
"TIM11","9440be46-53bd-41ec-96d0-fbb62d15f0bb","Timing_11","P16W","P4D","-4..4 days","Week 16","16 Weeks","Week 16 timing","P4D","Timing"
"TIM13","dc6e491f-7429-45fb-827b-b233dc6274eb","Timing_13","P20W","P4D","-4..4 days","Week 20","20 Weeks","Week 20 timing","P4D","Timing"
"TIM15","1586b21e-336f-4943-914f-a67cd20b55dd","Timing_15","P24W","P4D","-4..4 days","Week 24","24 Weeks","Week 24 timing","P4D","Timing"
"TIM16","3c7c27ae-621b-4432-a1e4-2c2fe78c6a64","Timing_16","P26W","P3D","-3..3 days","Week 26","26 Weeks","Week 26 timing","P3D","Timing"
"TIM8","a397e566-8f43-4ed8-a547-287bd3e2aa76","Timing_8","P2W","","","Week 8 Home","2 Weeks","Week 8 at home timing","","Timing"
"TIM10","0126557b-7693-4d7e-b493-926c2c2d7a5c","Timing_10","P2W","","","Week 12 Home","2 Weeks","Week 12 at home timing","","Timing"
"TIM12","81c630aa-da6d-4622-8f1d-3891fd79a534","Timing_12","P2W","","","Week 16 Home","2 Weeks","Week 16 at home timing","","Timing"
"TIM14","a7364835-2c81-4ca9-9c2e-21910a23cd9c","Timing_14","P2W","","","Week 20 Home","2 Weeks","Week 20 at home timing","","Timing"
"TIM17","8101c155-c696-4b25-b5a1-7f4b87e688c5","Timing_17","P1D","","","Adverse Event","1 Day","Adverse Event","","Timing"
"TIM18","1d848f14-d0cb-4133-a43a-61ada5395f2c","Timing_18","P1D","","","Early Termination","1 Day","Early Termination","","Timing"
"TIM19","efbfbbbe-52fa-45c7-9df3-eb170b1b83f0","Timing_19","PT0M","","","Supine","0 mins","Supine","","Timing"
"TIM20","4f7dd732-114c-4b4a-99e8-e8dfe5b6dcd3","Timing_20","PT5M","","","VS while supine","5 mins","VS while supine","","Timing"
"TIM21","4a0c98b6-3890-4f88-b937-a3bbfeb06020","Timing_21","PT0M","","","Standing","0 min","Standing","","Timing"
"TIM22","c1e35222-993d-4f60-bcf8-c10a1359ae9d","Timing_22","PT1M","","","VS while standing","1 min","VS while standing","","Timing"
"TIM23","2915a1a5-2476-4dbd-bcc9-9ba931520376","Timing_23","PT0M","","","Standing","0 min","Standing","","Timing"
"TIM24","b6be1b48-4c6b-4fe0-a979-2dc9c5f4ff07","Timing_24","PT2M","","","VS while standing","2 min","VS while standing","","Timing"
