"name","uuid:ID","purpose","id","label","text","description","instanceType"
"END1","d1f77fde-3a62-4f64-b755-63f99ed96fdc","","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint"
"END2","d6068f30-ab13-4c8f-817a-4a5989070e5d","","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint"
"END3","ef1b596e-ecdd-459d-9d4a-f860b2c28dde","","Endpoint_3","","Adverse events","","Endpoint"
"END4","099db8bd-8d5d-42fc-8185-fdc2c0a87e54","","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint"
"END5","4e8a7565-3927-4eaa-b005-9653748e9142","","Endpoint_5","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint"
"END6","925cd8a8-1b6f-4f50-a215-100c48d1c0b4","","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint"
"END7","2777617d-68c0-4f22-8add-876ef9b7a95d","","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint"
"END8","109042a7-734a-48fc-b698-36f43f757ce5","","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint"
"END9","ba1b1b53-eac8-4ac9-911a-71f96416dc45","","Endpoint_9","","*** To be determined from protocol ***","","Endpoint"
"END10","3f486ba5-05d9-40ba-94b1-366008aa8865","","Endpoint_10","","*** To be determined from protocol ***","","Endpoint"
"END11","7f870e52-d2d1-4744-931b-d4eac1e21365","","Endpoint_11","","*** To be determined from protocol ***","","Endpoint"
