"name","uuid:ID","id","label","description","instanceType"
"E1","3940eb3b-7ebb-4a34-a77f-caeb3b4cc803","Encounter_1","Screening 1","Screening encounter","Encounter"
"E2","1ddbbc84-a43d-4d7c-afb8-15054d076e6a","Encounter_2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter"
"E3","2620fbf8-7c6e-4b0a-9c77-ae392a7d094a","Encounter_3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter"
"E4","6f337e61-45ae-4901-82bc-169c8ae34d43","Encounter_4","Week 2","Day 14","Encounter"
"E5","307673d6-4dae-4cc9-9484-b7e1aa6598f6","Encounter_5","Week 4","Day 28","Encounter"
"E7","d41e353d-eee4-407c-abae-13b72c90419f","Encounter_6","Week 6","Day 42","Encounter"
"E8","90ac3c4f-0cad-4dad-9c45-6b461488bc4f","Encounter_7","Week 8","Day 56","Encounter"
"E9","51b81f46-db0f-4519-9bf7-1f44f3b416f6","Encounter_8","Week 12","Day 84","Encounter"
"E10","b70c856e-259b-4131-8432-4820fdfb5aab","Encounter_9","Week 16","Day 112","Encounter"
"E11","51937b7c-86a4-4b1c-94bc-756c214d86dc","Encounter_10","Week 20","Day 140","Encounter"
"E12","d67e0da8-f1ed-4117-8fc0-a017d9dde987","Encounter_11","Week 24","Day 168","Encounter"
"E13","c7d8ea16-e36c-4826-91f7-34d3656e4ad5","Encounter_12","Week 26","Day 182","Encounter"
