"uuid:ID","code","id","codeSystemVersion","decode","instanceType","codeSystem"
"7a0d1fb4-9949-4866-861a-ac2201281ec8","C98388","Code_1","2023-12-15","Interventional Study","Code","http://www.cdisc.org"
"7d1d69a9-daeb-458b-90eb-74f6ee28cb99","C15601","Code_2","2023-12-15","Phase II Trial","Code","http://www.cdisc.org"
"65a2d3c4-a2fb-45ba-a737-307e5b6395f8","C132352","Code_9","2023-12-15","Sponsor Approval Date","Code","http://www.cdisc.org"
"90988e38-3eb8-4f00-be18-a012b98701a6","C68846","Code_10","2023-12-15","Global","Code","http://www.cdisc.org"
"bf4e5d6b-2230-4df5-8916-6ef8b9c45f5a","C99904x3","Code_72","2023-12-15","IRB/IEC Feedback","Code","http://www.cdisc.org"
"244c89dc-f99d-4bcc-8f90-62f59077ada2","C17649","Code_73","2023-12-15","Other","Code","http://www.cdisc.org"
"413fdaa5-778f-499f-b4b1-9f9b023ffe1a","C41129","Code_75","2023-12-15","Region","Code","http://www.cdisc.org"
"e571f744-edbc-4df2-9301-7a924cb8e9e6","150","Code_74","2020-08","Europe","Code","ISO 3166 1 alpha3"
"359790c2-075c-4529-8828-4f350b0d07d7","PHARMA","Code_4","12","Eli Lilly","Code","SPONSOR"
"52924a4a-7d92-4786-8b5f-f2e297bd29ad","C70793","Code_76","2023-12-15","Clinical Study Sponsor","Code","http://www.cdisc.org"
"60ba7b52-e33c-48c3-9793-7e6e7e75d79c","USA","Code_77","2020-08","United States of America","Code","ISO 3166 1 alpha3"
"b9a103bd-408f-4f11-8cb0-a91dbdba917c","C93453","Code_78","2023-12-15","Study Registry","Code","http://www.cdisc.org"
"5285ceb8-f7e7-49b6-8f1e-5d13e140e37c","USA","Code_79","2020-08","United States of America","Code","ISO 3166 1 alpha3"
"bd74ad5e-cdd6-401b-a366-62f6af58d11c","C49656","Code_137","2023-12-15","Treatment Study","Code","http://www.cdisc.org"
"b4df3b2d-dad3-4842-a9d1-1e19b56b2e82","C49666","Code_138","2023-12-15","Efficacy Study","Code","http://www.cdisc.org"
"f846fc4d-9281-4894-884e-7b4750bfb67e","C49667","Code_139","2023-12-15","Safety Study","Code","http://www.cdisc.org"
"03522908-d6a7-455f-8263-3a1fb7342b82","C49663","Code_140","2023-12-15","Pharmacokinetic Study","Code","http://www.cdisc.org"
"8a280baf-6931-4902-af00-1c01915b2471","MILD_MOD_ALZ","Code_134","12","Mild to Moderate Alzheimer's Disease","Code","SPONSOR"
"1e37db1b-0d03-4208-b213-372b9472acce","26929004","Code_135","January 31, 2018","Alzheimer's disease","Code","SNOMED"
"48b37062-acb6-4b1a-a86f-8d99c5797d31","C99907x1","Code_143","2023-12-15","EXTENSION","Code","http://www.cdisc.org"
"0f90f4b8-3ce4-4658-8282-461ae3dd77b3","C98704","Code_144","2023-12-15","ADAPTIVE","Code","http://www.cdisc.org"
"afe76e1f-9c0b-43ce-9829-5beec950d88f","C82639","Code_141","2023-12-15","Parallel Study","Code","http://www.cdisc.org"
"2b0e7518-9abf-470d-bc7c-170516a6300b","C25716","Code_83","2023-12-15","Visit","Code","http://www.cdisc.org"
"5a89c394-37d9-4cb3-b215-ba83e308e59a","C51282","Code_84","2023-12-15","Clinic","Code","http://www.cdisc.org"
"0e6e226d-efa2-4489-a52b-34166d1468e0","C175574","Code_85","2023-12-15","In Person","Code","http://www.cdisc.org"
"a1ec2b29-0432-4440-82ae-860f514c4e06","C25716","Code_86","2023-12-15","Visit","Code","http://www.cdisc.org"
"7b79b0c5-acdf-43e6-ae05-15e40dd8af9b","C51282","Code_87","2023-12-15","Clinic","Code","http://www.cdisc.org"
"44114507-60b7-4d96-bcc9-39dc3a5a548f","C175574","Code_88","2023-12-15","In Person","Code","http://www.cdisc.org"
"77972666-5002-47bd-aa21-161c3ecbd233","C25716","Code_89","2023-12-15","Visit","Code","http://www.cdisc.org"
"8e355465-ff25-48a3-b176-630b4129fc47","C51282","Code_90","2023-12-15","Clinic","Code","http://www.cdisc.org"
"8b51db4d-4377-48f0-bd91-f75715181dd2","C175574","Code_91","2023-12-15","In Person","Code","http://www.cdisc.org"
"4baede43-b4e3-428a-91a4-38ddcc53ee82","C25716","Code_92","2023-12-15","Visit","Code","http://www.cdisc.org"
"451bac6e-48b8-44f7-abf2-ffc5a8bd976e","C51282","Code_93","2023-12-15","Clinic","Code","http://www.cdisc.org"
