"name","uuid:ID","id","label","description","instanceType"
"SCREEN1","7036b2ab-5759-41ef-a639-d471f49a26fc","ScheduledActivityInstance_9","Screen One","-","ScheduledActivityInstance"
"SCREEN2","4e0e8d1a-97ce-4c8c-81e1-fb99bad5a2ac","ScheduledActivityInstance_10","Screen Two","-","ScheduledActivityInstance"
"DOSE","dfca9f80-e8a3-47a4-8d30-78fbfe391970","ScheduledActivityInstance_11","Dose","-","ScheduledActivityInstance"
"WK2","0325731e-80d4-41d6-9339-f0eb96ec156b","ScheduledActivityInstance_12","Week 2","-","ScheduledActivityInstance"
"WK4","3e6fd6ce-1b01-40c7-a6fe-b5f5b2f67bd1","ScheduledActivityInstance_13","Week 4","-","ScheduledActivityInstance"
"WK6","2356b74d-4369-448b-bf20-be5ecb98e66c","ScheduledActivityInstance_14","Week 6","-","ScheduledActivityInstance"
"WK8","0a0a1e51-4886-490b-a16f-5c09ea184109","ScheduledActivityInstance_15","Week 8","-","ScheduledActivityInstance"
"WK8N","a1ce3536-9be7-4eb9-b6bc-64451e741a02","ScheduledActivityInstance_16","Week NPI","-","ScheduledActivityInstance"
"WK12","36ca98c4-cb4e-41e4-9106-a5c7ebc0a54e","ScheduledActivityInstance_17","Week 12","-","ScheduledActivityInstance"
"WK12N","cf32faf4-49bd-4a0a-a6c6-eeee42d5a10a","ScheduledActivityInstance_18","Week 12 NPI","-","ScheduledActivityInstance"
"WK16","b8ff7838-e81a-4cc3-93d9-acc9868a5f6a","ScheduledActivityInstance_19","Week 16","-","ScheduledActivityInstance"
"WK16N","c4fb5cdd-05d5-46ec-b482-7c3e1cfd2b28","ScheduledActivityInstance_20","Week 16 NPI","-","ScheduledActivityInstance"
"WK20","2b6c3a48-a5ea-40e1-be0f-7bb8231be07c","ScheduledActivityInstance_21","Week 20","-","ScheduledActivityInstance"
"WK20N","62a82b7d-11f0-422f-b6f7-c0989354f2a5","ScheduledActivityInstance_22","Week 20 NPI","-","ScheduledActivityInstance"
"WK24","c05069ea-ed4e-41f2-ad5d-8509e86c887b","ScheduledActivityInstance_23","Week 24","-","ScheduledActivityInstance"
"WK26","291dbb87-24b7-43f1-881d-a18143a037ac","ScheduledActivityInstance_24","Week 26","-","ScheduledActivityInstance"
"AE","fad4649a-ffcf-4673-912d-a0e870926b1a","ScheduledActivityInstance_1","Adevers Event","-","ScheduledActivityInstance"
"ET","e2aa0538-3f9d-4d0c-995a-dda6881e5709","ScheduledActivityInstance_2","Early Termination","-","ScheduledActivityInstance"
"VS_5MIN","cb4cb8ce-2d28-4b5a-b798-cca228dcd520","ScheduledActivityInstance_3","5 minute supine","","ScheduledActivityInstance"
"VS_SUPINE","cf418a6a-7d8f-4396-8481-da628998f514","ScheduledActivityInstance_4","Vital signs supine","","ScheduledActivityInstance"
"VS_1MIN","21edf906-7077-4192-a797-5e067198fcd8","ScheduledActivityInstance_5","1 minute standing","","ScheduledActivityInstance"
"VS_STAND1","d28495c0-2dda-4af6-aea5-82b51c8cccc2","ScheduledActivityInstance_6","Vital signs after 1 min standing","","ScheduledActivityInstance"
"VS_2MIN","7ba324b9-1bc8-4d6c-8af8-2f820b7750f1","ScheduledActivityInstance_7","2 minute standing","","ScheduledActivityInstance"
"VS_STAND3","d1d5426b-c2aa-48a6-ab4d-19dd3af2e124","ScheduledActivityInstance_8","Vital signs after 3 min standing","","ScheduledActivityInstance"
