"name","uuid:ID","id","label","description","instanceType"
"Informed consent","30ee3b8e-2324-418b-a7e5-c803a7ed19da","Activity_1","Informed consent","","Activity"
"Inclusion/exclusion criteria","552b2e23-fc91-4fe3-ab75-ab6ac7b87fa9","Activity_2","Inclusion and exclusion criteria","","Activity"
"Patient number assigned","ec1f0898-d1e1-46f8-ae84-1f3ae0ffda25","Activity_3","Patient number assigned","","Activity"
"Demographics","a7b26bcf-038e-43a1-8f12-6ef8d41e0ab5","Activity_4","Demographics","","Activity"
"Hachinski","fc81d531-8475-4ab0-ab99-e1911635e25f","Activity_5","Hachinski Ischemic Scale","","Activity"
"MMSE","03f333d9-7558-4fbe-9c3d-321ff48875ae","Activity_6","MMSE","","Activity"
"Physical examination","d7ca0b76-bba4-4004-89b8-ad7865d0d89b","Activity_7","Physical examination","","Activity"
"Medical history","21b19023-46a0-4727-b83f-d0faf1186d39","Activity_8","Medical history","","Activity"
"Habits","6f8bbba9-b814-4360-a8ec-84646c5357fb","Activity_9","Habits","","Activity"
"Chest X-ray","fe170c95-38c5-47d6-a86f-dc894ced9961","Activity_10","Chest X-ray","","Activity"
"Apo E genotyping","b7750ab3-01cd-4117-96b0-4e6d0bfa65e1","Activity_11","Apo E genotyping","","Activity"
"Patient randomised","a65012b9-58f5-4ee1-b545-84791c118d27","Activity_12","Patient randomised","","Activity"
"Vital signs / Temperature","7fd4794e-fa20-4471-8a53-6d8077754577","Activity_13","Vital Signs and Temperature","","Activity"
"Ambulatory ECG placed","75312b82-2e8c-4b81-8e3d-b8ad672d84c5","Activity_14","Ambulatory ECG placed","","Activity"
"Ambulatory ECG removed","196f921b-1398-4ecf-b024-135a42dafb9e","Activity_15","Ambulatory ECG removed","","Activity"
"ECG","b108cd67-12dd-462d-b4ce-57557704b41c","Activity_16","ECG","","Activity"
"Placebo TTS test","f05cec3c-6685-4dee-9f4e-9c8f4edfb4f8","Activity_17","Placebo TTS test","","Activity"
"CT scan","38bb0870-7f0c-4b78-8314-bb5d45e51a19","Activity_18","CT scan","","Activity"
"Concomitant medications","9e110fa8-92c5-4386-87a8-b9688bdcc6c4","Activity_19","Concomitant medications","","Activity"
"Hematology","217a483b-80f7-4c7d-ba38-b7ce7045084e","Activity_20","Hematology","","Activity"
"Chemistry","66a26461-36b2-405d-b3f4-0cf02ef6e48c","Activity_21","Chemistry","","Activity"
"Uninalysis","01af3b57-4c18-4f11-af39-cb4198f82877","Activity_22","Uninalysis","","Activity"
"Plasma Specimen (Xanomeline)","eee7c94c-955a-4750-8a64-5f18af1c4999","Activity_23","Plasma Specimen (Xanomeline)","","Activity"
"Hemoglobin A1C","4db38a10-dd01-4a8b-bb1e-3ec3ff2ee18b","Activity_24","Hemoglobin A1C","","Activity"
"Study drug","d6ab36d0-9cc7-48ae-a5af-370a17b661b5","Activity_25","Study drug record , Medications dispensed, Medications returned","","Activity"
"TTS Acceptability Survey","fee8da0b-3112-488b-a2fe-ddfc63fb2d3c","Activity_26","TTS Acceptability Survey","","Activity"
"ADAS-Cog","d4f004b7-22e4-4356-9949-d69e48f05092","Activity_27","ADAS-Cog","","Activity"
"CIBIC+","ac8a368c-0f3f-4dac-9a11-cf5d5c1af467","Activity_28","CIBIC+","","Activity"
"DAD","5ddff1f9-851d-49db-bbca-23e7d8d54b2e","Activity_29","DAD","","Activity"
"NPI-X","dc23fcd7-8203-4f2e-8170-178a4c7c3b0f","Activity_30","NPI-X","","Activity"
"Adverse events","fa9727a0-b247-49a3-a0db-687bf71fd6ee","Activity_31","Adverse events","","Activity"
"Check adverse events","64d91f42-a179-418c-a2a6-0e956c409dbf","Activity_32","Check adverse events","","Activity"
"Supine","0ec893c0-a1d9-4da2-8bd4-795d6fe503a2","Activity_33","Subject supine","","Activity"
"Vital Signs Supine","28274658-5d05-4cd4-8662-45d4a4c574f5","Activity_34","Vital signs while supine","","Activity"
"Stand","d447c592-369f-4aeb-8a9d-e19d019c6806","Activity_35","Subject Standing","","Activity"
"Vital Signs Standing","fbfa3f5c-3b88-47cc-9292-538a8f4c109e","Activity_36","Vital signs while standing","","Activity"
