"instanceType","text","name","id","uuid:ID"
"TransitionRule","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1","4d110820-beb1-40c0-b1ec-d187b4f72334"
"TransitionRule","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2","9bd73c77-8f8c-4b26-8420-6920aa95d0c6"
"TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3","3bb62a03-71b3-489c-ba17-bb7fe85be618"
"TransitionRule","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4","9d32b42b-c618-42fa-8192-0cb20fdd3f31"
"TransitionRule","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5","39d8de82-0fc3-44f6-b178-4c93eb5c76c9"
"TransitionRule","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6","c66e6f46-fd4c-404b-b34a-03dce6794838"
"TransitionRule","Informed consent","ELEMENT_START_RULE_1","TransitionRule_7","26c745ec-78e3-4a4c-8fae-971c5459ec68"
"TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8","647cee09-65e8-4c66-b67c-a8ea97405a55"
"TransitionRule","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9","60236cd8-8df1-4474-a076-7a8f5966019c"
"TransitionRule","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14","77c8e33e-ab46-4162-8eb7-1cdcc27b0d46"
"TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15","cbca98da-1867-4031-aa68-04d6e2a58e09"
"TransitionRule","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10","3524012d-e012-4a3f-9277-035dc5063847"
"TransitionRule","Randomized","ELEMENT_START_RULE_4","TransitionRule_11","cf060636-36a0-4a08-87eb-cd953847dcf3"
"TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12","6ce9e5d4-418d-4725-8611-b2b17e06067e"
"TransitionRule","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13","4a053aa8-b0b2-45b4-8730-7e024e1216fa"
