"instanceType","name","id","description","uuid:ID","label"
"Activity","Informed consent","Activity_1","","1110fe0c-0ba7-4f30-96d4-cb6196fe30d9","Informed consent"
"Activity","Inclusion/exclusion criteria","Activity_2","","c017cf47-773d-44ed-b2ab-ff94cd20a967","Inclusion and exclusion criteria"
"Activity","Patient number assigned","Activity_3","","81b615ab-67ea-44bd-ab3b-e58442dd3a1a","Patient number assigned"
"Activity","Demographics","Activity_4","","ad492ca9-49f6-4265-b53a-b7f840c10421","Demographics"
"Activity","Hachinski","Activity_5","","8686c97e-a1a0-484f-9b81-6665440bae62","Hachinski Ischemic Scale"
"Activity","MMSE","Activity_6","","2d8a8396-f641-4fe1-925d-35d20fa93189","MMSE"
"Activity","Physical examination","Activity_7","","fa94155e-7fea-45c9-93f8-347be962384d","Physical examination"
"Activity","Medical history","Activity_8","","945fd783-87dd-4814-aafd-d4e1ae8457d5","Medical history"
"Activity","Habits","Activity_9","","37eecf68-5732-4cce-bad8-aa5039792e5b","Habits"
"Activity","Chest X-ray","Activity_10","","148e57aa-1760-4ae2-a542-053eb86194c2","Chest X-ray"
"Activity","Apo E genotyping","Activity_11","","aa7402ca-eb2c-4955-bda8-e70c309b925f","Apo E genotyping"
"Activity","Patient randomised","Activity_12","","76bd9ed5-cadc-4bc8-8a73-000da6b0f87c","Patient randomised"
"Activity","Vital signs / Temperature","Activity_13","","75bfd59c-571c-4879-b67c-092512329142","Vital Signs and Temperature"
"Activity","Ambulatory ECG placed","Activity_14","","cbe73b2d-e865-4f2d-96dd-e65b425400fc","Ambulatory ECG placed"
"Activity","Ambulatory ECG removed","Activity_15","","1f42cfe0-f250-4013-a1ad-072a2e51a5e7","Ambulatory ECG removed"
"Activity","ECG","Activity_16","","a9c23a0a-7147-44c0-89e4-10967e64c44c","ECG"
"Activity","Placebo TTS test","Activity_17","","15b1757b-e108-4614-b3ec-ffec4ac65137","Placebo TTS test"
"Activity","CT scan","Activity_18","","7d547ef9-2728-4cc7-82ff-3c04fc170195","CT scan"
"Activity","Concomitant medications","Activity_19","","eaab769f-6b27-40db-b1ab-a9e4f3f4048c","Concomitant medications"
"Activity","Hematology","Activity_20","","5ebf832d-bf4a-481a-87df-4b023fc3f6c4","Hematology"
"Activity","Chemistry","Activity_21","","84b6b930-3195-44db-8da1-c919d6a8b907","Chemistry"
"Activity","Uninalysis","Activity_22","","c36e3852-a418-4688-a9a3-cfda1c53ee32","Uninalysis"
"Activity","Plasma Specimen (Xanomeline)","Activity_23","","a15e646b-ca76-4f40-9d5b-ba622c260370","Plasma Specimen (Xanomeline)"
"Activity","Hemoglobin A1C","Activity_24","","eb1b468c-8253-40ba-a697-e2e85e35f3c8","Hemoglobin A1C"
"Activity","Study drug","Activity_25","","b529841c-b627-4355-af6c-cf71457f08ee","Study drug record , Medications dispensed, Medications returned"
"Activity","TTS Acceptability Survey","Activity_26","","04a7541c-e94f-489a-ba38-de5879d288d6","TTS Acceptability Survey"
"Activity","ADAS-Cog","Activity_27","","774078a6-7979-44e9-9010-9405ae6a0d74","ADAS-Cog"
"Activity","CIBIC+","Activity_28","","3bc8f401-42dc-4af7-b8d0-180321f9c142","CIBIC+"
"Activity","DAD","Activity_29","","784ef7dc-c92b-4609-8ae8-af4b23838b34","DAD"
"Activity","NPI-X","Activity_30","","c367c00b-1606-4e85-8dc3-fc345d15a52e","NPI-X"
"Activity","Adverse events","Activity_31","","903e0fd6-3297-400f-acf0-6461c7200aaa","Adverse events"
"Activity","Check adverse events","Activity_32","","15c288a5-293c-4304-afdf-aa80b973d7ce","Check adverse events"
"Activity","Supine","Activity_33","","db51ad59-ac85-4319-b2fe-bfea247a180e","Subject supine"
"Activity","Vital Signs Supine","Activity_34","","07015a13-45fb-4795-bc64-304e6f4ca443","Vital signs while supine"
"Activity","Stand","Activity_35","","6b787c53-2813-47ae-8b5a-859cdc0c4e6f","Subject Standing"
"Activity","Vital Signs Standing","Activity_36","","594ba14b-6cd1-4671-a0dc-d9527e694164","Vital signs while standing"
