"instanceType","name","id","synonyms","uuid:ID","reference","label"
"BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","fb469798-923d-4c30-a76b-46ff2bb269eb","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"BiomedicalConcept","Sex","BiomedicalConcept_21","","6e2927b2-8a11-4c4d-8e16-fe74e0ad499c","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"BiomedicalConcept","Race","BiomedicalConcept_22","['Racial Group']","179facfd-abfe-41c3-b2c5-b4f5a0cd1290","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"BiomedicalConcept","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']","98d1e95b-3490-4eda-ade5-3f812ccb7f00","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"BiomedicalConcept","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']","c9579035-3608-49a4-a959-1caff87ff570","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"BiomedicalConcept","Height","BiomedicalConcept_25","['Height', 'Body Height']","62186a20-97b2-43e6-b08a-0ae39a1fcf32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","2dcff982-4895-47a8-8d0b-7ee38f36ee1d","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","8892171d-18a0-40e5-862e-304ccce0ddf6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","f02c4886-07e4-4209-a90b-973df5d959c2","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","7664fb90-090d-4559-b869-9dae37373138","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","06031416-2a90-46a2-b9ac-c6475cce888e","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","799b75c3-091f-46a6-806e-00ee3b58ee86","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","bba3776e-2886-4dca-ab19-f10a20ee4895","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","9aec3435-486c-4aef-9c65-336c925307f1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","827e6122-570f-48fb-a2e9-edca73384cf3","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","c304462f-c4da-4fd8-a6c1-351515be6b5c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","e9e0dcae-592b-4d45-b40c-0e1365783dc5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
