"instanceType","name","windowUpper","value","id","valueLabel","windowLabel","description","uuid:ID","label","windowLower"
"Timing","TIM1","","P2W","Timing_1","2 weeks","","Screening timing","701405d6-cad9-4c0d-a1d6-d286e9f48313","Screening",""
"Timing","TIM2","PT0H","P2D","Timing_2","2 days","-4..0 hours","Pre dose timing","69775db6-d530-4aaa-ab55-a50ffce20206","Pre dose","PT4H"
"Timing","TIM3","","P1D","Timing_3","1 Day","","Dosing anchor","8f2e6e09-cf5b-441b-9cd9-e3954cbe25f5","Dosing",""
"Timing","TIM4","P3D","P2W","Timing_4","2 Weeks","-3..3 days","Week 2 timing","52ce0482-fee3-4a74-8a9f-6c919dcea42a","Week 2","P3D"
"Timing","TIM5","P3D","P4W","Timing_5","4 Weeks","-3..3 days","Week 4 timing","6c2667cd-4c94-4d97-9b37-48be71ff9680","Week 4","P3D"
"Timing","TIM6","P3D","P6W","Timing_6","6 Weeks","-3..3 days","Week 6 timing","f4151f01-90f9-4a63-8098-add124d0bdd0","Week 6","P3D"
"Timing","TIM7","P3D","P8W","Timing_7","8 Weeks","-3..3 days","Week 8 timing","5440e638-eed1-4b91-82e5-3cda29bac1c3","Week 8","P3D"
"Timing","TIM9","P4D","P12W","Timing_9","12 Weeks","-4..4 days","Week 12 timing","21aec0d1-8536-4391-bebd-eeca34916a77","Week 12","P4D"
"Timing","TIM11","P4D","P16W","Timing_11","16 Weeks","-4..4 days","Week 16 timing","c658a3b8-bbf5-460e-91f2-6fd566ad3d12","Week 16","P4D"
"Timing","TIM13","P4D","P20W","Timing_13","20 Weeks","-4..4 days","Week 20 timing","e1b81d72-2d4d-467b-b09f-aca5e7064cc4","Week 20","P4D"
"Timing","TIM15","P4D","P24W","Timing_15","24 Weeks","-4..4 days","Week 24 timing","526f62a3-787c-4ef4-ba6d-53a6b744db40","Week 24","P4D"
"Timing","TIM16","P3D","P26W","Timing_16","26 Weeks","-3..3 days","Week 26 timing","e10117bc-806c-4391-a30c-1b66f9152d9f","Week 26","P3D"
"Timing","TIM8","","P2W","Timing_8","2 Weeks","","Week 8 at home timing","5ab9bad3-4a8e-4ef6-b5db-599c6874ffce","Week 8 Home",""
"Timing","TIM10","","P2W","Timing_10","2 Weeks","","Week 12 at home timing","4d54cacc-64b0-43e7-8d5a-a90a3195061f","Week 12 Home",""
"Timing","TIM12","","P2W","Timing_12","2 Weeks","","Week 16 at home timing","8c942212-6d84-4f2b-a6c1-cced6c7a0bf4","Week 16 Home",""
"Timing","TIM14","","P2W","Timing_14","2 Weeks","","Week 20 at home timing","df6aed18-3232-49cd-81c9-064b8927bc9f","Week 20 Home",""
"Timing","TIM17","","P1D","Timing_17","1 Day","","Adverse Event","b8868804-a0b8-4e1a-b226-ac6e67451b55","Adverse Event",""
"Timing","TIM18","","P1D","Timing_18","1 Day","","Early Termination","4d66b24d-e9e9-4582-b1e4-a2a3d1a036f5","Early Termination",""
"Timing","TIM19","","PT0M","Timing_19","0 mins","","Supine","b27f0018-a3a4-4cd7-a95e-171533ad034d","Supine",""
"Timing","TIM20","","PT5M","Timing_20","5 mins","","VS while supine","5c6b6b1e-1081-4f84-ad22-0bca5601c17e","VS while supine",""
"Timing","TIM21","","PT0M","Timing_21","0 min","","Standing","26cee791-b7da-4b5b-97f0-498c074b5da8","Standing",""
"Timing","TIM22","","PT1M","Timing_22","1 min","","VS while standing","25fe4b25-ee53-4c3b-88ee-0545d6fab3fb","VS while standing",""
"Timing","TIM23","","PT0M","Timing_23","0 min","","Standing","3e3f309a-0fe1-4013-9033-667e5baae269","Standing",""
"Timing","TIM24","","PT2M","Timing_24","2 min","","VS while standing","02c23454-25dd-468f-9f84-2e139b8c5606","VS while standing",""
