"instanceType","code","id","codeSystem","codeSystemVersion","decode","uuid:ID"
"Code","C98388","Code_1","http://www.cdisc.org","2023-12-15","Interventional Study","df0b2f0e-7c38-403a-aeff-193ef733232a"
"Code","C15601","Code_2","http://www.cdisc.org","2023-12-15","Phase II Trial","5db8b1f1-2067-4353-ab98-fe88b6b67ec6"
"Code","C132352","Code_9","http://www.cdisc.org","2023-12-15","Sponsor Approval Date","28fd1a8d-3f28-415f-928a-3dabfe2680f8"
"Code","C68846","Code_10","http://www.cdisc.org","2023-12-15","Global","00125dc7-8840-4bc9-bdc1-53e9122eb71a"
"Code","C99904x3","Code_72","http://www.cdisc.org","2023-12-15","IRB/IEC Feedback","7ba8eaa1-c894-454f-a5a5-7c312240109f"
"Code","C17649","Code_73","http://www.cdisc.org","2023-12-15","Other","59126aa9-3c97-435c-8b2a-4e1296389fc7"
"Code","C41129","Code_75","http://www.cdisc.org","2023-12-15","Region","080850ed-f79c-4c00-8fcd-45f6606fb89d"
"Code","150","Code_74","ISO 3166 1 alpha3","2020-08","Europe","fd522326-92ea-426f-b2fa-a0e3bedd7708"
"Code","PHARMA","Code_4","SPONSOR","12","Eli Lilly","ded875a7-f4cd-44ea-a7f9-06f16cc8f18b"
"Code","C70793","Code_76","http://www.cdisc.org","2023-12-15","Clinical Study Sponsor","68e891f9-6c49-4b34-95db-6014629d2174"
"Code","USA","Code_77","ISO 3166 1 alpha3","2020-08","United States of America","216450dc-6d73-4f3b-bd90-c8abd40ea194"
"Code","C93453","Code_78","http://www.cdisc.org","2023-12-15","Study Registry","cebcfcbb-c6da-4ce6-8d66-61412b640d60"
"Code","USA","Code_79","ISO 3166 1 alpha3","2020-08","United States of America","fb627b34-046e-41ac-9dc7-a8f5e358daee"
"Code","C49656","Code_137","http://www.cdisc.org","2023-12-15","Treatment Study","375ebc7d-3158-4c0e-bd82-99ffe9058e1b"
"Code","C49666","Code_138","http://www.cdisc.org","2023-12-15","Efficacy Study","4a039b12-44ee-4e27-b218-deea17647081"
"Code","C49667","Code_139","http://www.cdisc.org","2023-12-15","Safety Study","e751428e-3e1c-4353-89ce-97b7a161648f"
"Code","C49663","Code_140","http://www.cdisc.org","2023-12-15","Pharmacokinetic Study","751f2440-5c44-468f-bdda-6dec3a94f57a"
"Code","MILD_MOD_ALZ","Code_134","SPONSOR","12","Mild to Moderate Alzheimer's Disease","068a5b33-e62b-4125-8623-0841272f387e"
"Code","26929004","Code_135","SNOMED","January 31, 2018","Alzheimer's disease","3cfe69d3-f8cc-4ff2-b3ea-eaf2b38fdb0c"
"Code","C99907x1","Code_143","http://www.cdisc.org","2023-12-15","EXTENSION","cb04f463-0e05-4b78-9d52-23e3e262ebee"
"Code","C98704","Code_144","http://www.cdisc.org","2023-12-15","ADAPTIVE","05621f2e-bb42-4179-bfee-630ed43e0cbc"
"Code","C82639","Code_141","http://www.cdisc.org","2023-12-15","Parallel Study","716998f1-48ca-4cf1-804d-0775a5bb0589"
"Code","C25716","Code_83","http://www.cdisc.org","2023-12-15","Visit","ef9e7dce-0b0f-43bc-80bc-86cdfd9e78aa"
"Code","C51282","Code_84","http://www.cdisc.org","2023-12-15","Clinic","5e8317da-e2cd-431b-bb2f-9923f2a2c9fa"
"Code","C175574","Code_85","http://www.cdisc.org","2023-12-15","In Person","e9408706-d99b-440b-a2d5-7d0e2abfeabf"
"Code","C25716","Code_86","http://www.cdisc.org","2023-12-15","Visit","8f6cc0a2-fc2b-4cbc-8137-80eeb3f3820a"
