"instanceType","name","id","description","uuid:ID","label"
"Encounter","E1","Encounter_1","Screening encounter","3d0b9f83-bc0b-4f13-9ab2-dda2aee079bc","Screening 1"
"Encounter","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","c6765d87-2241-4fdb-8289-5efa26eb5ca6","Screening 2"
"Encounter","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","ece06050-dbe5-42b4-9c85-32ff91be5d3e","Baseline"
"Encounter","E4","Encounter_4","Day 14","503afeb9-4cca-434d-b296-ee14f5598d3f","Week 2"
"Encounter","E5","Encounter_5","Day 28","ae082b11-da39-45ee-a73a-0ea9476c8e86","Week 4"
"Encounter","E7","Encounter_6","Day 42","f75354c5-9e36-49d6-b0bd-852dbe790abd","Week 6"
"Encounter","E8","Encounter_7","Day 56","bfe3e786-2e40-4139-9942-95e1206cc6c9","Week 8"
"Encounter","E9","Encounter_8","Day 84","be59f041-913e-4dcb-aa21-856dd918a932","Week 12"
"Encounter","E10","Encounter_9","Day 112","2714780c-9e7b-4cfc-83e9-61f3f68f3b46","Week 16"
"Encounter","E11","Encounter_10","Day 140","9af8cc0a-e004-45f7-8acc-6ff7cddeda4b","Week 20"
"Encounter","E12","Encounter_11","Day 168","fc2ca7b3-d7de-488d-b165-32fbb503e7f5","Week 24"
"Encounter","E13","Encounter_12","Day 182","bf07bf54-c854-449b-9f32-5fea4d5b5c9a","Week 26"
