"instanceType","name","id","description","uuid:ID","label"
"ScheduledActivityInstance","SCREEN1","ScheduledActivityInstance_9","-","01243fbc-7646-4adf-87a3-5622511ba369","Screen One"
"ScheduledActivityInstance","SCREEN2","ScheduledActivityInstance_10","-","809002c4-26e4-462b-8b20-3b6971829f1e","Screen Two"
"ScheduledActivityInstance","DOSE","ScheduledActivityInstance_11","-","cbfac824-8f9c-4dc3-bab8-e1ecc1a089f7","Dose"
"ScheduledActivityInstance","WK2","ScheduledActivityInstance_12","-","02a9209b-af28-435b-8c36-31ea16a617ec","Week 2"
"ScheduledActivityInstance","WK4","ScheduledActivityInstance_13","-","477c215f-1df7-42a8-92df-de4d24b95fc6","Week 4"
"ScheduledActivityInstance","WK6","ScheduledActivityInstance_14","-","a77bb14b-e219-4a83-986a-9ec2631633c1","Week 6"
"ScheduledActivityInstance","WK8","ScheduledActivityInstance_15","-","dc066150-ad9f-4b92-b37f-94cc4aef1578","Week 8"
"ScheduledActivityInstance","WK8N","ScheduledActivityInstance_16","-","112b467a-3f15-481f-a851-dd2eeb24e0ab","Week NPI"
"ScheduledActivityInstance","WK12","ScheduledActivityInstance_17","-","e82c4ade-f71b-4cd1-8678-dcda667df319","Week 12"
"ScheduledActivityInstance","WK12N","ScheduledActivityInstance_18","-","40bfc9f8-1b64-4543-b0a3-ca798afc4d65","Week 12 NPI"
"ScheduledActivityInstance","WK16","ScheduledActivityInstance_19","-","8b5ce6d0-d40a-4c2a-bc72-8c7b37f78bc5","Week 16"
"ScheduledActivityInstance","WK16N","ScheduledActivityInstance_20","-","29eda36a-3613-41dc-8095-43129dd453ae","Week 16 NPI"
"ScheduledActivityInstance","WK20","ScheduledActivityInstance_21","-","c978f192-8fe1-4cbe-bc6b-4ee5f2dbe654","Week 20"
"ScheduledActivityInstance","WK20N","ScheduledActivityInstance_22","-","1e665261-58a5-45ae-8d03-ac2ada39832c","Week 20 NPI"
"ScheduledActivityInstance","WK24","ScheduledActivityInstance_23","-","1edb1825-ddea-40a3-9fd8-49294e2b5f84","Week 24"
"ScheduledActivityInstance","WK26","ScheduledActivityInstance_24","-","b57efdaf-4bb3-4654-9faa-53a894ed4e74","Week 26"
"ScheduledActivityInstance","AE","ScheduledActivityInstance_1","-","a8f148d6-31dd-4084-a454-27e116083eb6","Adevers Event"
"ScheduledActivityInstance","ET","ScheduledActivityInstance_2","-","e4c9f4de-b1ba-444a-91a2-20f1b39f75af","Early Termination"
"ScheduledActivityInstance","VS_5MIN","ScheduledActivityInstance_3","","137033ec-a12c-4fb5-b02f-d29bc772375f","5 minute supine"
"ScheduledActivityInstance","VS_SUPINE","ScheduledActivityInstance_4","","701f470f-e618-4cd9-958c-84ebe0ae52ce","Vital signs supine"
"ScheduledActivityInstance","VS_1MIN","ScheduledActivityInstance_5","","cc2e83d5-070a-443d-bca3-7b8c0bec24e4","1 minute standing"
"ScheduledActivityInstance","VS_STAND1","ScheduledActivityInstance_6","","dedd5da8-87cf-4d8b-acab-ecec65a4536f","Vital signs after 1 min standing"
"ScheduledActivityInstance","VS_2MIN","ScheduledActivityInstance_7","","b8b2ab05-7bde-4585-ab8b-b80b3d99a19c","2 minute standing"
"ScheduledActivityInstance","VS_STAND3","ScheduledActivityInstance_8","","765a8033-23b2-4c08-966e-2611f71dafaa","Vital signs after 3 min standing"
