"instanceType","text","name","id","description","uuid:ID","label","purpose"
"Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","Endpoint_1","","fb0d2f13-5625-4287-af97-3f7d91d1905a","",""
"Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","Endpoint_2","","7fe4395d-335c-4bfb-927c-cc59ff832484","",""
"Endpoint","Adverse events","END3","Endpoint_3","","f655e8f4-d055-4911-bb5e-aa680b0623cb","",""
"Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","Endpoint_4","","b74e051b-feb0-4a30-bf04-7156c6a937a2","",""
"Endpoint","Laboratory evaluations (Change from Baseline)","END5","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","54f8a83c-ea34-4b1c-b29d-1b917a0846bc","",""
"Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","Endpoint_6","","17547a95-02d1-420e-a8ea-a18542822e8d","",""
"Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","Endpoint_7","","37d48733-afe5-447e-b9c6-c4a125c1f8b6","",""
"Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","Endpoint_8","","3b533019-c560-4641-b20f-d481919dc3b8","",""
"Endpoint","*** To be determined from protocol ***","END9","Endpoint_9","","4769e251-bf3d-47f9-8bc4-07a6b9cdd3d5","",""
"Endpoint","*** To be determined from protocol ***","END10","Endpoint_10","","4a1c94ab-886f-4d4c-b068-920df9f80fc4","",""
"Endpoint","*** To be determined from protocol ***","END11","Endpoint_11","","3859d9be-4f90-479d-a96b-40f05c1567d7","",""
