"name","isEnabled","isRequired","label","datatype","uuid:ID","instanceType","id"
"Vital Signs Result","True","True","Vital Signs Result","decimal","8bf58195-17d1-481a-8d76-53bb9d4c4d5f","BiomedicalConceptProperty","BiomedicalConceptProperty_98"
"Unit of Temperature","True","True","Unit of Temperature","string","bab16c67-9f85-45b8-9a3a-ed03d0fa76fb","BiomedicalConceptProperty","BiomedicalConceptProperty_99"
"Vital Signs Location","True","True","Vital Signs Location","string","76108174-ad64-495d-a707-a5dc0dcc4974","BiomedicalConceptProperty","BiomedicalConceptProperty_100"
"Vital Signs Result","True","True","Vital Signs Result","decimal","92726efb-3779-4c2f-a883-9b93db6aaa5e","BiomedicalConceptProperty","BiomedicalConceptProperty_101"
"Unit of Weight","True","True","Unit of Weight","string","2bff614f-6dce-467d-a9e0-ea372c3428ee","BiomedicalConceptProperty","BiomedicalConceptProperty_102"
"Vital Signs Result","True","True","Vital Signs Result","decimal","45966539-0ace-41c5-9711-2f93c6e8ee35","BiomedicalConceptProperty","BiomedicalConceptProperty_103"
"Unit of Height","True","True","Unit of Height","string","233a837a-bb70-4afe-8939-5241f353f548","BiomedicalConceptProperty","BiomedicalConceptProperty_104"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","ac239d4c-1781-4fa4-b040-3a3203c767c9","BiomedicalConceptProperty","BiomedicalConceptProperty_105"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","c9d6c180-10e9-4132-af59-4f502e109a54","BiomedicalConceptProperty","BiomedicalConceptProperty_106"
"Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","string","bc87b4f6-ffe8-44dd-85fe-2a5e84fb77f8","BiomedicalConceptProperty","BiomedicalConceptProperty_107"
"Biospecimen Type","True","True","Biospecimen Type","string","b0e742da-2666-4d3a-a65f-177d52f7337a","BiomedicalConceptProperty","BiomedicalConceptProperty_108"
"Laboratory Test Result","True","True","Laboratory Test Result","string","a77dabaf-076b-4fd9-a873-946fb7a15a64","BiomedicalConceptProperty","BiomedicalConceptProperty_109"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","6af15984-8c4d-4306-9b5b-657aeef3fe9e","BiomedicalConceptProperty","BiomedicalConceptProperty_110"
"Unit of Concentration","True","True","Unit of Concentration","string","8515d33a-3be2-4be9-91d1-cd5bad2e2a70","BiomedicalConceptProperty","BiomedicalConceptProperty_111"
"Biospecimen Type","True","True","Biospecimen Type","string","6485ea2a-412a-4300-b84a-aa50b10968bc","BiomedicalConceptProperty","BiomedicalConceptProperty_112"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","2ed76109-f58a-45cf-8ab1-b9cc0811a78b","BiomedicalConceptProperty","BiomedicalConceptProperty_113"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","0703048b-b449-4a41-ae07-43ca1cb85f20","BiomedicalConceptProperty","BiomedicalConceptProperty_114"
"Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","string","422eaf85-36b1-4a36-8559-6752bbf88074","BiomedicalConceptProperty","BiomedicalConceptProperty_115"
"Biospecimen Type","True","True","Biospecimen Type","string","4708da69-3d98-4edd-966f-503064c7e012","BiomedicalConceptProperty","BiomedicalConceptProperty_116"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","e550020f-714b-4eec-82f7-132d80233fc3","BiomedicalConceptProperty","BiomedicalConceptProperty_117"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","5e42c9e8-9323-46de-b842-be7732437e0d","BiomedicalConceptProperty","BiomedicalConceptProperty_118"
"Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","string","de86d321-ea7d-40a3-a9e2-a15b25c441e3","BiomedicalConceptProperty","BiomedicalConceptProperty_119"
"Biospecimen Type","True","True","Biospecimen Type","string","84da0594-af85-47fe-a9aa-bfe2d8f434dd","BiomedicalConceptProperty","BiomedicalConceptProperty_120"
"Laboratory Test Result","True","True","Laboratory Test Result","string","fb6b63d6-4f8b-4f46-8b03-24e60dac90b1","BiomedicalConceptProperty","BiomedicalConceptProperty_121"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","3958ee6d-0b89-4eed-ba1e-277aad042fcb","BiomedicalConceptProperty","BiomedicalConceptProperty_122"
"Unit of Concentration","True","True","Unit of Concentration","string","cd18b769-bb55-4c73-8be0-d4c0b9ac0556","BiomedicalConceptProperty","BiomedicalConceptProperty_123"
"Biospecimen Type","True","True","Biospecimen Type","string","e5151181-9e47-409b-8db6-1b7e1494675b","BiomedicalConceptProperty","BiomedicalConceptProperty_124"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","d2849780-95db-40ac-bec2-f84f05f66081","BiomedicalConceptProperty","BiomedicalConceptProperty_125"
