"name","label","uuid:ID","window","windowUpper","windowLower","instanceType","description","value","id"
"TIM1","Screening","ccb89d8d-8a17-489a-bd07-bb6c5248f3f5","","","","Timing","Screening timing","P2W","Timing_1"
"TIM2","Pre dose","2ecd5e74-784d-4cdd-84e5-bf014e06f895","-4..0 hours","PT0H","PT4H","Timing","Pre dose timing","P2D","Timing_2"
"TIM3","Dosing","89c501d1-400c-4182-8f39-89d4cce49c12","","","","Timing","Dosing anchor","P1D","Timing_3"
"TIM4","Week 2","58234130-1e4b-4c55-b85c-c7d06eb6eeae","-3..3 days","P3D","P3D","Timing","Week 2 timing","P2W","Timing_4"
"TIM5","Week 4","a6000375-5da0-4ac4-bc27-b0a850cff8db","-3..3 days","P3D","P3D","Timing","Week 4 timing","P4W","Timing_5"
"TIM6","Week 6","405d3c03-bd91-468b-b08e-79cc2ebccd60","-3..3 days","P3D","P3D","Timing","Week 6 timing","P6W","Timing_6"
"TIM7","Week 8","151497d3-dc1d-429d-bda4-e48f5adacded","-3..3 days","P3D","P3D","Timing","Week 8 timing","P8W","Timing_7"
"TIM9","Week 12","82c3b196-31ff-4392-8447-45e1ccd93c66","-4..4 days","P4D","P4D","Timing","Week 12 timing","P12W","Timing_9"
"TIM11","Week 16","846902c8-0006-42e8-97b2-cf8e41ce4c31","-4..4 days","P4D","P4D","Timing","Week 16 timing","P16W","Timing_11"
"TIM13","Week 20","6f0adb4a-c859-4c6b-ae19-acb8406f5a41","-4..4 days","P4D","P4D","Timing","Week 20 timing","P20W","Timing_13"
"TIM15","Week 24","0724caf1-c810-4e5c-9279-b222e903504e","-4..4 days","P4D","P4D","Timing","Week 24 timing","P24W","Timing_15"
"TIM16","Week 26","38212b3e-4868-4154-879d-e6fca1ac70ab","-3..3 days","P3D","P3D","Timing","Week 26 timing","P26W","Timing_16"
"TIM8","Week 8 Home","02c110bc-5abd-465d-bc36-12c8a7588a60","","","","Timing","Week 8 at home timing","P2W","Timing_8"
"TIM10","Week 12 Home","119acec9-778c-4948-8447-41a01885951d","","","","Timing","Week 12 at home timing","P2W","Timing_10"
"TIM12","Week 16 Home","43e8b3d9-25a5-4e17-88e1-a0e56c6fdd7b","","","","Timing","Week 16 at home timing","P2W","Timing_12"
"TIM14","Week 20 Home","5f58c91b-8d26-470c-94ff-125386812159","","","","Timing","Week 20 at home timing","P2W","Timing_14"
"TIM17","Adverse Event","db335b2a-f394-478d-a56d-f495eee8b8e8","","","","Timing","Adverse Event","P1D","Timing_17"
"TIM18","Early Termination","05c11c04-ca2a-4acb-b15e-4507f85a1d21","","","","Timing","Early Termination","P1D","Timing_18"
"TIM19","Supine","a30f1987-85af-4327-b3a1-d86dea1967b0","","","","Timing","Supine","PT0M","Timing_19"
"TIM20","VS while supine","0e5acd9f-42e5-483f-904f-dad63fa6d67d","","","","Timing","VS while supine","PT5M","Timing_20"
"TIM21","Standing","6c3f1e28-b892-4195-a19a-2c45e60cbb85","","","","Timing","Standing","PT0M","Timing_21"
"TIM22","VS while standing","fb40dab4-ee3c-4193-84de-330469bca306","","","","Timing","VS while standing","PT1M","Timing_22"
"TIM23","Standing","7b160faf-e159-44e1-bd62-c32b26286d88","","","","Timing","Standing","PT0M","Timing_23"
"TIM24","VS while standing","1572c91f-ecd4-41c1-88d2-43057de33544","","","","Timing","VS while standing","PT2M","Timing_24"
