"codeSystem","uuid:ID","codeSystemVersion","instanceType","decode","id","code"
"http://www.cdisc.org","580a600a-f146-46e2-a027-66dcaa1d7c78","2023-09-29","Code","Interventional Study","Code_1","C98388"
"http://www.cdisc.org","07609d67-5ded-4b22-ba3d-826175cc18a9","2023-09-29","Code","Phase II Trial","Code_2","C15601"
"http://www.cdisc.org","322c2ce1-7bca-4922-9a69-37d200191851","2023-09-29","Code","Sponsor Approval Date","Code_9","C132352"
"http://www.cdisc.org","6427d6a8-da66-4a2b-892f-8be9537ed351","2023-09-29","Code","Global","Code_10","C68846"
"http://www.cdisc.org","182504b6-dd73-4516-9172-e0164081dea4","2023-09-29","Code","IRB/IEC Feedback","Code_72","C99904x3"
"http://www.cdisc.org","7641cdb4-cdc2-4635-b7c8-5ec64f2a772c","2023-09-29","Code","Other","Code_73","C17649"
"http://www.cdisc.org","5f9759a4-3e69-4fd5-b430-a76dd9a6f4d6","2023-09-29","Code","Region","Code_75","C41129"
"ISO 3166 1 alpha3","65a17e30-484e-4297-9b99-4daf6dcd16eb","2020-08","Code","Europe","Code_74","150"
"SPONSOR","05e9bfc2-30fa-478e-b73c-741768ccf354","12","Code","Eli Lilly","Code_4","PHARMA"
"http://www.cdisc.org","78027c4c-2406-434b-8291-e9d8323bdee6","2023-09-29","Code","Clinical Study Sponsor","Code_76","C70793"
"ISO 3166 1 alpha3","c2d2ec48-93b2-4221-aff7-d4cda525e437","2020-08","Code","Denmark","Code_77","DNK"
"http://www.cdisc.org","d83f1d79-c710-4ad7-adbb-4bb3de614821","2023-09-29","Code","Study Registry","Code_78","C93453"
"http://www.cdisc.org","6b56d0ee-982e-4684-b9eb-94b2c33e9b2e","2023-09-29","Code","Treatment Study","Code_136","C49656"
"http://www.cdisc.org","26aeac63-ed4d-49c4-8024-201893beeaf2","2023-09-29","Code","Efficacy Study","Code_137","C49666"
"http://www.cdisc.org","51c572fd-2c13-4389-a945-9686cb314e0e","2023-09-29","Code","Safety Study","Code_138","C49667"
"http://www.cdisc.org","e553731c-3bc9-4ed0-ad18-e43900589b42","2023-09-29","Code","Pharmacokinetic Study","Code_139","C49663"
"SPONSOR","297bf781-6ed7-4c12-a7c6-7586c1b45e40","12","Code","Mild to Moderate Alzheimer's Disease","Code_133","MILD_MOD_ALZ"
"SNOMED","68196d95-ef85-47ad-9907-b517e36ac0da","January 31, 2018","Code","Alzheimer's disease","Code_134","26929004"
"http://www.cdisc.org","7f5001ab-bd59-4631-a07f-f086054293dc","2023-09-29","Code","EXTENSION","Code_142","C99907x1"
"http://www.cdisc.org","a71b100c-e8e1-445d-8a15-cb0510b726fc","2023-09-29","Code","ADAPTIVE","Code_143","C98704"
"http://www.cdisc.org","22ed271b-e834-494a-a9cb-4a2dda735580","2023-09-29","Code","Parallel Study","Code_140","C82639"
"http://www.cdisc.org","1a9f4253-276d-4529-9af8-467570f91895","2023-09-29","Code","Visit","Code_82","C25716"
"http://www.cdisc.org","08a622b4-40f2-4bf7-93a6-76933a6be3e7","2023-09-29","Code","Clinic","Code_83","C51282"
"http://www.cdisc.org","1f45a3b9-f2b5-442b-8e47-d7e4ea885071","2023-09-29","Code","In Person","Code_84","C175574"
"http://www.cdisc.org","1f905e69-724c-4974-aef3-9643d233f551","2023-09-29","Code","Visit","Code_85","C25716"
"http://www.cdisc.org","e8da3c3a-a8e5-4224-aabb-7b789146d320","2023-09-29","Code","Clinic","Code_86","C51282"
"http://www.cdisc.org","00028a9a-6b57-4119-abac-5f4d4a7c860d","2023-09-29","Code","In Person","Code_87","C175574"
"http://www.cdisc.org","afb1c2ca-e9bf-46dc-83bd-675328b99493","2023-09-29","Code","Visit","Code_88","C25716"
"http://www.cdisc.org","c75eca77-f901-457e-86b7-735d94eabe95","2023-09-29","Code","Clinic","Code_89","C51282"
"http://www.cdisc.org","aadb493a-f07e-419b-949e-d7d6f903c4a3","2023-09-29","Code","In Person","Code_90","C175574"
"http://www.cdisc.org","f84695da-99cc-41b4-bf40-171f6b6d15fa","2023-09-29","Code","Visit","Code_91","C25716"
"http://www.cdisc.org","46e2fef7-3bd1-482f-b168-e886b5d60ac2","2023-09-29","Code","Clinic","Code_92","C51282"
"http://www.cdisc.org","e60be734-7270-4d19-8cc2-8f1da5ba654a","2023-09-29","Code","In Person","Code_93","C175574"
"http://www.cdisc.org","868ae8c8-77c0-4e60-88ab-7c6701a4ec9b","2023-09-29","Code","Visit","Code_94","C25716"
"http://www.cdisc.org","c6751ce9-2864-4986-ba92-43d2c6c6127d","2023-09-29","Code","Clinic","Code_95","C51282"
"http://www.cdisc.org","257e45db-44fd-47ab-843a-be71d04a7372","2023-09-29","Code","In Person","Code_96","C175574"
"http://www.cdisc.org","62865868-3569-4164-a121-5c3c91baff48","2023-09-29","Code","Visit","Code_97","C25716"
"http://www.cdisc.org","2944c3d6-9f14-43c1-99e6-13e6fa884e1a","2023-09-29","Code","Clinic","Code_98","C51282"
"http://www.cdisc.org","02cfcc0b-1eae-4b31-bc22-ac515bdacddb","2023-09-29","Code","In Person","Code_99","C175574"
"http://www.cdisc.org","91d1a20a-7757-4af2-b905-2e759dad9190","2023-09-29","Code","Visit","Code_100","C25716"
"http://www.cdisc.org","50bd0367-3a69-4987-8d26-d7bd6569f4e7","2023-09-29","Code","Clinic","Code_101","C51282"
"http://www.cdisc.org","84dcf1d2-851c-4115-8fbe-ab97fd434b03","2023-09-29","Code","In Person","Code_102","C175574"
"http://www.cdisc.org","cce9d067-ce88-4f69-aeec-4c9703b75a3a","2023-09-29","Code","Telephone Call","Code_103","C171537"
"http://www.cdisc.org","988fbbb4-8633-4e53-bbb4-a12a29c1b6c2","2023-09-29","Code","Visit","Code_104","C25716"
"http://www.cdisc.org","53c993b1-d4f7-4cea-a7a9-86ddf6027dab","2023-09-29","Code","Clinic","Code_105","C51282"
"http://www.cdisc.org","88ec4f2d-ee00-4df9-b5c3-90cf3141b1a1","2023-09-29","Code","In Person","Code_106","C175574"
"http://www.cdisc.org","63edba7c-48a7-4a21-a474-dc27988e7b23","2023-09-29","Code","Telephone Call","Code_107","C171537"
"http://www.cdisc.org","b239cb1e-12d8-4a6a-ac32-35ad75c3a808","2023-09-29","Code","Visit","Code_108","C25716"
"http://www.cdisc.org","bbe4fd01-ded4-4b18-937f-632afa654781","2023-09-29","Code","Clinic","Code_109","C51282"
"http://www.cdisc.org","b23a0491-99b8-4d60-b379-5d1752af1fcc","2023-09-29","Code","In Person","Code_110","C175574"
"http://www.cdisc.org","11d04ce6-e8a3-464d-8e7c-002eaf4d69ea","2023-09-29","Code","Telephone Call","Code_111","C171537"
"http://www.cdisc.org","063fc207-d31e-46f9-b5d3-6e649af8419c","2023-09-29","Code","Visit","Code_112","C25716"
"http://www.cdisc.org","6763083e-4d7f-4348-bf19-e510f356d969","2023-09-29","Code","Clinic","Code_113","C51282"
"http://www.cdisc.org","c376886b-22f4-4f3e-9a70-c5526d408440","2023-09-29","Code","In Person","Code_114","C175574"
"http://www.cdisc.org","fc68e7cd-34a2-4537-808b-5b99a7bf7e09","2023-09-29","Code","Telephone Call","Code_115","C171537"
"http://www.cdisc.org","5c6c32a0-eacb-4f46-9ce9-566affb0c044","2023-09-29","Code","Visit","Code_116","C25716"
"http://www.cdisc.org","a3611a0b-af1c-4ef1-8f2e-1e11c2648ed1","2023-09-29","Code","Clinic","Code_117","C51282"
"http://www.cdisc.org","706082bd-e0f1-4abd-9522-fba35fbd68bd","2023-09-29","Code","In Person","Code_118","C175574"
"http://www.cdisc.org","ad317a89-84f5-453b-8194-b84208804435","2023-09-29","Code","Visit","Code_119","C25716"
"http://www.cdisc.org","6174a135-b83f-492e-8cb9-ff84e16794f7","2023-09-29","Code","Clinic","Code_120","C51282"
"http://www.cdisc.org","df649d8f-749b-4afb-a172-a3dc8fee5241","2023-09-29","Code","In Person","Code_121","C175574"
"SNOMED","1f8a462a-c4c4-4bcf-928c-5ae7fca07470","January 31, 2018","Code","CT of head without contrast","Code_79","383371000119108"
"SPONSOR","eb0ad2fc-eaed-44e8-a37c-bb965d48e6bb","12","Code","Subject Supine","Code_80","123"
"SPONSOR","0676f608-dbd4-4649-93a0-65d1083a4d1e","12","Code","Subject Standing","Code_81","124"
"NCI Thesaurus","9dc3129e-8e0e-4244-98db-476d4aa149fb","","Code","Vital Signs Result","Code_278","C173522"
"http://www.cdisc.org","d621dbce-0828-4e2b-9131-0fc789fdf51d","2023-09-29","Code","Kelvin","Code_279","C42537"
"NCI Thesaurus","7f695bf2-36d2-4137-96d3-d1f3f3a729d3","","Code","Unit of Temperature","Code_280","C44276"
"NCI Thesaurus","f4685ef1-4b8b-46f8-bea7-26bad7eafa6a","","Code","Vital Signs Location","Code_281","C83088"
"NCI Thesaurus","0665abc1-ed94-4faf-bd98-bd137aed1479","","Code","Body Temperature","Code_277","C174446"
"NCI Thesaurus","6d96c5ce-4154-49f4-af44-53712c05f14b","","Code","Vital Signs Result","Code_283","C173522"
"http://www.cdisc.org","bb6c55cb-d9f0-43ab-9e9d-2fcb31c483d8","2023-09-29","Code","Kilogram","Code_284","C28252"
"http://www.cdisc.org","bbafad28-ede9-4862-a1ff-51afac04259c","2023-09-29","Code","Gram","Code_285","C48155"
"http://www.cdisc.org","01f64532-6ff7-4c41-9c9e-27263667950e","2023-09-29","Code","Pound","Code_286","C48531"
"NCI Thesaurus","d4a93a9e-6566-4c4f-afba-ed7a2c9e1c80","","Code","Unit of Weight","Code_287","C48208"
"NCI Thesaurus","6968c7fc-ce56-4f6b-9655-c77a0495c33a","","Code","Body Weight","Code_282","C81328"
