"name","label","uuid:ID","instanceType","description","id"
"Informed consent","","3a882b11-2fd8-4fba-bf6c-1ff330ac1537","Activity","","Activity_1"
"Inclusion/exclusion criteria","","2734df0e-498f-4c21-a2db-5eeb89dae524","Activity","","Activity_2"
"Patient number assigned","","4866d587-a6c3-49f5-ac34-313c241a2789","Activity","","Activity_3"
"Demographics","Demographics","a585f4e2-e261-4152-a06b-010038fc2cf0","Activity","","Activity_4"
"Hachinski","Hachinski","268f54bf-cac0-4f7f-9b0f-0a51bdbd73fe","Activity","","Activity_5"
"MMSE","MMSE","20e7326e-65f5-44c8-bbb9-a9e2e440fa9d","Activity","","Activity_6"
"Physical examination","","d0ba21b0-7a29-4046-873e-236089769e6b","Activity","","Activity_7"
"Medical history","","d0df3822-fe65-405a-a9d3-25f412f75eb9","Activity","","Activity_8"
"Habits","","5c34f7a1-2898-4eee-99b1-0690c2337283","Activity","","Activity_9"
"Chest X-ray","","6a22cc35-7bec-4c48-8bc3-99377d5e6e24","Activity","","Activity_10"
"Apo E genotyping","","b2110a16-853a-4ae8-b3c7-8632ed763b1b","Activity","","Activity_11"
"Patient randomised","","c33dd69f-1f30-47f5-a03b-cba13aa0b0c7","Activity","","Activity_12"
"Vital signs / Temperature","Vital Signs and Temperature","fea42365-7f40-44d0-a22f-66fce3ece2b4","Activity","","Activity_13"
"Ambulatory ECG placed","","fc5fcb69-bdee-4c46-8eee-152b56b17a2c","Activity","","Activity_14"
"Ambulatory ECG removed","","01c49f95-3be7-4bba-a110-3a29968e1a92","Activity","","Activity_15"
"ECG","","c62cbc4b-f616-4b57-8396-ab325d161a8e","Activity","","Activity_16"
"Placebo TTS test","","5599c130-02be-4d42-bb6e-d65ff1121c62","Activity","","Activity_17"
"CT scan","","9c96a5ee-dd99-46ea-9a3d-f317516ab190","Activity","","Activity_18"
"Concomitant medications","","e1925ff0-240c-4dad-8d55-daad9f9f559c","Activity","","Activity_19"
"Hematology","","6c3f188d-0b39-4bdd-8ee5-4395a79a14c0","Activity","","Activity_20"
"Chemistry","","b25187db-5e43-4988-940c-81b84b832997","Activity","","Activity_21"
"Uninalysis","","7e3be607-dbb3-444c-986e-322e0f9c0845","Activity","","Activity_22"
"Plasma Specimen (Xanomeline)","","16f9b3d4-9f71-40b0-b820-133297c9fa76","Activity","","Activity_23"
"Hemoglobin A1C","","3fb42b8d-93ef-4a5b-9687-766f31d7da26","Activity","","Activity_24"
"Study drug","Study drug record , Medications dispensed, Medications returned","a96f513a-49e7-48f8-a869-1a7e685c2539","Activity","","Activity_25"
"TTS Acceptability Survey","","d84158e4-b36f-47db-a74c-5928ddff184a","Activity","","Activity_26"
"ADAS-Cog","","af8fbd56-aa31-45dd-89f6-be26da86135e","Activity","","Activity_27"
"CIBIC+","","e8ab839c-e31a-4835-8e77-0b4c567b9f76","Activity","","Activity_28"
"DAD","","be3c2fef-3597-4f54-83e6-e599fe283c1e","Activity","","Activity_29"
"NPI-X","","b34fe5bb-b691-4afc-a8e7-a9de770c2a2a","Activity","","Activity_30"
"Adverse events","","274be27d-0063-4dd6-aba3-b31fa271e476","Activity","","Activity_31"
"Check adverse events","","3019f714-afe4-4eac-a67c-79e92d8764d8","Activity","","Activity_32"
"Supine","Subject supine","e0e2410e-8190-46e2-9511-2d5d190da686","Activity","","Activity_33"
"Vital Signs Supine","Vital signs while supine","41e09261-a209-4593-bfbb-2de44d35f568","Activity","","Activity_34"
"Stand","Subject Standing","3f556031-bef1-4f65-a0cc-793e778f199f","Activity","","Activity_35"
"Vital Signs Standing","Vital signs while standing","cfcb7ad4-3eb3-4cd2-aba8-1415c0b2b41e","Activity","","Activity_36"
