"reference","name","label","uuid:ID","instanceType","id","synonyms"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","924b805c-dbc2-4424-8ad5-8644fd196381","BiomedicalConcept","BiomedicalConcept_20","['Temperature']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","588264f9-5b23-4105-9ffb-55d39db0794a","BiomedicalConcept","BiomedicalConcept_21","['Weight']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","fd97ea3a-7e80-4488-b3d9-249d50287d49","BiomedicalConcept","BiomedicalConcept_22","['Height']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","c81af68d-01af-436b-af1a-db46df1e5835","BiomedicalConcept","BiomedicalConcept_23","['ALT', 'SGPT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","9633a6ba-8bcb-4b1d-bc39-9c2770476a67","BiomedicalConcept","BiomedicalConcept_24","['Albumin']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","7eff7604-b240-4be4-9547-2a83be34acdc","BiomedicalConcept","BiomedicalConcept_25","['Alkaline Phosphatase']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","9ac72d54-84ae-46a7-9da1-b5b30060535c","BiomedicalConcept","BiomedicalConcept_26","['AST', 'SGOT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","de7ea39f-881a-4688-b61d-1e5b87cdb789","BiomedicalConcept","BiomedicalConcept_27","['Creatinine']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","aa2b3dba-21bb-4ecd-a80d-ca3b5269ee1d","BiomedicalConcept","BiomedicalConcept_28","['Potassium', 'K']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement","18a62312-333e-4aab-8366-23a37d4d189f","BiomedicalConcept","BiomedicalConcept_29","['Sodium', 'NA']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","Adverse Event","058158f4-2b68-4657-9687-a848972e7d84","BiomedicalConcept","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","37864752-9501-4236-9560-035ea52c015b","BiomedicalConcept","BiomedicalConcept_2","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","d98d2b3d-b83a-48a9-bbb0-2572812836d2","BiomedicalConcept","BiomedicalConcept_3","['DIABP']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","1f4622f8-7e54-447d-9043-2eb49fe10403","BiomedicalConcept","BiomedicalConcept_4","['Temperature']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","da0d7949-65da-46d3-a531-9808165010ce","BiomedicalConcept","BiomedicalConcept_5","['Weight']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","ae48be6c-b36e-442a-b4a7-bbba2c69a446","BiomedicalConcept","BiomedicalConcept_6","['Height']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","06c45f6c-328f-4f01-87c5-0eaa7891ecc7","BiomedicalConcept","BiomedicalConcept_7","['ALT', 'SGPT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","3677cec1-25ec-4137-8426-20c4411b6085","BiomedicalConcept","BiomedicalConcept_8","['Albumin']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","08f014ef-4f54-47de-b460-7ad8a8ccddcf","BiomedicalConcept","BiomedicalConcept_9","['Alkaline Phosphatase']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","6d35a6ad-1e48-4134-b4d3-563b0742ea3f","BiomedicalConcept","BiomedicalConcept_10","['AST', 'SGOT']"
