"name","text","uuid:ID","instanceType","sectionTitle","sectionNumber","id"
"ROOT","","078091b2-cee9-4213-85d4-832d7bfc1368","NarrativeContent","Root","0","NarrativeContent_1"
"SECTION 0","<div><usdm:section name=""M11-title-page""></div>","44da265b-c1c9-4ecf-934c-badc33b9774b","NarrativeContent","TITLE PAGE","0","NarrativeContent_2"
"SECTION 1","<div></div>","5f8deb71-6687-4658-bfa8-d3deaf7c3c2e","NarrativeContent","PROTOCOL SUMMARY","1","NarrativeContent_3"
"SECTION 1.1","<div></div>","091ec460-c21b-465b-8556-71cce935bb43","NarrativeContent","Protocol Synopsis","1.1","NarrativeContent_4"
"SECTION 1.2","<div></div>","80b1e9e4-a488-47b5-82f2-f9258d63d520","NarrativeContent","Trial Schema","1.2","NarrativeContent_5"
"SECTION 1.3","<div></div>","e2bbfc48-67cb-41d8-a8aa-d01ba2123787","NarrativeContent","Schedule of Activities","1.3","NarrativeContent_6"
"SECTION 2","<div></div>","ca464817-0291-41af-b699-5b086091d546","NarrativeContent","INTRODUCTION","2","NarrativeContent_7"
"SECTION 2.1","<div></div>","2fd20901-55a8-4a17-b8cf-e890a60582b1","NarrativeContent","Purpose of Trial","2.1","NarrativeContent_8"
"SECTION 2.2","<div></div>","7a115a08-b488-432f-947b-e8c6ebda5bea","NarrativeContent","Summary of Benefits and Risks","2.2","NarrativeContent_9"
"SECTION 3","<div></div>","06b0f069-9294-4052-8525-a4066c10b026","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","NarrativeContent_10"
"SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","74dff651-2262-4360-a03d-a01779221cbf","NarrativeContent","Primary Objectives","3.1","NarrativeContent_11"
"SECTION 4","<div></div>","b2f60b9e-ac83-4a12-b439-4a2586bc310d","NarrativeContent","TRIAL DESIGN","4","NarrativeContent_12"
"SECTION 4.1","<div></div>","3aa612be-9323-4c28-8e8a-f15cfa6f8b86","NarrativeContent","Description of Trial Design","4.1","NarrativeContent_13"
"SECTION 4.1.1","<div></div>","abc832c5-0e9e-4c49-8589-3c510cf48c8c","NarrativeContent","Participant Input into Design","4.1.1","NarrativeContent_14"
"SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","cdaf4328-4f96-4cec-8f63-a9ed7fb23214","NarrativeContent","Rationale for Trial Design","4.2","NarrativeContent_15"
