"description","label","instanceType","name","id","uuid:ID"
"Screening encounter","Screening 1","Encounter","E1","Encounter_1","f9ecfe6e-41bd-42c7-bb83-f8e199cf0eed"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","E2","Encounter_2","1a78a72f-f8fa-42d3-99a5-2fd4842ae308"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","E3","Encounter_3","23464b39-959c-42a9-8dd4-93174ba94ec4"
"Day 14","Week 2","Encounter","E4","Encounter_4","8f7c7708-a234-4561-b7c8-fbde81b3e348"
"Day 28","Week 4","Encounter","E5","Encounter_5","b858aea0-9948-42c8-aaec-2e7212f2b76d"
"Day 42","Week 6","Encounter","E7","Encounter_6","e366a901-fb1e-4bad-9f3b-14a5c21147ea"
"Day 56","Week 8","Encounter","E8","Encounter_7","09a006e2-e175-40f2-8b95-9a5f29bf789c"
"Day 84","Week 12","Encounter","E9","Encounter_8","521ec804-70be-4d4e-a448-fb033b4405da"
"Day 112","Week 16","Encounter","E10","Encounter_9","2b3d6b5e-d5ae-4857-9dd3-d9ef9bc428f3"
"Day 140","Week 20","Encounter","E11","Encounter_10","4c9785e5-26dd-4061-a506-e73e34eafe89"
"Day 168","Week 24","Encounter","E12","Encounter_11","a4702be9-7429-4964-8e6d-ecbd4a7eca96"
"Day 182","Week 26","Encounter","E13","Encounter_12","7c4eb197-fa2c-4628-9df6-623debb9e00a"
