"codeSystem","instanceType","decode","id","code","codeSystemVersion","uuid:ID"
"http://www.cdisc.org","Code","Interventional Study","Code_1","C98388","2023-09-29","c5620165-dd1a-4d63-ac0b-a7293f108d8f"
"http://www.cdisc.org","Code","Phase II Trial","Code_2","C15601","2023-09-29","d7b6ee55-395c-4388-a923-01ac4299bdda"
"http://www.cdisc.org","Code","Sponsor Approval Date","Code_9","C132352","2023-09-29","af4c0399-ae9c-48e9-8d5c-2ac621bd1921"
"http://www.cdisc.org","Code","Global","Code_10","C68846","2023-09-29","d8c29935-80f6-4790-aef5-ef3baf38d6fd"
"http://www.cdisc.org","Code","IRB/IEC Feedback","Code_72","C99904x3","2023-09-29","0e4e1370-2b03-451d-99b4-cc24e9a150fa"
"http://www.cdisc.org","Code","Other","Code_73","C17649","2023-09-29","0cda02e2-8eeb-405f-b23f-a8c6e52c659e"
"http://www.cdisc.org","Code","Region","Code_75","C41129","2023-09-29","2613fe00-77c8-4173-8567-2e6422625584"
"ISO 3166 1 alpha3","Code","Europe","Code_74","150","2020-08","d0820e90-0cd0-4d31-8d62-53d9dfe6c212"
"SPONSOR","Code","Eli Lilly","Code_4","PHARMA","12","f309f8f0-a703-472f-9387-2296248d5c5f"
"http://www.cdisc.org","Code","Clinical Study Sponsor","Code_76","C70793","2023-09-29","155bce65-e194-4f04-b360-7eb5f3026bad"
"ISO 3166 1 alpha3","Code","Denmark","Code_77","DNK","2020-08","f87aae73-a169-4742-8600-6f8fcd02cb96"
"http://www.cdisc.org","Code","Study Registry","Code_78","C93453","2023-09-29","3486cde9-ff50-4b5c-8139-5ea69a693e66"
"http://www.cdisc.org","Code","Treatment Study","Code_136","C49656","2023-09-29","aeb3d068-bd23-4285-8507-3da2007e153e"
"http://www.cdisc.org","Code","Efficacy Study","Code_137","C49666","2023-09-29","7227ff81-a391-4bf3-979e-90d6f7e2a908"
"http://www.cdisc.org","Code","Safety Study","Code_138","C49667","2023-09-29","32126032-633f-4f82-afca-4e492f832772"
