"instanceType","text","name","id","uuid:ID"
"TransitionRule","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1","5e4d313e-e2b6-4098-a4cc-1f76bc353f1e"
"TransitionRule","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2","3e52ace4-53dd-4ddd-bcc2-c904654b0ed0"
"TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3","c8fa3871-4122-495b-836a-b389edb283c7"
"TransitionRule","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4","eebbfb3e-ca3f-412a-a522-4df57566a535"
"TransitionRule","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5","a649f822-4c56-404e-af65-6c5d9b7a8196"
"TransitionRule","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6","032aba37-b344-4192-90d4-8144152121c4"
"TransitionRule","Informed consent","ELEMENT_START_RULE_1","TransitionRule_7","80a4d95f-4df0-474d-b2ca-45051c9ae56e"
"TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8","28883a25-5cfa-4ee1-8858-8d8825420a4e"
"TransitionRule","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9","2027661b-e096-4e25-b864-e79ad6e9a43e"
"TransitionRule","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14","e2c84966-d0d9-47f7-9197-049679cbaf72"
"TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15","39608e87-d642-431c-a809-ec85cc2422f6"
"TransitionRule","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10","04a49adb-f385-4911-8f5e-fa7c9827a6a1"
"TransitionRule","Randomized","ELEMENT_START_RULE_4","TransitionRule_11","91db15bb-99c3-454d-b212-c0b479ec732d"
"TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12","74bf2d95-5ecf-45b9-aa95-a9eb2ad832ca"
"TransitionRule","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13","7d1fe40e-0aaf-4f50-b425-deb611179c42"
