"window","description","label","instanceType","name","value","windowUpper","windowLower","id","uuid:ID"
"","Screening timing","Screening","Timing","TIM1","P2W","","","Timing_1","a7e0281c-4c0a-4a84-9845-9ab595e006ff"
"-4..0 hours","Pre dose timing","Pre dose","Timing","TIM2","P2D","PT0H","PT4H","Timing_2","231d812e-ba68-4419-895c-f566590e74b8"
"","Dosing anchor","Dosing","Timing","TIM3","P1D","","","Timing_3","a64ad0d6-e456-4e5c-94cd-4ec84f96e8f2"
"-3..3 days","Week 2 timing","Week 2","Timing","TIM4","P2W","P3D","P3D","Timing_4","7495590a-deab-49ae-ad40-86236416780f"
"-3..3 days","Week 4 timing","Week 4","Timing","TIM5","P4W","P3D","P3D","Timing_5","ea56ea9d-c6f0-4b6f-9648-068a9e3250a1"
"-3..3 days","Week 6 timing","Week 6","Timing","TIM6","P6W","P3D","P3D","Timing_6","e1534e17-ceb8-4370-88bf-3bda7a444ce5"
"-3..3 days","Week 8 timing","Week 8","Timing","TIM7","P8W","P3D","P3D","Timing_7","76316d28-170a-4938-8a1c-54c621d7ebee"
"-4..4 days","Week 12 timing","Week 12","Timing","TIM9","P12W","P4D","P4D","Timing_9","6ecd7d3c-f064-4cdf-b752-0d399ad8154c"
"-4..4 days","Week 16 timing","Week 16","Timing","TIM11","P16W","P4D","P4D","Timing_11","3cdfb5e3-02fd-46d4-b090-3b8e846ddeff"
"-4..4 days","Week 20 timing","Week 20","Timing","TIM13","P20W","P4D","P4D","Timing_13","0bdc760f-8d90-4272-802f-ff6fd81425ca"
"-4..4 days","Week 24 timing","Week 24","Timing","TIM15","P24W","P4D","P4D","Timing_15","bedc00b3-6cde-42c3-a887-f5dc122c09a1"
"-3..3 days","Week 26 timing","Week 26","Timing","TIM16","P26W","P3D","P3D","Timing_16","f240580a-2c90-4514-b14c-38f56e61c6fa"
"","Week 8 at home timing","Week 8 Home","Timing","TIM8","P2W","","","Timing_8","f906a486-7164-4572-a4c6-a9412ed3cff8"
"","Week 12 at home timing","Week 12 Home","Timing","TIM10","P2W","","","Timing_10","eaf991b5-01f4-494c-8364-dd6e356d368f"
"","Week 16 at home timing","Week 16 Home","Timing","TIM12","P2W","","","Timing_12","dc760e0d-c11e-4bad-ad27-aa05839ec6a4"
"","Week 20 at home timing","Week 20 Home","Timing","TIM14","P2W","","","Timing_14","faf0c8bb-091d-4fd5-8c59-a6daa379feb9"
"","Adverse Event","Adverse Event","Timing","TIM17","P1D","","","Timing_17","150112af-b081-4e36-b2e3-28207b42e9cd"
"","Early Termination","Early Termination","Timing","TIM18","P1D","","","Timing_18","1b7a4049-3b12-4f3a-9ac6-97ef04f010bd"
"","Supine","Supine","Timing","TIM19","PT0M","","","Timing_19","8cf5f62d-d761-4e6b-953a-efa674370732"
"","VS while supine","VS while supine","Timing","TIM20","PT5M","","","Timing_20","017165b8-8818-4794-8091-21a79c1ed6c3"
"","Standing","Standing","Timing","TIM21","PT0M","","","Timing_21","50062d0c-fad5-4524-883e-001ed2d1e790"
"","VS while standing","VS while standing","Timing","TIM22","PT1M","","","Timing_22","9e916777-314b-4237-88c5-5f6f3d3d86dc"
"","Standing","Standing","Timing","TIM23","PT0M","","","Timing_23","939946b8-d49c-4219-993b-3f8584515ca5"
"","VS while standing","VS while standing","Timing","TIM24","PT2M","","","Timing_24","649a9c47-78da-4a5e-b933-fde66ca98370"
