"label","instanceType","name","reference","synonyms","id","uuid:ID"
"Body Temperature","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_20","261c6c23-c655-44dc-b8d1-b9a7b3b3d512"
"Body Weight","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_21","85bc5dc2-3f37-40f9-a28e-e0b15735fd6b"
"Body Height","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_22","44124a28-4b22-4bdd-b510-9601fb9ca430"
"Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_23","8fef4e49-6c6d-49b0-9ac2-9b10f5773233"
"Albumin Measurement","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_24","9e3fcfef-d67e-4d91-9feb-a5e74caa9fb0"
"Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_25","97555734-4394-4ccf-a928-1d3fe6934280"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_26","6f4c6bb7-8a85-4af9-89a7-b980fcecc668"
"Creatinine Measurement","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_27","a9c64a14-9efe-4cfe-9509-5368f83731f0"
"Potassium Measurement","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_28","6f2359c6-0187-45e6-b122-59737c719dd8"
"Sodium Measurement","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_29","ee095e63-ccc7-4057-8452-dce160b740f8"
