"description","label","instanceType","name","id","uuid:ID"
"","","Activity","Informed consent","Activity_1","141f99a2-7c1a-4ee9-aaba-fc95bd063622"
"","","Activity","Inclusion/exclusion criteria","Activity_2","f2cfbf79-ee0d-44b0-b3c3-3f3eaf87142d"
"","","Activity","Patient number assigned","Activity_3","cabb0010-626d-43e8-8048-97f27c287a36"
"","Demographics","Activity","Demographics","Activity_4","388e313c-0c24-4734-92f0-2a769ffcfb06"
"","Hachinski","Activity","Hachinski","Activity_5","bc8a43ec-e99b-4829-ba4c-46b3355f3061"
"","MMSE","Activity","MMSE","Activity_6","adf77e79-5c94-4a1d-aff5-4b80d9c649de"
"","","Activity","Physical examination","Activity_7","2ba57db5-a3d5-45f9-97cc-7da4c379f90b"
"","","Activity","Medical history","Activity_8","f38c4c25-e0a5-42a2-9245-26af6baa7e07"
"","","Activity","Habits","Activity_9","b7c7473f-15d8-4a3c-91f3-6c05372407f3"
"","","Activity","Chest X-ray","Activity_10","4fe87bb5-2ee4-414d-8eaa-c37cfcbad763"
"","","Activity","Apo E genotyping","Activity_11","72d1fce4-5f7d-48dc-9dbe-7a6a776640e5"
"","","Activity","Patient randomised","Activity_12","7a0db31a-a274-419b-863b-028694b5d815"
"","Vital Signs and Temperature","Activity","Vital signs / Temperature","Activity_13","853f3343-5aea-4844-bf30-5afa58e84335"
"","","Activity","Ambulatory ECG placed","Activity_14","04baf37a-1f8f-44e6-b6e1-f6478e4531be"
"","","Activity","Ambulatory ECG removed","Activity_15","0bbbc980-bd9d-4d29-961b-de87da3619da"
"","","Activity","ECG","Activity_16","5db58038-6ab2-4918-956c-0a971975244a"
"","","Activity","Placebo TTS test","Activity_17","a5e3aed0-4c21-4542-a32e-5bb53d1c3f7d"
"","","Activity","CT scan","Activity_18","066e4b5d-ecc8-4b12-ab87-94e5d3173fa6"
"","","Activity","Concomitant medications","Activity_19","72fb3cc1-f3e2-4cce-9b92-864c7180849a"
"","","Activity","Hematology","Activity_20","4e54791f-3003-4e9c-b6f4-7f0c0e3ef23f"
"","","Activity","Chemistry","Activity_21","d2475d37-4daa-4fd3-a70e-2b54cad93256"
"","","Activity","Uninalysis","Activity_22","49335f4f-e5fb-4922-9277-fff09f31a546"
"","","Activity","Plasma Specimen (Xanomeline)","Activity_23","fad2ffa0-4295-4ec4-a40f-bb5b7e7188a5"
"","","Activity","Hemoglobin A1C","Activity_24","bbde0c5d-434d-4529-9f3c-b0dff9b8e594"
"","Study drug record , Medications dispensed, Medications returned","Activity","Study drug","Activity_25","06b0466a-3eea-4284-92fb-97ce51eb0aed"
"","","Activity","TTS Acceptability Survey","Activity_26","3f4d293b-83e2-45b7-8ff2-a23ba6b25a02"
"","","Activity","ADAS-Cog","Activity_27","a478b3ee-2e7e-4c5e-a06e-a42fae47da7f"
"","","Activity","CIBIC+","Activity_28","9900089c-6e2b-43f3-afc7-4f0fe06e497b"
"","","Activity","DAD","Activity_29","2e90b914-bc05-4ccd-9e59-c280a91b3332"
"","","Activity","NPI-X","Activity_30","90fd10f0-a3a8-43cf-82db-e3e1aa3f14ba"
"","","Activity","Adverse events","Activity_31","4736342c-b3a0-4ae1-b7f8-48729655aaa9"
"","","Activity","Check adverse events","Activity_32","b16a39c2-ac98-40a4-8603-b7e9df6140ee"
"","Subject supine","Activity","Supine","Activity_33","21b4cbf5-57a1-4376-999d-e581051a0ae3"
"","Vital signs while supine","Activity","Vital Signs Supine","Activity_34","a089587c-c505-40a0-a1af-9292e9a7df37"
"","Subject Standing","Activity","Stand","Activity_35","4a305b4e-fa77-48ae-b1df-45b205cdbeab"
"","Vital signs while standing","Activity","Vital Signs Standing","Activity_36","d332b20b-ad86-4bcf-9409-edd7588015a7"
