"instanceType","name","uuid:ID","id","description","label"
"Encounter","E1","ba54b64e-1500-419b-8158-4608644ef7da","Encounter_1","Screening encounter","Screening 1"
"Encounter","E2","2dc75185-b989-470d-acd9-9b0a5c172f65","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"Encounter","E3","5f753039-b46a-4210-af0a-38e9bbca9cf2","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"Encounter","E4","c7b38b18-1971-4857-997f-0068b5b69ce2","Encounter_4","Day 14","Week 2"
"Encounter","E5","80b15d29-5e1d-47bc-8376-ccabee1794f9","Encounter_5","Day 28","Week 4"
"Encounter","E7","d6771197-f002-4f3f-953e-56d866be982c","Encounter_6","Day 42","Week 6"
"Encounter","E8","1156ceff-c0e0-4c64-9302-4ea80ff45b36","Encounter_7","Day 56","Week 8"
"Encounter","E9","e00ff8c6-0004-4a66-aa12-27a10b4f887c","Encounter_8","Day 84","Week 12"
"Encounter","E10","0d6d6471-9595-4ab6-88e5-7c48d8acde68","Encounter_9","Day 112","Week 16"
"Encounter","E11","6ecd4005-d3fe-4986-be80-6c2accfc2ab5","Encounter_10","Day 140","Week 20"
"Encounter","E12","c182c69e-b07b-414e-946b-16a576ef3f86","Encounter_11","Day 168","Week 24"
"Encounter","E13","d9fa3b0e-7971-4d3f-ac99-b9d92bd3f772","Encounter_12","Day 182","Week 26"
