"instanceType","name","uuid:ID","id","reference","label","synonyms"
"BiomedicalConcept","Sex","11ca4634-60d4-45fd-8bab-3987072d8ad7","BiomedicalConcept_20","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex",""
"BiomedicalConcept","Race","ac3022bd-5030-464e-b77a-41fceb2cb8d1","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","['Racial Group']"
"BiomedicalConcept","Temperature","88ef8fe6-7066-4d5f-ba7c-b5659f49dbea","BiomedicalConcept_22","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept","Weight","da7e1305-c97b-4b84-9dc3-9b16c7b621dd","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept","Height","a433e5e7-dc41-433c-a77b-478710b6eed9","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","c2be0ee2-a07d-46fc-863d-2d0a9239b8a1","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","Albumin Presence in Urine","c11d247a-0c9a-4696-8665-02e5026e2f50","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","37f998aa-f30b-4979-8507-eaa6c49a075d","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","ca7fdf29-ec04-4e7f-8a6f-70870c7e5101","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept","Creatinine Concentration in Urine","e790cf6f-5cef-450c-ab8c-1044709c64da","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept","Potassium Concentration in Urine","b833ab9c-19dc-4345-931f-39b5aab64706","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept","Sodium Concentration in Urine","e47597b9-688e-4529-91db-945ff1ea5e97","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","0c972c1f-1fa5-4b1e-b697-5981dd50416d","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"BiomedicalConcept","Adverse Event Prespecified","beec3ab6-d004-498d-baa1-527fe19e6279","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"BiomedicalConcept","Systolic Blood Pressure","ce1459a0-2460-4481-9650-aa68931cb8fd","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","Diastolic Blood Pressure","9f4c7749-f7da-4bea-b6e1-690c11a0496f","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","Temperature","dd2b3a23-dbae-4291-8c2c-1b1142ea2ded","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept","Weight","79fa0f4c-4703-4156-9e99-e2e388bc9f06","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept","Height","da462737-6eca-4d63-856c-9afe05a455d5","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","f71b436e-c0d9-42c2-913e-a99374c56e5d","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","Albumin Presence in Urine","a7c68b05-7640-41f9-8769-41973a3947a5","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","6d3bb8c8-a434-4ceb-b146-4cd3d9e7c5ac","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","1bbd4cc2-2574-47db-8fab-d84170911783","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
