"code","codeSystemVersion","instanceType","uuid:ID","id","decode","codeSystem"
"C98388","2023-12-15","Code","fa6cfe07-26a3-4855-b107-4d94e88db636","Code_1","Interventional Study","http://www.cdisc.org"
"C15601","2023-12-15","Code","84699038-f97e-4a14-a651-4fbe539ccff6","Code_2","Phase II Trial","http://www.cdisc.org"
"C132352","2023-12-15","Code","c91465ab-d3ba-40a8-a30c-5e78a9c2e55d","Code_9","Sponsor Approval Date","http://www.cdisc.org"
"C68846","2023-12-15","Code","839507c7-fd62-4621-a76b-981965aee9a4","Code_10","Global","http://www.cdisc.org"
"C99904x3","2023-12-15","Code","38f7f6d8-0474-447e-9793-6907372b49c8","Code_72","IRB/IEC Feedback","http://www.cdisc.org"
"C17649","2023-12-15","Code","ef1a3b6b-9bd5-494e-81e1-b32eb43c2114","Code_73","Other","http://www.cdisc.org"
"C41129","2023-12-15","Code","333c90ae-7e41-4eb4-aa85-1c048984c810","Code_75","Region","http://www.cdisc.org"
"150","2020-08","Code","06a813af-a73b-4921-b90a-f5f0ede68976","Code_74","Europe","ISO 3166 1 alpha3"
"PHARMA","12","Code","8c38afc4-7932-40ee-b4b6-28ad01ba91fa","Code_4","Eli Lilly","SPONSOR"
"C70793","2023-12-15","Code","013e559e-8f91-4404-9dd0-5b6c591f2e44","Code_76","Clinical Study Sponsor","http://www.cdisc.org"
"USA","2020-08","Code","76d934af-eddf-4c9d-a31e-e5b3cca623d9","Code_77","United States of America","ISO 3166 1 alpha3"
"C93453","2023-12-15","Code","6884a9f0-68a2-4cf5-bf2b-155173179481","Code_78","Study Registry","http://www.cdisc.org"
"USA","2020-08","Code","69e0e474-5fb9-4c20-9f06-b25f02e2f88b","Code_79","United States of America","ISO 3166 1 alpha3"
"C49656","2023-12-15","Code","177def22-2f7f-45a3-85f2-c4fb98c24b60","Code_137","Treatment Study","http://www.cdisc.org"
"C49666","2023-12-15","Code","e55be46f-4e3e-4797-9da1-17e4120799b1","Code_138","Efficacy Study","http://www.cdisc.org"
"C49667","2023-12-15","Code","d168ac46-e98b-47f3-9dcf-0115d97d5331","Code_139","Safety Study","http://www.cdisc.org"
"C49663","2023-12-15","Code","c71b8a95-4651-46b2-af92-c370d874bdd2","Code_140","Pharmacokinetic Study","http://www.cdisc.org"
"MILD_MOD_ALZ","12","Code","709b5650-adb6-46d1-a794-e9fb2b5dfbca","Code_134","Mild to Moderate Alzheimer's Disease","SPONSOR"
"26929004","January 31, 2018","Code","1df56ff6-9bcd-4a3f-93ec-5334bd817321","Code_135","Alzheimer's disease","SNOMED"
"C99907x1","2023-12-15","Code","11d3928d-ff09-488b-8403-7038de76fccc","Code_143","EXTENSION","http://www.cdisc.org"
"C98704","2023-12-15","Code","bd9c5105-1c18-4eaf-839f-ae0329af049b","Code_144","ADAPTIVE","http://www.cdisc.org"
"C82639","2023-12-15","Code","052e44d4-f7d6-48f2-a3e7-29d17d64f476","Code_141","Parallel Study","http://www.cdisc.org"
"C25716","2023-12-15","Code","749236e1-49fb-4b0c-b1a9-6bd1c4a59410","Code_83","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","759b78ae-a584-4056-bfcc-c39b73ff08b6","Code_84","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","14a253c4-752e-4e0d-a5a8-6aaa7ef98883","Code_85","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","13546e60-f64c-4693-8d15-607e563b38bc","Code_86","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","4e2643cf-524f-466a-a2d3-612868df37a5","Code_87","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","d0f23f4f-513d-4504-bcdc-71243af1ffbf","Code_88","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","2e6592c1-96ce-4b70-9a2c-e2f650408e38","Code_89","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","c54ce329-d1ae-473c-8e6b-1f170630d1f6","Code_90","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","dab4f6f8-5511-4ad9-a3de-8743dc10031f","Code_91","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","be3c24fc-60c6-4f8d-b81c-a6a77a301380","Code_92","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","015ac0be-da3a-4b42-bfef-f81b6bb689e5","Code_93","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","8d286fa3-5d7d-43a0-a0b6-d2b30eea52aa","Code_94","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","04855083-8c99-4644-aa1c-c28a1ad6e2fa","Code_95","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","c64a7772-e9c2-4f6e-bc79-47bb89f9c9b4","Code_96","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","4d8dbe00-a6df-4fe2-8711-810f8e0a2a8e","Code_97","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","b1223fea-3f41-4dec-8af9-e17ea64c75bb","Code_98","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","20c27fd2-0d0e-4b27-b0d5-e4ac513c1425","Code_99","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","f3795c64-fca0-493f-9a9f-6afdbc70c538","Code_100","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","9c192b9a-1142-4cbd-880b-1e8a47ce79f1","Code_101","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","240aa9dd-7bb6-4a52-9c6a-53d7479d8620","Code_102","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","7e7b7b94-9891-4b86-aa95-fe38ecdfcf33","Code_103","In Person","http://www.cdisc.org"
"C171537","2023-12-15","Code","7380d14b-d90e-4e54-9582-df128c01e5b7","Code_104","Telephone Call","http://www.cdisc.org"
"C25716","2023-12-15","Code","859baad2-e93a-4e4f-8cf6-2b5d39cf56f6","Code_105","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","38913c48-b522-4c89-92db-f8b332b100b9","Code_106","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","1ade708e-89d0-45ba-9fcb-c854ebe24a74","Code_107","In Person","http://www.cdisc.org"
"C171537","2023-12-15","Code","2d963f99-d783-471f-a308-574180f5c0d8","Code_108","Telephone Call","http://www.cdisc.org"
"C25716","2023-12-15","Code","b9dd7962-0dc7-4de2-a0ad-e0976fb3cc90","Code_109","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","2ada38a9-d3d7-4bdf-9115-8b0720f13d08","Code_110","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","8c5c2af6-7449-4beb-9d12-b298a659e0d6","Code_111","In Person","http://www.cdisc.org"
"C171537","2023-12-15","Code","18b280bc-4bb6-4d2c-8769-1356f02b5d43","Code_112","Telephone Call","http://www.cdisc.org"
"C25716","2023-12-15","Code","5e9a1bad-d646-4a31-a6a2-316d55be9965","Code_113","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","4c2ceff9-ee1f-496d-ab3d-ac3511d8a133","Code_114","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","f25ab8c2-b201-434a-ae2f-a30c11388a2b","Code_115","In Person","http://www.cdisc.org"
"C171537","2023-12-15","Code","3865d3f3-3a92-40c1-9ef8-39e9010d17a7","Code_116","Telephone Call","http://www.cdisc.org"
"C25716","2023-12-15","Code","acd67929-92ad-42fd-bb95-3804f1119fd2","Code_117","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","d56138ab-ebdc-4462-ba50-cc78d5572e38","Code_118","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","a2879daf-f6b5-4d64-8088-fee6408d68a2","Code_119","In Person","http://www.cdisc.org"
"C25716","2023-12-15","Code","a3347596-329d-4437-8fd8-dc00470e92ba","Code_120","Visit","http://www.cdisc.org"
"C51282","2023-12-15","Code","3855b749-07a7-4306-a36a-d78140979e2c","Code_121","Clinic","http://www.cdisc.org"
"C175574","2023-12-15","Code","c7937a76-7736-49c6-8780-eee729eb7741","Code_122","In Person","http://www.cdisc.org"
"383371000119108","January 31, 2018","Code","930926e3-9e5e-4b0e-9df4-135a76fd3f73","Code_80","CT of head without contrast","SNOMED"
"123","12","Code","74aff69d-6f42-4a11-8855-e48c696e8ce9","Code_81","Subject Supine","SPONSOR"
"124","12","Code","ad6db3b8-c939-4b16-bb20-52a21b80a3da","Code_82","Subject Standing","SPONSOR"
"C20197","2023-12-15","Code","c042b964-960c-423b-a400-11e25a327722","Code_429","Male","http://www.cdisc.org"
"C16576","2023-12-15","Code","a7c51bf7-7020-4a0c-b9c8-d9f323031724","Code_430","Female","http://www.cdisc.org"
"C28421","2023-12-15","Code","07222917-8578-47a5-9ffa-0f5d42b040dd","Code_431","Sex","http://www.cdisc.org"
"C28421","2023-12-15","Code","b603a60f-c63f-46ca-9887-eded9402e884","Code_432","Sex","http://www.cdisc.org"
