"instanceType","name","uuid:ID","id","description","label"
"Activity","Informed consent","69382720-7cdf-4885-ad72-3637c583d3a4","Activity_1","","Informed consent"
"Activity","Inclusion/exclusion criteria","7b5a546a-dee5-484b-8f07-f7c5bb7fbc2e","Activity_2","","Inclusion and exclusion criteria"
"Activity","Patient number assigned","81df5265-ffb4-4064-8842-8066f278fa77","Activity_3","","Patient number assigned"
"Activity","Demographics","3c7ab5f5-1446-4562-a840-568049bc437b","Activity_4","","Demographics"
"Activity","Hachinski","5bc8ef2c-8eb0-4c3b-9b8a-d7e1871c4fad","Activity_5","","Hachinski Ischemic Scale"
"Activity","MMSE","a660f338-0a8d-4a64-9831-5a2ec4888e96","Activity_6","","MMSE"
"Activity","Physical examination","322d4004-b929-478d-8b8b-996efd4b3dd4","Activity_7","","Physical examination"
"Activity","Medical history","7bc2fdcd-8182-4acc-a6cb-bc1618991bb8","Activity_8","","Medical history"
"Activity","Habits","ad64b767-02cf-4f0b-a00b-58a0ec0e90f5","Activity_9","","Habits"
"Activity","Chest X-ray","3042324b-0927-4a00-a393-f439b045e336","Activity_10","","Chest X-ray"
"Activity","Apo E genotyping","b043c1b5-a79d-43ae-a35d-1f1eb242d4d5","Activity_11","","Apo E genotyping"
"Activity","Patient randomised","050af1a3-4976-48cc-8242-dd49052b508a","Activity_12","","Patient randomised"
"Activity","Vital signs / Temperature","2fc61b67-403a-479c-ab83-0bd8c342d94b","Activity_13","","Vital Signs and Temperature"
"Activity","Ambulatory ECG placed","586eae56-c229-4205-89a1-21bc47571185","Activity_14","","Ambulatory ECG placed"
"Activity","Ambulatory ECG removed","058b2cd9-e2a7-45a8-a5be-09d36328429c","Activity_15","","Ambulatory ECG removed"
"Activity","ECG","ffb20532-145e-44bc-a85c-ec37fa4cb1c4","Activity_16","","ECG"
"Activity","Placebo TTS test","ce5813e8-d44e-4e79-860f-2a49557775f6","Activity_17","","Placebo TTS test"
"Activity","CT scan","057a9ce3-cdfa-4f93-991a-38126c0b597c","Activity_18","","CT scan"
"Activity","Concomitant medications","57b3760f-3158-4b62-9c1f-703766e6c3f8","Activity_19","","Concomitant medications"
"Activity","Hematology","dd06b9ee-377c-4961-8c7c-04aa8b9b1505","Activity_20","","Hematology"
"Activity","Chemistry","03838d35-2aa3-4607-b236-bf2d449be8d3","Activity_21","","Chemistry"
"Activity","Uninalysis","cd2aa6fc-6beb-44c7-898e-75f835bb8637","Activity_22","","Uninalysis"
"Activity","Plasma Specimen (Xanomeline)","d2427885-e2f4-4bf2-8fdc-78faf8d0f047","Activity_23","","Plasma Specimen (Xanomeline)"
"Activity","Hemoglobin A1C","15961ca8-8e7b-46f6-851c-9587f6edf1e5","Activity_24","","Hemoglobin A1C"
"Activity","Study drug","22039d33-ee52-4b8a-93da-41f5965d14cc","Activity_25","","Study drug record , Medications dispensed, Medications returned"
"Activity","TTS Acceptability Survey","6eeabe32-3402-4bf5-9069-6ff4c997b914","Activity_26","","TTS Acceptability Survey"
"Activity","ADAS-Cog","104eab3f-aa40-4929-bc4c-a69047974dde","Activity_27","","ADAS-Cog"
"Activity","CIBIC+","f8dd6bbe-75e5-4edb-869f-3721cee32dc8","Activity_28","","CIBIC+"
"Activity","DAD","1089af1f-5795-442c-a5b3-da7bb355edf5","Activity_29","","DAD"
"Activity","NPI-X","937433fd-5ce4-4a14-8498-257539ce2b6d","Activity_30","","NPI-X"
"Activity","Adverse events","3dc288df-68c8-4356-9141-1340a0ec69e2","Activity_31","","Adverse events"
"Activity","Check adverse events","38025d09-ca35-4c3d-b53b-9909c8949352","Activity_32","","Check adverse events"
"Activity","Supine","9fd97de7-f44e-4a96-9df7-2387fc87c6c5","Activity_33","","Subject supine"
"Activity","Vital Signs Supine","13b1aa6f-8450-4506-84a4-e742c383f237","Activity_34","","Vital signs while supine"
"Activity","Stand","50bd82a6-4f6e-488f-b8a8-d031284948d5","Activity_35","","Subject Standing"
"Activity","Vital Signs Standing","a294d92c-a874-4a76-bac9-ef60a601a6ee","Activity_36","","Vital signs while standing"
