"name","value","instanceType","uuid:ID","id","description","valueLabel","label","windowLabel","windowUpper","windowLower"
"TIM1","P2W","Timing","8d4707b0-cef1-43c9-bcf8-b5e39637647f","Timing_1","Screening timing","2 weeks","Screening","","",""
"TIM2","P2D","Timing","d729237e-bf99-4fcf-9c17-7a540ab51558","Timing_2","Pre dose timing","2 days","Pre dose","-4..0 hours","PT0H","PT4H"
"TIM3","P1D","Timing","22bc3695-1085-49a9-98fe-6746dbe152b9","Timing_3","Dosing anchor","1 Day","Dosing","","",""
"TIM4","P2W","Timing","9d7ba97a-c91f-4866-9dcd-6584326ee6b8","Timing_4","Week 2 timing","2 Weeks","Week 2","-3..3 days","P3D","P3D"
"TIM5","P4W","Timing","6ac7e508-9274-40a9-8a54-a1cdfe476e3a","Timing_5","Week 4 timing","4 Weeks","Week 4","-3..3 days","P3D","P3D"
"TIM6","P6W","Timing","8c397c05-2a2c-41ac-a995-01e1b28dd2f3","Timing_6","Week 6 timing","6 Weeks","Week 6","-3..3 days","P3D","P3D"
"TIM7","P8W","Timing","877763f4-a485-4400-90d4-c11abdf717bb","Timing_7","Week 8 timing","8 Weeks","Week 8","-3..3 days","P3D","P3D"
"TIM9","P12W","Timing","620a95ae-3e0a-4bf9-a55b-43435194becc","Timing_9","Week 12 timing","12 Weeks","Week 12","-4..4 days","P4D","P4D"
"TIM11","P16W","Timing","d41a65db-ff07-4ba7-a423-ff57d1dabcc4","Timing_11","Week 16 timing","16 Weeks","Week 16","-4..4 days","P4D","P4D"
"TIM13","P20W","Timing","9da84709-0400-45e9-aa91-74642c121d1c","Timing_13","Week 20 timing","20 Weeks","Week 20","-4..4 days","P4D","P4D"
"TIM15","P24W","Timing","dccac86b-f87d-45e3-b882-ec83ebc40f72","Timing_15","Week 24 timing","24 Weeks","Week 24","-4..4 days","P4D","P4D"
"TIM16","P26W","Timing","702bd0bd-2a90-4bdd-81c2-813b2cfb41e7","Timing_16","Week 26 timing","26 Weeks","Week 26","-3..3 days","P3D","P3D"
"TIM8","P2W","Timing","fcde581e-c387-4b03-ab42-ac286e715fc8","Timing_8","Week 8 at home timing","2 Weeks","Week 8 Home","","",""
"TIM10","P2W","Timing","dc718153-c2b9-4871-baa5-d315357cfc44","Timing_10","Week 12 at home timing","2 Weeks","Week 12 Home","","",""
"TIM12","P2W","Timing","e4a22639-3635-4286-806a-f708f7469a9a","Timing_12","Week 16 at home timing","2 Weeks","Week 16 Home","","",""
"TIM14","P2W","Timing","d3c9efa5-1cef-4f51-9907-57eda4504337","Timing_14","Week 20 at home timing","2 Weeks","Week 20 Home","","",""
"TIM17","P1D","Timing","c314688e-aefb-4456-b928-1ca0ee7827b5","Timing_17","Adverse Event","1 Day","Adverse Event","","",""
"TIM18","P1D","Timing","0bd298f6-93d1-46d7-9bab-e826669d59fd","Timing_18","Early Termination","1 Day","Early Termination","","",""
"TIM19","PT0M","Timing","dfe41a9f-7649-400b-ad48-f5d285bc48b8","Timing_19","Supine","0 mins","Supine","","",""
"TIM20","PT5M","Timing","e92f000c-221f-4583-b621-a02e53566c39","Timing_20","VS while supine","5 mins","VS while supine","","",""
"TIM21","PT0M","Timing","7f943225-14b5-4a23-aed0-7777b2ad44f0","Timing_21","Standing","0 min","Standing","","",""
"TIM22","PT1M","Timing","c8ccfc71-634f-4e9a-8b9e-c4e15a0a3a18","Timing_22","VS while standing","1 min","VS while standing","","",""
"TIM23","PT0M","Timing","7f4e21f3-5624-4681-aa10-2eeee9777371","Timing_23","Standing","0 min","Standing","","",""
"TIM24","PT2M","Timing","e5b9673a-6886-4e8d-bd50-b7bf5897a8dc","Timing_24","VS while standing","2 min","VS while standing","","",""
