"instanceType","code","codeSystemVersion","id","decode","codeSystem","uuid:ID"
"Code","C98388","2023-12-15","Code_1","Interventional Study","http://www.cdisc.org","3d77baf3-d66c-4566-86d9-4a0530a5bae7"
"Code","C15601","2023-12-15","Code_2","Phase II Trial","http://www.cdisc.org","6b8c8c40-b9b7-4ab5-944e-a369480892fe"
"Code","C132352","2023-12-15","Code_9","Sponsor Approval Date","http://www.cdisc.org","504f34ea-f5c8-49c5-8553-d5758d6883e8"
"Code","C68846","2023-12-15","Code_10","Global","http://www.cdisc.org","e939754e-f7ee-42d0-b161-6e3d11b04c36"
"Code","C99904x3","2023-12-15","Code_72","IRB/IEC Feedback","http://www.cdisc.org","2a0377e9-1416-4329-b193-7134c3c4d2d1"
"Code","C17649","2023-12-15","Code_73","Other","http://www.cdisc.org","e079e093-d572-4601-a1d6-284c1e9c6afd"
"Code","C41129","2023-12-15","Code_75","Region","http://www.cdisc.org","8e908f63-042c-4c8b-ac12-d4b8bad0266f"
"Code","150","2020-08","Code_74","Europe","ISO 3166 1 alpha3","c411ab8a-104c-4f90-849d-f977e46c50fb"
"Code","PHARMA","12","Code_4","Eli Lilly","SPONSOR","c88abadd-1322-49b9-ae69-bc647582273f"
"Code","C70793","2023-12-15","Code_76","Clinical Study Sponsor","http://www.cdisc.org","e7031563-abd7-4ce4-9724-7fb067ee141e"
"Code","USA","2020-08","Code_77","United States of America","ISO 3166 1 alpha3","33f34776-4867-442a-9c89-bcd950e806d0"
"Code","C93453","2023-12-15","Code_78","Study Registry","http://www.cdisc.org","66f9e559-7546-404c-a9a2-07dea1f94f5f"
"Code","USA","2020-08","Code_79","United States of America","ISO 3166 1 alpha3","52e6114c-7529-4d03-abea-3742fad2fcfc"
"Code","C49656","2023-12-15","Code_137","Treatment Study","http://www.cdisc.org","c4e11b97-1fc5-4c0d-a4e7-58529934e857"
"Code","C49666","2023-12-15","Code_138","Efficacy Study","http://www.cdisc.org","39f7b74a-f417-4f26-bacd-793634bc0b81"
"Code","C49667","2023-12-15","Code_139","Safety Study","http://www.cdisc.org","749de047-1d87-408d-b3c6-8c024bb063fb"
"Code","C49663","2023-12-15","Code_140","Pharmacokinetic Study","http://www.cdisc.org","d15518e4-f711-4fa9-9306-30863831d968"
"Code","MILD_MOD_ALZ","12","Code_134","Mild to Moderate Alzheimer's Disease","SPONSOR","538ede38-52dc-487c-a904-d8ae8399cbc9"
"Code","26929004","January 31, 2018","Code_135","Alzheimer's disease","SNOMED","6a84b665-fbef-40c6-976b-349dacaa8997"
"Code","C99907x1","2023-12-15","Code_143","EXTENSION","http://www.cdisc.org","817e0faf-3843-4bf9-a1d8-c2aad0633c32"
"Code","C98704","2023-12-15","Code_144","ADAPTIVE","http://www.cdisc.org","7cb0e3f2-2290-4225-a367-320411befa16"
"Code","C82639","2023-12-15","Code_141","Parallel Study","http://www.cdisc.org","02c69ead-8c1c-4507-bc1d-8761c013b85e"
"Code","C25716","2023-12-15","Code_83","Visit","http://www.cdisc.org","14f31136-2be1-4343-b30c-605d0f333cef"
"Code","C51282","2023-12-15","Code_84","Clinic","http://www.cdisc.org","3d968430-616a-471c-8097-ded814ae97f6"
"Code","C175574","2023-12-15","Code_85","In Person","http://www.cdisc.org","00444f34-8efd-424d-988d-3d42494ffd6d"
"Code","C25716","2023-12-15","Code_86","Visit","http://www.cdisc.org","d8973fdc-a9ed-47e6-93d6-f51209250250"
"Code","C51282","2023-12-15","Code_87","Clinic","http://www.cdisc.org","6f730608-cfc7-424e-b480-6dc58095ec7f"
"Code","C175574","2023-12-15","Code_88","In Person","http://www.cdisc.org","4eefa427-8c22-4ca4-8edf-8d49678d755b"
"Code","C25716","2023-12-15","Code_89","Visit","http://www.cdisc.org","2127813b-a8a2-40f5-ae56-8babe1661a9e"
"Code","C51282","2023-12-15","Code_90","Clinic","http://www.cdisc.org","21efe11c-825d-4236-b1d7-f5f3af64b2a6"
"Code","C175574","2023-12-15","Code_91","In Person","http://www.cdisc.org","f7de3742-dfa6-499d-8b10-9051128917a8"
"Code","C25716","2023-12-15","Code_92","Visit","http://www.cdisc.org","e110f012-7f85-4573-8e3e-987f14e9f056"
"Code","C51282","2023-12-15","Code_93","Clinic","http://www.cdisc.org","90177648-a16f-458a-96dd-9a54287af90a"
"Code","C175574","2023-12-15","Code_94","In Person","http://www.cdisc.org","344ec884-f04f-4d99-80c9-3ec640ddaf2a"
"Code","C25716","2023-12-15","Code_95","Visit","http://www.cdisc.org","cddaab82-5cd8-4281-9024-ebd096deecf8"
"Code","C51282","2023-12-15","Code_96","Clinic","http://www.cdisc.org","6929ea28-9f7a-4880-aeb0-2744058eeebe"
"Code","C175574","2023-12-15","Code_97","In Person","http://www.cdisc.org","63ae6204-60cc-4d26-b656-7756b5943e47"
"Code","C25716","2023-12-15","Code_98","Visit","http://www.cdisc.org","d9b328ed-dfe0-438e-8c58-ba5efef8b8a3"
"Code","C51282","2023-12-15","Code_99","Clinic","http://www.cdisc.org","c17fc0a2-59c1-4547-80f8-02ce47e1b500"
"Code","C175574","2023-12-15","Code_100","In Person","http://www.cdisc.org","a9cd0c14-6ef3-4f36-8107-641c7efe1a9f"
"Code","C25716","2023-12-15","Code_101","Visit","http://www.cdisc.org","4e22fa7f-8469-44f5-8379-13a0b573fba4"
"Code","C51282","2023-12-15","Code_102","Clinic","http://www.cdisc.org","972b9b84-9b0c-4a00-b475-afb6069dbb98"
"Code","C175574","2023-12-15","Code_103","In Person","http://www.cdisc.org","e847634e-65d9-4260-bc8a-d29a53153dfb"
"Code","C171537","2023-12-15","Code_104","Telephone Call","http://www.cdisc.org","bcf9eab7-5bea-491b-9058-686aa46d6d18"
"Code","C25716","2023-12-15","Code_105","Visit","http://www.cdisc.org","be1a22e4-76b2-4b03-b88f-51dc0691d4f4"
"Code","C51282","2023-12-15","Code_106","Clinic","http://www.cdisc.org","5c203921-1514-4607-94a8-16c3ed8b391d"
"Code","C175574","2023-12-15","Code_107","In Person","http://www.cdisc.org","3dba3404-7c56-4370-ad6b-0771a7e7b8bc"
"Code","C171537","2023-12-15","Code_108","Telephone Call","http://www.cdisc.org","a2b3e671-6d0f-4271-a3ae-38dc04ef8db9"
"Code","C25716","2023-12-15","Code_109","Visit","http://www.cdisc.org","a33b28cf-e715-407e-b0c3-cf7623065cee"
"Code","C51282","2023-12-15","Code_110","Clinic","http://www.cdisc.org","27428648-eb7f-4d80-9c3d-f5da07f766d6"
"Code","C175574","2023-12-15","Code_111","In Person","http://www.cdisc.org","ca5ef6f2-8e19-42cf-bffc-e6f11d8c5f54"
"Code","C171537","2023-12-15","Code_112","Telephone Call","http://www.cdisc.org","e4da2b3b-5efc-4d11-9e39-a9e06c807afb"
"Code","C25716","2023-12-15","Code_113","Visit","http://www.cdisc.org","dd0f4084-fe3a-4a95-8018-853d41c0ba23"
"Code","C51282","2023-12-15","Code_114","Clinic","http://www.cdisc.org","5458d48f-e7f3-4429-8884-05c41c100a89"
"Code","C175574","2023-12-15","Code_115","In Person","http://www.cdisc.org","8345e8c4-efee-4488-979c-cd77555eaf2a"
"Code","C171537","2023-12-15","Code_116","Telephone Call","http://www.cdisc.org","4699eda9-2f52-4fae-9b65-9276bde9f11e"
"Code","C25716","2023-12-15","Code_117","Visit","http://www.cdisc.org","cb729fb0-c9fb-4f2c-b36d-9496f696acdd"
"Code","C51282","2023-12-15","Code_118","Clinic","http://www.cdisc.org","68d5fdea-8bec-4299-b3d4-699ebd58c3e6"
"Code","C175574","2023-12-15","Code_119","In Person","http://www.cdisc.org","22e1bca7-af60-4115-8ef5-0e588448b228"
"Code","C25716","2023-12-15","Code_120","Visit","http://www.cdisc.org","4685d84e-7054-4697-9d6d-212e1868db21"
"Code","C51282","2023-12-15","Code_121","Clinic","http://www.cdisc.org","df2d8473-c72c-4fa7-9712-4355e84a2235"
"Code","C175574","2023-12-15","Code_122","In Person","http://www.cdisc.org","0cf4e77a-041c-4d81-bd25-f2b328052c45"
"Code","383371000119108","January 31, 2018","Code_80","CT of head without contrast","SNOMED","86663fd5-fc18-4725-bc84-9daace5780a0"
"Code","123","12","Code_81","Subject Supine","SPONSOR","233b89d4-12c1-4dd3-b140-4a872e3d7ffa"
"Code","124","12","Code_82","Subject Standing","SPONSOR","e8dcfbbb-8650-41a3-8fd1-b80c1fba4851"
"Code","C20197","2023-12-15","Code_429","Male","http://www.cdisc.org","416380a2-0658-4247-b644-08b0ceff045c"
"Code","C16576","2023-12-15","Code_430","Female","http://www.cdisc.org","5448b58d-204a-4821-88ab-0097251677e9"
"Code","C28421","2023-12-15","Code_431","Sex","http://www.cdisc.org","79ee2231-41ea-46e9-ae10-551f1494084c"
"Code","C28421","2023-12-15","Code_432","Sex","http://www.cdisc.org","ddb8e480-8757-4cc8-83f9-4491425b452d"
"Code","C17049","2023-12-15","Code_433","Race","http://www.cdisc.org","a10226fa-4dce-47f0-af76-a07f202e7a5b"
"Code","C17049","2023-12-15","Code_434","Race","http://www.cdisc.org","a1ef8db4-1e13-41d5-bfbe-7df10a93d931"
"Code","C174446","2023-12-15","Code_435","TEMP","http://www.cdisc.org","b7320aae-1031-499e-9a8a-d9df3ad8c1ec"
